"Assembly"	"X..contigs.....0.bp."	"X..contigs.....1000.bp."	"X..contigs.....5000.bp."	"X..contigs.....10000.bp."	"X..contigs.....25000.bp."	"X..contigs.....50000.bp."	"Total.length.....0.bp."	"Total.length.....1000.bp."	"Total.length.....5000.bp."	"Total.length.....10000.bp."	"Total.length.....25000.bp."	"Total.length.....50000.bp."	"X..contigs"	"Largest.contig"	"Total.length"	"Reference.length"	"N50"	"N75"	"L50"	"L75"	"X..misassemblies"	"X..misassembled.contigs"	"Misassembled.contigs.length"	"X..local.misassemblies"	"X..unaligned.contigs"	"Unaligned.length"	"Genome.fraction...."	"Duplication.ratio"	"X..N.s.per.100.kbp"	"X..mismatches.per.100.kbp"	"X..indels.per.100.kbp"	"X..genes"	"X..predicted.genes..unique."	"X..predicted.genes.....0.bp."	"X..predicted.genes.....300.bp."	"X..predicted.genes.....1500.bp."	"X..predicted.genes.....3000.bp."	"Largest.alignment"	"NA50"	"NA75"	"LA50"	"LA75"
"Gold_Standard_4"	19499	8441	2394	1390	857	628	155452326	150294748	136841025	129944075	121689346	113508956	12857	1684314	153432889	157264050	163697	44961	230	661	0	0	0	0	"0 + 0 part"	0	96.328	1.013	0.21	0	0	"137248 + 12123 part"	149141	160023	135646	17801	1767	1684314	163697	44961	230	661
"grave_lovelace_0"	54120	6459	1823	1108	617	366	104717775	86687126	77542569	72605720	64913478	55960701	16413	1362315	93442856	157264050	81610	14004	221	895	297	257	14358311	80	"6 + 101 part"	31356	58.969	1.008	0	157.44	1.22	"77620 + 14835 part"	98783	99011	83010	10789	1154	1342877	71945	12604	256	1020
"fervent_mayer_3"	78844	15961	2066	1067	429	173	97510735	68162300	40982698	34122040	23960200	14810686	36079	265125	81946099	157264050	5003	1460	2065	10372	106	99	1292932	36	"0 + 19 part"	1023	51.333	1.015	0	7.43	0.07	"50786 + 33362 part"	101646	101822	79801	7380	683	265125	4946	1452	2102	10465
"fervent_blackwell_1"	41296	8874	1876	1027	524	315	102090958	85878990	71551681	65753542	57857764	50409753	23134	1363086	95586321	157264050	60761	4931	268	1904	221	197	8897006	46	"1 + 16 part"	2079	59.821	1.016	0	18.96	0.16	"75852 + 22787 part"	105766	106629	86606	10557	1152	1363071	55983	4817	293	2013
"jolly_euclid_1"	20248	7196	1170	637	307	189	64465554	58194948	46729771	43027794	38190672	34067416	12313	936092	61843521	157264050	75837	5381	138	1103	188	155	11964611	28	"0 + 35 part"	3649	37.076	1.061	0	27.51	0.28	"49573 + 9287 part"	64363	66429	55495	6984	740	936092	63257	5103	162	1200
"serene_shockley_0 broken"	13509	5750	1292	542	215	143	53210126	49435845	39501490	34285303	29540088	27016750	8688	927357	51489089	157264050	60005	5651	120	1126	142	119	11340366	29	"0 + 26 part"	3207	30.53	1.073	0.03	27.17	0.35	"43262 + 7810 part"	52657	54961	46088	5851	572	766457	53863	5508	142	1207
"jolly_bartik_1"	63932	7423	1595	777	340	226	84387237	65170441	53708933	47989094	41469640	37582467	17277	927710	71972686	157264050	62323	4813	197	1651	238	196	12442775	44	"1 + 33 part"	4694	42.675	1.073	0	27.34	0.24	"52808 + 14135 part"	75864	78993	65230	7946	893	927710	51473	4658	226	1756
"jolly_torvalds_1"	13705	6107	1200	484	212	153	58058180	54366324	43188719	38264016	34417358	32351750	8995	1299782	56378111	157264050	106247	5682	98	1031	157	121	12992733	32	"0 + 16 part"	2322	32.179	1.114	0	24.47	0.25	"45494 + 8093 part"	55117	59498	50124	6578	675	1299782	86843	5531	119	1123
"sad_galileo_0"	350591	5241	1633	869	258	76	62553536	32877858	25499576	20073459	10727276	4671255	10337	65535	36362466	157264050	12380	3536	700	2055	10	10	105945	3	"0 + 1 part"	20	23.07	1.002	0	1.07	0.01	"29241 + 9283 part"	40984	40984	34142	3770	372	65535	12346	3526	702	2058
"clever_hypatia_0"	27102220	10525	778	135	1	0	1266819204	24439057	6154322	1777607	25389	0	23592	25389	33507943	157264050	1764	949	4634	11236	18	18	47725	1	"0 + 8 part"	600	21.233	1.004	0	8.34	0.01	"14302 + 19198 part"	46832	46832	36060	2104	148	25389	1763	948	4637	11241
"goofy_tesla_2"	390203	12657	2201	924	165	20	146545541	46192675	26261810	17424507	6184889	1321491	32717	99557	59852529	157264050	3610	1084	3071	11405	105	103	363396	17	"14 + 70 part"	13778	37.815	1.006	0	51.59	0.18	"32009 + 30732 part"	77751	77762	60348	4888	472	99557	3596	1081	3082	11448
"adoring_almeida_6 broken"	17434	8664	1530	598	221	151	66259622	61705552	45995202	39564644	34137621	31777518	12740	1299782	64585445	157264050	41016	3951	163	2081	167	134	12709861	39	"1 + 24 part"	3881	33.05	1.243	0	33.43	0.27	"46712 + 8912 part"	62051	70455	58410	7191	720	1299782	35306	3872	201	2188
"angry_newton_2"	15150	4564	1176	710	318	161	57882082	52738094	46204504	42921098	36823623	31579293	8866	1299682	55758516	157264050	89503	12028	104	610	193	155	13009102	40	"0 + 34 part"	4770	34.117	1.039	13.98	33.77	0.41	"47283 + 7512 part"	56655	58410	49293	6567	703	1299682	71550	11207	131	687
"dreamy_yonath_2"	338880	180	0	0	0	0	42224061	230030	0	0	0	0	2464	2915	1679347	157264050	651	560	969	1669	2	2	1295	0	"0 + 49 part"	1261	1.066	1.001	0	553.99	0.24	"295 + 2686 part"	3429	3429	2263	5	0	2915	649	559	970	1671
