"Assembly"	"X..contigs.....0.bp."	"X..contigs.....1000.bp."	"X..contigs.....5000.bp."	"X..contigs.....10000.bp."	"X..contigs.....25000.bp."	"X..contigs.....50000.bp."	"Total.length.....0.bp."	"Total.length.....1000.bp."	"Total.length.....5000.bp."	"Total.length.....10000.bp."	"Total.length.....25000.bp."	"Total.length.....50000.bp."	"X..contigs"	"Largest.contig"	"Total.length"	"Reference.length"	"N50"	"N75"	"L50"	"L75"	"X..misassemblies"	"X..misassembled.contigs"	"Misassembled.contigs.length"	"X..local.misassemblies"	"X..scaffold.gap.size.misassemblies"	"X..unaligned.contigs"	"Unaligned.length"	"Genome.fraction...."	"Duplication.ratio"	"X..N.s.per.100.kbp"	"X..mismatches.per.100.kbp"	"X..indels.per.100.kbp"	"Largest.alignment"	"NA50"	"NA75"	"LA50"	"LA75"
"fervent_blackwell_0"	548604	28955	7423	4427	2186	1127	443979393	312835368	271263647	250549664	215106125	177918379	75110	2128798	343743329	569225054	55014	7821	1012	5253	556	468	38939507	1413	"3"	"71 + 107 part"	71732	72.241	1.009	610.04	43.77	2.11	1661626	49922	7186	1149	5755
"goofy_tesla_1"	433601	94949	14945	6854	2886	1407	658282229	520568547	384404233	329968270	269852752	218469378	183077	4079020	581695936	569225054	18073	2041	3879	33119	128	49	3419634	28	"0"	"182203 + 607 part"	576054617	0.952	1.044	9470.8	186.12	9.19	198351	NA	NA	NA	NA
"backstabbing_carson_1"	44327	9643	3277	1888	1220	736	185092217	169593792	154637798	145479006	134619228	117402928	20045	1506614	176515241	569225054	112538	27792	346	1136	950	612	65399088	1535	"2073"	"0 + 46 part"	2488	31.954	1.085	2841.64	80.43	1.64	804366	75090	16882	497	1719
"adoring_almeida_4"	547505	6119	3359	2024	1051	607	296314449	171690267	167096040	158625916	143661479	128065887	32225	1495269	188427354	569225054	172512	27782	230	963	1372	465	48834524	6908	"2841"	"10 + 1818 part"	10950080	30.919	1.059	11035.98	93.32	11.38	1355912	87337	2793	347	2939
"angry_newton_1"	75671	12894	3072	2176	1266	727	206922833	178853779	161472186	155074891	140317472	121319436	33089	1521953	192713672	569225054	103545	20659	378	1454	764	537	43807154	226	"0"	"0 + 47 part"	4013	39.43	1.04	5.45	64.73	1.24	896122	93214	18926	437	1624
"fervent_mayer_2"	486783	43057	9769	5057	1683	515	372809591	233943862	166101802	133396716	81329999	41466919	98804	326590	271758642	569225054	9512	2095	5312	21639	300	288	2976045	75	"0"	"7 + 64 part"	8897	53.255	1.007	0	19.86	0.35	326590	9453	2086	5350	21744
"jolly_bartik_0"	318081	28337	4929	2930	1467	861	357183003	256759539	212214527	198169668	175340643	153874005	80143	1525443	291821394	569225054	62261	3812	719	6462	1061	712	66591393	348	"0"	"3 + 94 part"	8880	53.522	1.103	0	62.1	1.33	1389063	54921	3686	849	6969
"dreamy_yonath_1"	1322243	1649	0	0	0	0	171159815	2092489	0	0	0	0	15744	3322	11257907	569225054	693	576	5995	10475	7	7	5262	1	"0"	"14 + 314 part"	18768	2.007	1.003	0	488.21	0.94	3322	692	575	6002	10489
"fervent_mayer_1"	478197	34971	4763	2208	1140	709	375033641	236477278	177528852	160668546	144400810	129078517	90389	2203468	274042613	569225054	36097	2229	897	13410	418	353	30322581	1426	"5"	"7 + 59 part"	8641	53.186	1.014	893.89	19.94	2.76	2197841	29587	2074	1073	14754
"jolly_mcclintock_1"	4921565	45281	5610	2573	651	127	710192833	146733114	75202012	54247525	25045118	7512149	127228	65529	202626785	569225054	2338	927	13588	50725	104	103	540525	24	"0"	"1 + 44 part"	3108	44.725	1.008	0	46.66	0.41	65529	2337	927	13603	50765
