binner	rank	precision	recall	size
pensive_curie_5	superkingdom	1.00	0.48	7390139250
pensive_curie_5	superkingdom	0.98	0.97	32066700
pensive_curie_5	superkingdom	0.00	nan	0
pensive_curie_5	superkingdom	0.00	nan	0
pensive_curie_5	superkingdom	nan	nan	63428100
pensive_curie_5	phylum	0.99	0.54	3997593000
pensive_curie_5	phylum	0.99	0.50	1739275350
pensive_curie_5	phylum	0.98	0.39	779498400
pensive_curie_5	phylum	0.99	0.19	751846800
pensive_curie_5	phylum	0.98	0.97	32066700
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.71	0.04	14815650
pensive_curie_5	phylum	0.72	0.01	44743350
pensive_curie_5	phylum	0.60	0.01	44124000
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.77	0.05	7008300
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.86	0.04	7102200
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.62	0.02	1866450
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.58	0.01	2265750
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	0.00	nan	0
pensive_curie_5	phylum	nan	nan	63428100
pensive_curie_5	class	0.98	0.50	2071681650
pensive_curie_5	class	0.99	0.50	1739275350
pensive_curie_5	class	0.94	0.64	701480850
pensive_curie_5	class	0.99	0.57	574201200
pensive_curie_5	class	0.94	0.43	647841450
pensive_curie_5	class	0.98	0.49	345274500
pensive_curie_5	class	0.97	0.28	395649600
pensive_curie_5	class	0.98	0.30	340420950
pensive_curie_5	class	0.99	0.97	32066700
pensive_curie_5	class	0.96	0.11	239897850
pensive_curie_5	class	0.98	0.57	38574300
pensive_curie_5	class	0.78	0.15	43385400
pensive_curie_5	class	0.85	0.04	128142600
pensive_curie_5	class	0.57	0.41	2387850
pensive_curie_5	class	0.71	0.04	14815650
pensive_curie_5	class	0.72	0.01	44743350
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.77	0.05	7008300
pensive_curie_5	class	0.75	0.01	44124000
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.86	0.04	7102200
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.62	0.02	1866450
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.71	0.01	2265750
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	0.00	nan	0
pensive_curie_5	class	nan	nan	63428100
pensive_curie_5	order	0.99	0.49	1736434500
pensive_curie_5	order	0.98	0.52	1362390750
pensive_curie_5	order	0.95	0.43	629707500
pensive_curie_5	order	0.95	0.77	335540700
pensive_curie_5	order	0.99	0.73	252233850
pensive_curie_5	order	0.98	0.51	324594450
pensive_curie_5	order	1.00	0.50	276431550
pensive_curie_5	order	0.95	0.33	396367050
pensive_curie_5	order	0.97	0.28	372057750
pensive_curie_5	order	0.94	0.51	196408200
pensive_curie_5	order	0.98	0.30	340420950
pensive_curie_5	order	0.89	0.55	166754550
pensive_curie_5	order	0.91	0.70	88879650
pensive_curie_5	order	0.93	0.56	96078300
pensive_curie_5	order	0.99	0.97	32066700
pensive_curie_5	order	0.96	0.11	239897850
pensive_curie_5	order	0.98	0.57	38574300
pensive_curie_5	order	0.52	0.18	50091000
pensive_curie_5	order	0.82	0.30	28365000
pensive_curie_5	order	0.96	0.41	19185300
pensive_curie_5	order	0.78	0.15	43385400
pensive_curie_5	order	0.80	0.58	10270650
pensive_curie_5	order	0.90	0.20	33783900
pensive_curie_5	order	0.72	0.65	7202550
pensive_curie_5	order	0.85	0.04	128142600
pensive_curie_5	order	0.78	0.23	20680050
pensive_curie_5	order	0.21	0.06	10931400
pensive_curie_5	order	0.83	0.75	2840850
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.66	0.08	14533500
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.58	0.41	2387850
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.71	0.04	14815650
pensive_curie_5	order	0.72	0.01	44743350
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.75	0.01	44124000
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.87	0.05	7008300
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.48	0.02	8232750
pensive_curie_5	order	0.86	0.04	7102200
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.37	0.00	31002300
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.55	0.02	4406550
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
