instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.11	265576950	2453835000
superkingdom	Archaea	1.00	0.25	481800	1890450
superkingdom	Viruses	0.94	0.01	67950	8424750
superkingdom	Eukaryota	0.00	nan	19050	0
superkingdom	unassigned	nan	nan	2219390250	21385800
phylum	Proteobacteria	1.00	0.12	199095000	1686872400
phylum	Firmicutes	0.99	0.10	34130850	325140600
phylum	Actinobacteria	1.00	0.07	30025350	402841500
phylum	Bacteroidetes	1.00	0.05	1924800	38736150
phylum	Euryarchaeota	1.00	0.25	481800	1890450
phylum	Tenericutes	1.00	0.31	76350	244350
phylum	Streptophyta	0.00	nan	17700	0
phylum	Cyanobacteria	0.00	nan	4350	0
phylum	Chlamydiae	0.00	nan	3600	0
phylum	Chordata	0.00	nan	1200	0
phylum	Thermotogae	0.00	nan	300	0
phylum	Chloroflexi	0.00	nan	150	0
phylum	Fusobacteria	0.00	nan	150	0
phylum	Nematoda	0.00	nan	150	0
phylum	Spirochaetes	0.00	nan	150	0
phylum	Synergistetes	0.00	nan	150	0
phylum	unassigned	nan	nan	2219773950	29810550
class	Alphaproteobacteria	1.00	0.11	133368750	1253079000
class	Betaproteobacteria	1.00	0.15	60897750	402465600
class	Actinobacteria	1.00	0.07	30025350	402841500
class	Clostridia	0.99	0.12	24302850	206997750
class	Bacilli	1.00	0.16	9488250	60427950
class	Deltaproteobacteria	1.00	0.25	3568950	14097450
class	Sphingobacteriia	1.00	0.05	1193550	23522400
class	Gammaproteobacteria	0.85	0.05	1085850	17230350
class	Flavobacteriia	0.92	0.04	512400	12677550
class	Thermoplasmata	1.00	0.26	386700	1468350
class	Negativicutes	0.96	0.00	277500	57714900
class	Bacteroidia	0.95	0.24	208200	826350
class	Halobacteria	1.00	0.23	95100	422100
class	Mollicutes	1.00	0.31	76350	244350
class	Erysipelotrichia	0.00	nan	28200	0
class	Chlamydiia	0.00	nan	3600	0
class	Mammalia	0.00	nan	1200	0
class	Cytophagia	0.40	0.00	750	1709850
class	Epsilonproteobacteria	0.00	nan	750	0
class	Thermotogae	0.00	nan	300	0
class	Chromadorea	0.00	nan	150	0
class	Dehalococcoidia	0.00	nan	150	0
class	Fusobacteriia	0.00	nan	150	0
class	Spirochaetia	0.00	nan	150	0
class	unassigned	nan	nan	2220013050	29810550
order	Rhizobiales	1.00	0.11	91098600	822856800
order	Burkholderiales	1.00	0.15	60244500	390695550
order	Rhodospirillales	1.00	0.21	35980350	175206600
order	Actinomycetales	1.00	0.07	29829450	398239500
order	Clostridiales	0.99	0.09	13532850	152516700
order	Thermoanaerobacterales	1.00	0.20	10739400	54481050
order	Bacillales	1.00	0.15	8754300	56482350
order	Desulfovibrionales	1.00	0.25	3540300	14097450
order	Sphingomonadales	1.00	0.01	3180900	231924000
order	Rhodobacterales	0.99	0.14	2986800	21780150
order	Sphingobacteriales	1.00	0.05	1193550	23522400
order	Lactobacillales	0.99	0.18	731700	3945600
order	Vibrionales	1.00	0.06	651600	11358600
order	Methylophilales	1.00	0.05	562200	11503950
order	Flavobacteriales	0.92	0.04	512250	12677550
order	Thermoplasmatales	1.00	0.26	386700	1468350
order	Selenomonadales	0.96	0.00	277500	57714900
order	Legionellales	1.00	0.04	212550	4754100
order	Bacteroidales	0.95	0.24	208200	826350
order	Enterobacteriales	0.07	0.07	160350	148950
order	Halobacteriales	1.00	0.23	95100	422100
order	Acholeplasmatales	1.00	0.31	76350	244350
order	Nitrosomonadales	1.00	0.31	70500	227850
order	Pseudomonadales	0.73	0.26	50850	141600
order	Caulobacterales	0.97	0.03	38550	1311450
order	Erysipelotrichales	0.00	nan	28200	0
order	Malpighiales	0.00	nan	17700	0
order	Alteromonadales	0.86	0.01	5550	827100
order	Rhodocyclales	0.00	nan	4650	0
order	Caudovirales	0.00	nan	4200	0
order	Nostocales	0.00	nan	4200	0
order	Chlamydiales	0.00	nan	3600	0
order	Acidimicrobiales	1.00	0.00	2700	4602000
order	Neisseriales	0.86	0.05	2100	38250
order	Desulfuromonadales	0.00	nan	1500	0
order	Syntrophobacterales	0.00	nan	1200	0
order	Cytophagales	0.40	0.00	750	1709850
order	Campylobacterales	0.00	nan	750	0
order	Hydrogenophilales	0.00	nan	600	0
order	Acidithiobacillales	0.00	nan	450	0
order	Xanthomonadales	0.00	nan	450	0
order	Chromatiales	0.00	nan	300	0
order	Desulfarculales	0.00	nan	300	0
order	Methylococcales	0.00	nan	300	0
order	Thermotogales	0.00	nan	300	0
order	Ferrovales	0.00	nan	150	0
order	Fusobacteriales	0.00	nan	150	0
order	Oceanospirillales	0.00	nan	150	0
order	Parvularculales	0.00	nan	150	0
order	Prochlorales	0.00	nan	150	0
order	Rhabditida	0.00	nan	150	0
order	Solirubrobacterales	0.00	nan	150	0
order	Spirochaetales	0.00	nan	150	0
order	Thiotrichales	0.00	nan	150	0
order	unassigned	nan	nan	2220339450	29810550
family	Rhizobiaceae	1.00	0.25	86225550	348646650
family	Comamonadaceae	1.00	0.17	43627200	262566450
family	Rhodospirillaceae	1.00	0.21	35978700	175206600
family	Streptomycetaceae	1.00	0.14	17421300	128163750
family	Oxalobacteraceae	1.00	0.12	14981100	128129100
family	Thermoanaerobacteraceae	1.00	0.20	10728300	54481050
family	Clostridiaceae	0.99	0.19	6078900	31257600
family	Pseudonocardiaceae	1.00	0.11	5571750	48824250
family	Peptostreptococcaceae	0.10	0.05	5178150	9615900
family	Desulfovibrionaceae	1.00	0.25	3534450	14097450
family	Sphingomonadaceae	1.00	0.01	3167700	231924000
family	Rhodobacteraceae	0.99	0.14	2986650	21780150
family	Planococcaceae	1.00	0.18	2625300	14536950
family	Aurantimonadaceae	1.00	0.01	1829100	331938600
family	Cellulomonadaceae	1.00	0.02	1765200	90041400
family	Peptococcaceae	0.98	0.25	1434750	5706300
family	Bradyrhizobiaceae	0.99	0.02	1251600	67699950
family	Phyllobacteriaceae	0.95	0.02	1214250	69234900
family	Sphingobacteriaceae	1.00	0.05	1191900	23522400
family	Nocardiaceae	0.64	0.11	1122450	6780150
family	Enterococcaceae	1.00	0.18	726150	3945600
family	Vibrionaceae	1.00	0.06	651300	11358600
family	Methylophilaceae	1.00	0.05	562200	11503950
family	Flavobacteriaceae	0.92	0.04	493050	12677550
family	Promicromonosporaceae	0.98	0.02	457350	20452800
family	Picrophilaceae	1.00	0.26	384900	1468350
family	Xanthobacteraceae	0.98	0.06	344100	5336700
family	Veillonellaceae	0.96	0.00	274950	57714900
family	Lachnospiraceae	0.91	0.06	215850	3099750
family	Legionellaceae	1.00	0.04	212550	4754100
family	Mycobacteriaceae	0.98	0.03	196050	5642700
family	Porphyromonadaceae	1.00	0.24	187050	788250
family	Enterobacteriaceae	0.07	0.07	160350	148950
family	Nocardioidaceae	0.93	0.00	149700	69588600
family	Halobacteriaceae	1.00	0.22	94950	422100
family	Oscillospiraceae	0.00	nan	94050	0
family	Bacillaceae	0.74	0.27	81450	228600
family	Acholeplasmataceae	1.00	0.31	76350	244350
family	Nitrosomonadaceae	1.00	0.31	70500	227850
family	Paenibacillaceae	0.99	0.07	70050	949200
family	Intrasporangiaceae	0.88	0.00	58200	15921450
family	Microviridae	0.00	nan	51750	0
family	Pseudomonadaceae	0.74	0.26	50250	141600
family	Microbacteriaceae	0.85	0.01	43350	4603950
family	Caulobacteraceae	0.97	0.03	38550	1311450
family	Erysipelotrichaceae	0.00	nan	28200	0
family	Burkholderiaceae	0.00	nan	24900	0
family	Methylobacteriaceae	0.00	nan	22350	0
family	Ruminococcaceae	0.00	nan	19050	0
family	Prevotellaceae	0.63	0.30	17850	38100
family	Euphorbiaceae	0.00	nan	17700	0
family	Propionibacteriaceae	0.95	0.00	17400	8220450
family	Brucellaceae	0.00	nan	14100	0
family	Papillomaviridae	0.00	nan	10950	0
family	Alcaligenaceae	0.00	nan	9450	0
family	Erythrobacteraceae	0.00	nan	8250	0
family	Hyphomicrobiaceae	0.00	nan	7950	0
family	Beijerinckiaceae	0.00	nan	6300	0
family	Sanguibacteraceae	0.00	nan	4950	0
family	Micrococcaceae	0.00	nan	4800	0
family	Methylocystaceae	0.00	nan	4650	0
family	Rhodocyclaceae	0.00	nan	4650	0
family	Ferrimonadaceae	1.00	0.01	4500	827100
family	Staphylococcaceae	0.21	0.01	4350	152700
family	Microchaetaceae	0.00	nan	4200	0
family	Siphoviridae	0.00	nan	4200	0
family	Chlamydiaceae	0.00	nan	3600	0
family	Rhodobiaceae	0.00	nan	3300	0
family	Acidimicrobiaceae	1.00	0.00	2700	4602000
family	Corynebacteriaceae	0.00	nan	2700	0
family	Micromonosporaceae	0.00	nan	2550	0
family	Bacteroidaceae	0.00	nan	2400	0
family	Lactobacillaceae	0.00	nan	2400	0
family	Thermoanaerobacterales Family III. Incertae Sedis	0.00	nan	2250	0
family	Thermoanaerobacterales Family IV. Incertae Sedis	0.00	nan	2100	0
family	Brevibacteriaceae	0.00	nan	1950	0
family	Neisseriaceae	1.00	0.05	1800	38250
family	Eubacteriaceae	0.00	0.00	1650	62400
family	Acidaminococcaceae	0.00	nan	1650	0
family	Geobacteraceae	0.00	nan	1500	0
family	Beutenbergiaceae	0.00	nan	1350	0
family	Dietziaceae	0.00	nan	1350	0
family	Bovidae	0.00	nan	1200	0
family	Heliobacteriaceae	0.00	nan	1200	0
family	Syntrophobacteraceae	0.00	nan	1200	0
family	Dermatophilaceae	0.00	nan	1050	0
family	Frankiaceae	0.00	nan	1050	0
family	Geodermatophilaceae	0.00	nan	1050	0
family	Streptococcaceae	0.00	nan	1050	0
family	Bartonellaceae	0.00	nan	900	0
family	Dermacoccaceae	0.00	nan	900	0
family	Cytophagaceae	0.40	0.00	750	1709850
family	Chitinophagaceae	0.00	nan	750	0
family	Glycomycetaceae	0.00	nan	750	0
family	Acetobacteraceae	0.00	nan	600	0
family	Alteromonadaceae	0.00	nan	600	0
family	Gordoniaceae	0.00	nan	600	0
family	Hydrogenophilaceae	0.00	nan	600	0
family	Acidithiobacillaceae	0.00	nan	450	0
family	Bogoriellaceae	0.00	nan	450	0
family	Dermabacteraceae	0.00	nan	450	0
family	Desulfohalobiaceae	0.00	nan	450	0
family	Helicobacteraceae	0.00	nan	450	0
family	Leuconostocaceae	0.00	nan	450	0
family	Streptosporangiaceae	0.00	nan	450	0
family	Xanthomonadaceae	0.00	nan	450	0
family	Actinomycetaceae	0.00	nan	300	0
family	Actinospicaceae	0.00	nan	300	0
family	Campylobacteraceae	0.00	nan	300	0
family	Chromatiaceae	0.00	nan	300	0
family	Chromobacteriaceae	0.00	nan	300	0
family	Clostridiales Family XVII. Incertae Sedis	0.00	nan	300	0
family	Cryptosporangiaceae	0.00	nan	300	0
family	Desulfarculaceae	0.00	nan	300	0
family	Desulfomicrobiaceae	0.00	nan	300	0
family	Jiangellaceae	0.00	nan	300	0
family	Jonesiaceae	0.00	nan	300	0
family	Methylococcaceae	0.00	nan	300	0
family	Moraxellaceae	0.00	nan	300	0
family	Nakamurellaceae	0.00	nan	300	0
family	Thermomonosporaceae	0.00	nan	300	0
family	Thermotogaceae	0.00	nan	300	0
family	Alicyclobacillaceae	0.00	nan	150	0
family	Ancylostomatidae	0.00	nan	150	0
family	Carnobacteriaceae	0.00	nan	150	0
family	Catenulisporaceae	0.00	nan	150	0
family	Ferrovaceae	0.00	nan	150	0
family	Fusobacteriaceae	0.00	nan	150	0
family	Halomonadaceae	0.00	nan	150	0
family	Hyphomonadaceae	0.00	nan	150	0
family	Kineosporiaceae	0.00	nan	150	0
family	Leptospiraceae	0.00	nan	150	0
family	Listeriaceae	0.00	nan	150	0
family	Nocardiopsaceae	0.00	nan	150	0
family	Parvularculaceae	0.00	nan	150	0
family	Prochlorococcaceae	0.00	nan	150	0
family	Pseudoalteromonadaceae	0.00	nan	150	0
family	Psychromonadaceae	0.00	nan	150	0
family	Shewanellaceae	0.00	nan	150	0
family	Solirubrobacteraceae	0.00	nan	150	0
family	Thiotrichaceae	0.00	nan	150	0
family	unassigned	nan	nan	2231575200	70425450
genus	Sinorhizobium	1.00	0.23	81626250	347845500
genus	Azospirillum	1.00	0.23	25125150	108602700
