Instance	class	precision	recall	predicted class size	real class size
strain	1036608	0.0156891495601	0.00175134215006	2046000.0	18328800.0
strain	evo_1286_AP.033	0.254984926787	0.103082208674	41796000.0	103386900.0
strain	1220_AJ	0.995335820896	0.0615801927627	160800.0	2599050.0
strain	Sample19_56	0.00131233595801	0.00163532297629	228600.0	183450.0
strain	Sample22_57	0	0	0	1382400.0
strain	evo_1286_AP.037	0.213831467126	0.118700592885	41796000.0	75292800.0
strain	Sample23_271	0.994936078366	0.0450440292702	1806900.0	39910950.0
strain	Sample6_289	0.00183284457478	0.034965034965	2046000.0	107250.0
strain	Sample23_273	0	0	0	92100.0
strain	Sample6_527	0	0	0	2018700.0
strain	1035900	1.0	0.00422299954038	2799150.0	662834550.0
strain	Sample9_2	0	0	0	332550.0
strain	Sample6_722	0.541666666667	0.0245283018868	3600.0	79500.0
strain	Sample22_283	0.10502283105	0.271119842829	197100.0	76350.0
strain	1048993	1.0	0.300175442813	1873500.0	6241350.0
strain	1285_BH	0.100692328995	0.0032604894321	2708250.0	83637750.0
strain	evo_1286_AP.026	0.416178581682	0.0789135403914	41796000.0	220426050.0
strain	Sample6_49	0	0	0	837600.0
strain	evo_1035930.029	0.183793571752	0.000202463269872	331350.0	300795300.0
strain	1049005	0.371126099206	0.00645452028007	3513900.0	202044450.0
strain	1365_A	0.0158067517965	0.0123574048439	11605800.0	14845350.0
strain	1286_AP	0.0596432672983	0.137737553561	41796000.0	18098550.0
strain	Sample16_19	0	0	0	363450.0
strain	1139_AG	0.984102776198	0.0125904386943	11605800.0	907140750.0
strain	evo_1049056.031	0.0291564446122	0.00206997729054	1589700.0	22391550.0
strain	evo_1286_AP.008	0.0553617571059	0.0376380684688	41796000.0	61477650.0
strain	Sample19_20	0	0	0	12596250.0
strain	evo_1049056.011	0.264106435176	0.000885162009315	1589700.0	474319950.0
strain	evo_1049056.013	0.0594451783355	0.000939654773819	1589700.0	100568850.0
strain	1049089	0.0227524972253	0.00353849524328	3513900.0	22594350.0
strain	1220_AD	0.999968385778	0.016783077516	14234100.0	848095350.0
strain	1030752	0.999911348939	0.256526622328	159050550.0	619960800.0
strain	1030755	0.99739039666	0.0113504411586	574800.0	50509050.0
strain	1035930	0.140939597315	0.000380255676674	89400.0	33135600.0
strain	evo_1035930.011	0.0251677852349	0.000131598571717	89400.0	17097450.0
strain	1052944	0.142071640429	0.168961400408	46021500.0	38697300.0
strain	1036755	1.0	0.137777271142	27738450.0	201328200.0
strain	Sample23_288	1.0	0.0956437560503	74100.0	774750.0
strain	evo_1035930.032	0.0724309642372	0.000242080195117	331350.0	99140700.0
strain	1052947	0.296972067403	0.12088782511	46021500.0	113056050.0
strain	1053058	0.560539095857	0.16763785023	46021500.0	153884400.0
strain	1036539	0.0464669539484	0.00256069857001	2889150.0	52427100.0
strain	Sample22_89	0	0	0	3624300.0
strain	1036554	1.0	0.00246269959472	3017550.0	1225301700.0
strain	Sample15_97	0	0	0	72600.0
strain	1036743	0.14501312336	0.00298967816994	228600.0	11088150.0
strain	Sample6_476	0.96	0.324324324324	3750.0	11100.0
strain	Sample18_57	1.0	0.00067576699554	2250.0	3329550.0
strain	1049056	0.461030383091	0.00297986063083	1589700.0	245951100.0
strain	evo_1049056.039	0.00424608416682	0.00208855472013	1589700.0	3231900.0
strain	Sample18_8	0.996882307093	0.186906327634	384900.0	2052900.0
strain	Sample9_65	0	0	0	41100.0
strain	1030878	0.637104994903	0.00529881052301	147150.0	17692650.0
strain	1030836	0.0740875343959	0.0024628118857	2889150.0	86912850.0
strain	evo_1049056.015	0.153896961691	0.0010178818945	1589700.0	240352050.0
strain	1036728	1.0	0.000885882258194	4950.0	5587650.0
strain	Sample19_52	0	0	0	676950.0
strain	1048783	0.999451407351	0.220177004314	3554550.0	16135200.0
strain	1036707	0.64347826087	0.00102318764432	17250.0	10848450.0
strain	1036641	0.0826771653543	0.000658413849683	228600.0	28705350.0
