instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.79	46537981	58753980
superkingdom	unassigned	nan	nan	12215999	0
phylum	Firmicutes	0.94	0.90	17086937	17763441
phylum	Bacteroidetes	1.00	0.36	10546063	29144897
phylum	Actinobacteria	0.94	1.00	4832725	4566533
phylum	Chloroflexi	1.00	0.26	1898239	7279109
phylum	Proteobacteria	0.00	nan	1195621	0
phylum	Tenericutes	0.00	nan	632062	0
phylum	Cyanobacteria	0.00	nan	595747	0
phylum	Fusobacteria	0.00	nan	37187	0
phylum	Ignavibacteriae	0.00	nan	5752	0
phylum	Chlorobi	0.00	nan	1338	0
phylum	Thermotogae	0.00	nan	276	0
phylum	unassigned	nan	nan	21922033	0
class	Bacilli	0.95	1.00	16589066	15750864
class	Actinobacteria	0.94	1.00	4832725	4566533
class	Sphingobacteriia	1.00	0.10	2965120	29144897
class	Ktedonobacteria	1.00	0.26	1898239	7279109
class	Cytophagia	0.00	nan	1190610	0
class	Gammaproteobacteria	0.00	nan	819702	0
class	Mollicutes	0.00	nan	632062	0
class	Flavobacteriia	0.00	nan	487609	0
class	Clostridia	0.38	0.08	426621	2012577
class	Alphaproteobacteria	0.00	nan	355068	0
class	Bacteroidia	0.00	nan	169846	0
class	Fusobacteriia	0.00	nan	37187	0
class	Betaproteobacteria	0.00	nan	20286	0
class	Ignavibacteria	0.00	nan	5752	0
class	Chlorobia	0.00	nan	1338	0
class	Thermotogae	0.00	nan	276	0
class	unassigned	nan	nan	28322473	0
order	Bacillales	0.95	1.00	16573485	15750864
order	Actinomycetales	0.95	1.00	4831534	4566533
order	Sphingobacteriales	1.00	0.10	2965120	29144897
order	Ktedonobacterales	1.00	0.26	1898239	7279109
order	Cytophagales	0.00	nan	1190610	0
order	Nostocales	0.00	nan	595747	0
order	Mycoplasmatales	0.00	nan	594173	0
order	Flavobacteriales	0.00	nan	487609	0
order	Clostridiales	0.29	0.05	371431	2012577
order	Enterobacteriales	0.00	nan	273170	0
order	Chromatiales	0.00	nan	224817	0
order	Rhodobacterales	0.00	nan	191371	0
order	Bacteroidales	0.00	nan	169846	0
order	Rhizobiales	0.00	nan	163697	0
order	Vibrionales	0.00	nan	130969	0
order	Thiotrichales	0.00	nan	95535	0
order	Acholeplasmatales	0.00	nan	37889	0
order	Fusobacteriales	0.00	nan	37187	0
order	Burkholderiales	0.00	nan	20286	0
order	Thermoanaerobacterales	0.00	nan	20208	0
