instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.78	31105004	39804463
superkingdom	unassigned	nan	nan	8699459	0
phylum	Firmicutes	1.00	0.74	29592129	39804463
phylum	Proteobacteria	0.00	nan	579236	0
phylum	Cyanobacteria	0.00	nan	180204	0
phylum	Actinobacteria	0.00	nan	70930	0
phylum	Atribacteria	0.00	nan	41192	0
phylum	Bacteroidetes	0.00	nan	2660	0
phylum	unassigned	nan	nan	9338112	0
class	Clostridia	1.00	0.62	18546881	30099738
class	Bacilli	0.90	1.00	10681421	9704725
class	Deltaproteobacteria	0.00	nan	227242	0
class	Negativicutes	0.00	nan	212663	0
class	Actinobacteria	0.00	nan	70930	0
class	Gammaproteobacteria	0.00	nan	62687	0
class	Alphaproteobacteria	0.00	nan	57607	0
class	Flavobacteriia	0.00	nan	2660	0
class	unassigned	nan	nan	9942372	0
order	Clostridiales	1.00	0.56	16716781	30099738
order	Bacillales	0.94	1.00	10312095	9704725
order	Thermoanaerobacterales	0.00	nan	1482276	0
order	Lactobacillales	0.00	nan	369326	0
order	Selenomonadales	0.00	nan	212663	0
order	Chroococcales	0.00	nan	180204	0
order	Desulfobacterales	0.00	nan	165927	0
order	Actinomycetales	0.00	nan	70930	0
order	Alteromonadales	0.00	nan	62687	0
order	Rhodobacterales	0.00	nan	57607	0
order	Flavobacteriales	0.00	nan	2660	0
order	unassigned	nan	nan	10171307	0
family	Peptostreptococcaceae	0.00	nan	14856711	0
family	Thermoanaerobacteraceae	0.00	nan	1180472	0
family	Peptococcaceae	0.00	nan	699630	0
family	Bacillaceae	0.00	nan	413648	0
family	Lactobacillaceae	0.00	nan	369326	0
family	Heliobacteriaceae	0.00	nan	365990	0
family	Thermoanaerobacterales Family IV. Incertae Sedis	0.00	nan	301804	0
family	Clostridiaceae	0.00	nan	270930	0
family	Veillonellaceae	0.00	nan	212663	0
family	Eubacteriaceae	0.00	nan	182958	0
family	Desulfobacteraceae	0.00	nan	165927	0
family	Paenibacillaceae	0.00	nan	127477	0
family	Lachnospiraceae	0.00	nan	108273	0
family	Listeriaceae	0.00	nan	90354	0
family	Ruminococcaceae	0.00	nan	86398	0
family	Actinomycetaceae	0.00	nan	70930	0
family	Alteromonadaceae	0.00	nan	62687	0
family	Rhodobacteraceae	0.00	nan	57607	0
family	Alicyclobacillaceae	0.00	nan	18630	0
family	Blattabacteriaceae	0.00	nan	2660	0
family	unassigned	nan	nan	20159388	9704725
genus	Peptoclostridium	0.00	nan	14856711	0
genus	Exiguobacterium	0.00	nan	9661986	0
genus	Thermacetogenium	0.00	nan	867009	0
genus	Bacillus	0.00	nan	413648	0
genus	Thermincola	0.00	nan	372560	0
genus	Lactobacillus	0.00	nan	369326	0
genus	Heliobacterium	0.00	nan	365990	0
genus	Desulfotomaculum	0.00	nan	327070	0
genus	Thermoanaerobacter	0.00	nan	313463	0
genus	Mahella	0.00	nan	301804	0
genus	Thermosinus	0.00	nan	212663	0
genus	Acetobacterium	0.00	nan	182958	0
genus	Cyanobium	0.00	nan	180204	0
genus	Desulfospira	0.00	nan	165927	0
genus	Paenibacillus	0.00	nan	127477	0
genus	Lachnoclostridium	0.00	nan	108273	0
genus	Listeria	0.00	nan	90354	0
genus	Mobiluncus	0.00	nan	70930	0
genus	Marinobacterium	0.00	nan	62687	0
genus	Roseobacter	0.00	nan	57607	0
genus	Clostridium	0.00	nan	55155	0
genus	Candidatus Caldatribacteirum	0.00	nan	41192	0
genus	Youngiibacter	0.00	nan	26720	0
genus	Blattabacterium	0.00	nan	2660	0
genus	unassigned	nan	nan	10570089	9704725
species	[Clostridium] sticklandii	0.00	nan	14856711	0
species	Exiguobacterium sp. MH3	0.00	nan	5077395	0
species	Exiguobacterium sp. OS-77	0.00	nan	4433091	0
species	Thermacetogenium phaeum	0.00	nan	867009	0
species	Bacillus halodurans	0.00	nan	413648	0
species	Thermincola potens	0.00	nan	372560	0
species	Lactobacillus zeae	0.00	nan	369326	0
species	Heliobacterium modesticaldum	0.00	nan	365990	0
species	Thermoanaerobacter indiensis	0.00	nan	313463	0
species	Mahella australiensis	0.00	nan	301804	0
species	Desulfotomaculum kuznetsovii	0.00	nan	281128	0
species	Thermosinus carboxydivorans	0.00	nan	212663	0
species	Acetobacterium dehalogenans	0.00	nan	182958	0
species	Cyanobium sp. PCC 7001	0.00	nan	180204	0
species	Desulfospira joergensenii	0.00	nan	165927	0
species	Exiguobacterium sp. RIT341	0.00	nan	131196	0
species	Paenibacillus sp. Aloe-11	0.00	nan	127477	0
species	Listeria seeligeri	0.00	nan	90354	0
species	Ruminococcaceae bacterium AE2021	0.00	nan	86398	0
species	Mobiluncus mulieris	0.00	nan	70930	0
species	Marinobacterium jannaschii	0.00	nan	62687	0
species	[Clostridium] bolteae	0.00	nan	61452	0
species	delta proteobacterium MLMS-1	0.00	nan	61315	0
species	Roseobacter sp. CCS2	0.00	nan	57607	0
species	Clostridium ultunense	0.00	nan	55155	0
species	[Clostridium] scindens	0.00	nan	46821	0
species	Desulfotomaculum reducens	0.00	nan	45942	0
species	Candidatus Caldatribacteirum californiense	0.00	nan	41192	0
species	Youngiibacter fragilis	0.00	nan	26720	0
species	Blattabacterium sp. (Nauphoeta cinerea)	0.00	nan	2660	0
species	unassigned	nan	nan	10442680	9704725
