instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.02	13717547	681987776
superkingdom	unassigned	nan	nan	668270229	0
phylum	Actinobacteria	1.00	0.03	5296645	170283398
phylum	Proteobacteria	1.00	0.01	5006251	342309207
phylum	Bacteroidetes	1.00	0.02	2092008	93791733
phylum	Firmicutes	0.99	0.01	754792	59387003
phylum	Verrucomicrobia	1.00	0.04	427433	12109280
phylum	unassigned	nan	nan	668410647	0
class	Actinobacteria	1.00	0.03	5296645	170283398
class	Betaproteobacteria	1.00	0.02	2468898	152092547
class	Alphaproteobacteria	1.00	0.01	1553014	133790407
class	Flavobacteriia	0.99	0.01	947345	66998094
class	Deltaproteobacteria	1.00	0.02	666817	34580988
class	Cytophagia	1.00	0.04	613932	17416710
class	Verrucomicrobiae	1.00	0.04	427433	12109280
class	Clostridia	0.99	0.01	357161	48661076
class	Negativicutes	1.00	0.04	217736	5824876
class	Gammaproteobacteria	0.99	0.01	216803	21845265
class	Sphingobacteriia	1.00	0.04	179534	4828298
class	Bacteroidia	1.00	0.03	127786	4548631
class	Bacilli	1.00	0.02	101559	4901051
class	unassigned	nan	nan	668813113	0
order	Actinomycetales	1.00	0.03	5151676	167402505
order	Burkholderiales	1.00	0.02	2445568	147839706
order	Rhizobiales	1.00	0.01	1023998	71630157
order	Flavobacteriales	0.99	0.01	947345	66998094
order	Cytophagales	1.00	0.04	613932	17416710
order	Rhodobacterales	1.00	0.01	516024	58469510
order	Verrucomicrobiales	1.00	0.04	427433	12109280
order	Clostridiales	0.99	0.01	329431	43069509
order	Syntrophobacterales	1.00	0.02	307306	15571397
order	Selenomonadales	1.00	0.04	217736	5824876
order	Sphingobacteriales	1.00	0.04	179534	4828298
order	Coriobacteriales	1.00	0.05	144969	2880893
order	Bacteroidales	1.00	0.03	127786	4548631
order	Lactobacillales	1.00	0.02	101559	4901051
order	Halanaerobiales	1.00	0.01	26006	2837595
order	Sphingomonadales	1.00	0.00	10122	3690740
order	Desulfobacterales	1.00	0.00	5648	15049143
order	Aeromonadales	1.00	0.00	1999	2664356
order	unassigned	nan	nan	669409704	0
family	Microbacteriaceae	1.00	0.04	2888514	67764802
family	Pseudonocardiaceae	1.00	0.03	1920241	61086993
family	Comamonadaceae	1.00	0.01	1242340	129735985
family	Flavobacteriaceae	0.99	0.01	947345	66998094
family	Hyphomicrobiaceae	1.00	0.02	635864	36626430
family	Cytophagaceae	1.00	0.05	613932	12935152
family	Rhodobacteraceae	1.00	0.01	466530	58469510
family	Verrucomicrobiaceae	1.00	0.04	427433	12109280
family	Cellulomonadaceae	0.00	nan	243244	0
family	Veillonellaceae	1.00	0.04	217736	5824876
family	Sphingobacteriaceae	1.00	0.04	179534	4828298
family	Coriobacteriaceae	1.00	0.05	144969	2880893
family	Marinilabiliaceae	1.00	0.03	127786	4548631
family	Halobacteroidaceae	1.00	0.01	26006	2837595
family	Sphingomonadaceae	0.00	nan	10122	0
family	Succinivibrionaceae	1.00	0.00	1999	2664356
family	Peptoniphilaceae	1.00	0.00	1918	2020910
family	Alcaligenaceae	1.00	0.00	352	18103721
family	unassigned	nan	nan	671891911	0
genus	Lentzea	1.00	0.03	566234	17633990
genus	Spirosoma	0.00	nan	483084	0
genus	Verrucomicrobium	0.00	nan	427433	0
genus	Arenibacter	1.00	0.03	315204	10466050
genus	Acidovorax	0.00	nan	293705	0
genus	Cellulomonas	0.00	nan	243244	0
genus	Anaerovibrio	1.00	0.04	217736	5824876
genus	Sphingobacterium	0.00	nan	179534	0
genus	Salegentibacter	1.00	0.01	130736	26048522
genus	Peptoniphilus	0.00	nan	1918	0
genus	Achromobacter	0.00	nan	352	0
genus	unassigned	nan	nan	679128596	122394364
species	Lentzea albidocapillata	1.00	0.07	566234	8637167
species	Salegentibacter sp. Hel_I_6	0.00	nan	130736	0
species	Achromobacter arsenitoxydans	0.00	nan	352	0
species	unassigned	nan	nan	681290454	245868145
