instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.05	96693450	1970907150
superkingdom	Eukaryota	0.00	nan	26400	0
superkingdom	Viruses	0.00	nan	2100	0
superkingdom	Archaea	0.00	nan	600	0
superkingdom	unassigned	nan	nan	1874184600	0
phylum	Proteobacteria	1.00	0.05	52189650	987927150
phylum	Actinobacteria	1.00	0.04	19391250	493393200
phylum	Bacteroidetes	1.00	0.06	13454250	239536050
phylum	Firmicutes	1.00	0.05	9372750	173814150
phylum	Cyanobacteria	0.00	nan	544950	0
phylum	Verrucomicrobia	0.99	0.00	359700	74088450
phylum	Planctomycetes	0.00	nan	28800	0
phylum	Streptophyta	0.00	nan	17400	0
phylum	Fusobacteria	0.86	0.01	12750	2148150
phylum	Chordata	0.00	nan	4650	0
phylum	Spirochaetes	0.00	nan	3900	0
phylum	Acidobacteria	0.00	nan	3150	0
phylum	Chloroflexi	0.00	nan	3150	0
phylum	Deinococcus-Thermus	0.00	nan	2850	0
phylum	Chlamydiae	0.00	nan	2100	0
phylum	Nematoda	0.00	nan	1800	0
phylum	Arthropoda	0.00	nan	1500	0
phylum	Deferribacteres	0.00	nan	1500	0
phylum	Chrysiogenetes	0.00	nan	1350	0
phylum	Synergistetes	0.00	nan	750	0
phylum	Aquificae	0.00	nan	600	0
phylum	Chlorobi	0.00	nan	450	0
phylum	Euryarchaeota	0.00	nan	450	0
phylum	Tenericutes	0.00	nan	450	0
phylum	Ascomycota	0.00	nan	300	0
phylum	Cloacimonetes	0.00	nan	300	0
phylum	Cnidaria	0.00	nan	300	0
phylum	Nitrospirae	0.00	nan	300	0
phylum	Aminicenantes	0.00	nan	150	0
phylum	Fibrobacteres	0.00	nan	150	0
phylum	Latescibacteria	0.00	nan	150	0
phylum	Thermotogae	0.00	nan	150	0
phylum	unassigned	nan	nan	1875505200	0
class	Alphaproteobacteria	1.00	0.08	33114750	430269600
class	Actinobacteria	1.00	0.04	19391250	493393200
class	Betaproteobacteria	1.00	0.04	14189550	367702950
class	Flavobacteriia	1.00	0.07	12358350	186429150
class	Clostridia	1.00	0.05	7804800	150788700
class	Gammaproteobacteria	0.96	0.08	3786600	48669000
class	Negativicutes	1.00	0.16	1334700	8500350
class	Cytophagia	0.97	0.02	803400	48757200
class	Deltaproteobacteria	0.99	0.01	785250	141285600
class	Verrucomicrobiae	0.99	0.00	295200	74088450
class	Bacilli	0.73	0.01	142500	14525100
class	Sphingobacteriia	0.41	0.01	46950	1819800
class	Bacteroidia	0.77	0.01	39900	2529900
class	Planctomycetia	0.00	nan	28800	0
class	Fusobacteriia	0.86	0.01	12750	2148150
class	Spartobacteria	0.00	nan	11850	0
class	Opitutae	0.00	nan	5250	0
class	Mammalia	0.00	nan	4650	0
class	Erysipelotrichia	0.00	nan	4500	0
class	Spirochaetia	0.00	nan	3900	0
class	Epsilonproteobacteria	0.00	nan	3300	0
class	Deinococci	0.00	nan	2850	0
class	Acidobacteriia	0.00	nan	2100	0
class	Chlamydiia	0.00	nan	2100	0
class	Dehalococcoidia	0.00	nan	1950	0
class	Chromadorea	0.00	nan	1800	0
class	Deferribacteres	0.00	nan	1500	0
class	Chrysiogenetes	0.00	nan	1350	0
class	Insecta	0.00	nan	750	0
class	Synergistia	0.00	nan	750	0
class	Aquificae	0.00	nan	600	0
class	Branchiopoda	0.00	nan	600	0
class	Caldilineae	0.00	nan	600	0
class	Chlorobia	0.00	nan	450	0
class	Chloroflexia	0.00	nan	450	0
class	Holophagae	0.00	nan	450	0
class	Methanomicrobia	0.00	nan	450	0
class	Mollicutes	0.00	nan	450	0
class	Zetaproteobacteria	0.00	nan	450	0
class	Anthozoa	0.00	nan	300	0
class	Nitrospira	0.00	nan	300	0
class	Chitinivibrionia	0.00	nan	150	0
class	Ktedonobacteria	0.00	nan	150	0
class	Leotiomycetes	0.00	nan	150	0
class	Liliopsida	0.00	nan	150	0
class	Maxillopoda	0.00	nan	150	0
class	Solibacteres	0.00	nan	150	0
class	Sordariomycetes	0.00	nan	150	0
class	Thermotogae	0.00	nan	150	0
class	unassigned	nan	nan	1876717500	0
order	Rhodobacterales	1.00	0.14	20669550	145552800
order	Actinomycetales	1.00	0.04	19075950	492115050
order	Burkholderiales	1.00	0.04	14019000	365434350
order	Flavobacteriales	1.00	0.07	12321000	186429150
order	Rhizobiales	0.99	0.04	11957400	281873850
order	Clostridiales	0.99	0.06	7051800	126781500
order	Aeromonadales	1.00	0.18	2061300	11231850
order	Selenomonadales	1.00	0.16	1334700	8500350
order	Cytophagales	0.97	0.02	803400	48757200
order	Thermoanaerobacterales	0.99	0.03	687600	19640250
order	Nostocales	0.00	nan	542850	0
order	Desulfobacterales	0.96	0.00	473400	103684200
order	Oceanospirillales	0.98	0.02	375450	17191200
order	Enterobacteriales	0.94	0.03	321750	10088100
order	Verrucomicrobiales	0.99	0.00	295200	74088450
order	Xanthomonadales	0.89	0.04	251850	6374550
order	Coriobacteriales	1.00	0.17	222750	1278150
order	Desulfuromonadales	0.94	0.01	171450	14973450
order	Pseudomonadales	0.54	0.02	106650	3783300
order	Lactobacillales	0.79	0.01	100800	14525100
order	Sphingomonadales	0.59	0.01	59250	2842950
order	Caulobacterales	0.00	nan	52050	0
order	Sphingobacteriales	0.41	0.01	46950	1819800
order	Rhodocyclales	0.15	0.00	44850	2268600
order	Desulfovibrionales	0.00	nan	40650	0
order	Bacteroidales	0.77	0.01	39900	2529900
order	Rhodospirillales	0.00	nan	32700	0
order	Bacillales	0.00	nan	31650	0
order	Syntrophobacterales	0.90	0.00	29100	22627950
order	Planctomycetales	0.00	nan	28500	0
order	Alteromonadales	0.00	nan	27450	0
order	Halanaerobiales	0.98	0.00	19350	4366950
order	Brassicales	0.00	nan	15450	0
order	Vibrionales	0.00	nan	15450	0
order	Fusobacteriales	0.86	0.01	12750	2148150
order	Neisseriales	0.00	nan	8850	0
order	Methylococcales	0.00	nan	6600	0
order	Myxococcales	0.00	nan	4650	0
order	Opitutales	0.00	nan	4650	0
order	Erysipelotrichales	0.00	nan	4500	0
order	Spirochaetales	0.00	nan	3900	0
order	Nitrosomonadales	0.00	nan	3600	0
order	Campylobacterales	0.00	nan	3150	0
order	Chromatiales	0.00	nan	3150	0
order	Primates	0.00	nan	3000	0
order	Thiotrichales	0.00	nan	2850	0
order	Hydrogenophilales	0.00	nan	2550	0
order	Deinococcales	0.00	nan	2250	0
order	Acidobacteriales	0.00	nan	2100	0
order	Chlamydiales	0.00	nan	2100	0
order	Bifidobacteriales	0.00	nan	1950	0
order	Dehalococcoidales	0.00	nan	1950	0
order	Rhabditida	0.00	nan	1800	0
order	Methylophilales	0.00	nan	1650	0
order	Deferribacterales	0.00	nan	1500	0
order	Solirubrobacterales	0.00	nan	1500	0
order	Caudovirales	0.00	nan	1350	0
order	Chrysiogenales	0.00	nan	1350	0
order	Fabales	0.00	nan	1050	0
order	Oscillatoriales	0.00	nan	900	0
order	Synergistales	0.00	nan	750	0
order	Acidithiobacillales	0.00	nan	600	0
order	Aquificales	0.00	nan	600	0
order	Caldilineales	0.00	nan	600	0
order	Diplostraca	0.00	nan	600	0
order	Kiloniellales	0.00	nan	600	0
order	Rodentia	0.00	nan	600	0
order	Sulfuricellales	0.00	nan	600	0
order	Thermales	0.00	nan	600	0
order	Bacteroidetes Order III. Incertae sedis	0.00	nan	450	0
order	Chlorobiales	0.00	nan	450	0
order	Haloplasmatales	0.00	nan	450	0
order	Holophagales	0.00	nan	450	0
order	Kordiimonadales	0.00	nan	450	0
order	Acidimicrobiales	0.00	nan	300	0
order	Actiniaria	0.00	nan	300	0
order	Candidatus Brocadiales	0.00	nan	300	0
order	Chloroflexales	0.00	nan	300	0
order	Chroococcales	0.00	nan	300	0
order	Desulfarculales	0.00	nan	300	0
order	Diptera	0.00	nan	300	0
order	Gallionellales	0.00	nan	300	0
order	Legionellales	0.00	nan	300	0
order	Lepidoptera	0.00	nan	300	0
order	Malpighiales	0.00	nan	300	0
order	Mariprofundales	0.00	nan	300	0
order	Methanomicrobiales	0.00	nan	300	0
order	Nitrospirales	0.00	nan	300	0
order	Pasteurellales	0.00	nan	300	0
order	Stigonematales	0.00	nan	300	0
order	Arecales	0.00	nan	150	0
order	Chitinivibrionales	0.00	nan	150	0
order	Cingulata	0.00	nan	150	0
order	Coleoptera	0.00	nan	150	0
order	Herpetosiphonales	0.00	nan	150	0
order	Ktedonobacterales	0.00	nan	150	0
order	Methanosarcinales	0.00	nan	150	0
order	Methylacidiphilales	0.00	nan	150	0
order	Mycoplasmatales	0.00	nan	150	0
order	Nautiliales	0.00	nan	150	0
order	Parvularculales	0.00	nan	150	0
order	Puniceicoccales	0.00	nan	150	0
order	Salinisphaerales	0.00	nan	150	0
order	Siphonostomatoida	0.00	nan	150	0
order	Solanales	0.00	nan	150	0
order	Solibacterales	0.00	nan	150	0
order	Sordariales	0.00	nan	150	0
order	Thermotogales	0.00	nan	150	0
order	unassigned	nan	nan	1877479050	0
family	Rhodobacteraceae	1.00	0.14	20590800	145552800
family	Flavobacteriaceae	1.00	0.07	12185250	186429150
family	Pseudonocardiaceae	1.00	0.06	11571300	196255350
family	Comamonadaceae	1.00	0.03	9128100	338050800
family	Bradyrhizobiaceae	1.00	0.05	8466300	169482900
family	Lachnospiraceae	1.00	0.14	6178800	44857350
family	Alcaligenaceae	0.97	0.11	3250500	27383550
family	Intrasporangiaceae	0.99	0.03	2834700	96783000
family	Hyphomicrobiaceae	1.00	0.02	2100150	97614450
family	Succinivibrionaceae	1.00	0.18	2059650	11231850
family	Veillonellaceae	1.00	0.16	1334700	8500350
family	Microbacteriaceae	1.00	0.01	1185150	179528100
family	Cytophagaceae	0.99	0.02	734100	48238500
family	Thermoanaerobacteraceae	0.99	0.03	635850	19640250
family	Microchaetaceae	0.00	nan	542550	0
family	Desulfobulbaceae	0.97	0.00	382200	87745200
family	Oceanospirillaceae	1.00	0.02	357150	17191200
family	Phyllobacteriaceae	0.63	0.03	338550	6789150
family	Enterobacteriaceae	0.94	0.03	321750	10088100
family	Verrucomicrobiaceae	1.00	0.00	290850	74088450
family	Ruminococcaceae	0.63	0.02	289200	11785050
family	Corynebacteriaceae	0.00	nan	272850	0
family	Xanthomonadaceae	0.90	0.04	249750	6374550
family	Rhizobiaceae	0.00	nan	223050	0
family	Coriobacteriaceae	1.00	0.17	222750	1278150
family	Nocardioidaceae	0.76	0.02	188100	7181550
family	Burkholderiaceae	0.00	nan	172800	0
family	Streptomycetaceae	0.00	nan	172050	0
family	Clostridiaceae	0.24	0.00	151350	17452650
family	Oxalobacteraceae	0.00	nan	115950	0
family	Peptococcaceae	0.00	nan	115200	0
family	Pseudomonadaceae	0.56	0.02	102750	3783300
