binner	rank	precision	recall	predicted_size	real_size
stoic_albattani_0	superkingdom	1.00	0.01	21825600	1558571850
stoic_albattani_0	superkingdom	0.00	nan	450	0
stoic_albattani_0	superkingdom	0.00	nan	150	0
stoic_albattani_0	phylum	1.00	0.01	13908000	1265095200
stoic_albattani_0	phylum	1.00	0.02	7327800	293476650
stoic_albattani_0	phylum	0.00	nan	23100	0
stoic_albattani_0	phylum	0.00	nan	6150	0
stoic_albattani_0	phylum	0.00	nan	5550	0
stoic_albattani_0	phylum	0.00	nan	1950	0
stoic_albattani_0	phylum	0.00	nan	1050	0
stoic_albattani_0	phylum	0.00	nan	1050	0
stoic_albattani_0	phylum	0.00	nan	750	0
stoic_albattani_0	phylum	0.00	nan	600	0
stoic_albattani_0	phylum	0.00	nan	300	0
stoic_albattani_0	phylum	0.00	nan	150	0
stoic_albattani_0	phylum	0.00	nan	150	0
stoic_albattani_0	phylum	0.00	nan	150	0
stoic_albattani_0	phylum	0.00	nan	150	0
stoic_albattani_0	phylum	0.00	nan	150	0
stoic_albattani_0	class	1.00	0.01	12675900	1225301700
stoic_albattani_0	class	1.00	0.03	5716200	224638800
stoic_albattani_0	class	1.00	0.02	1358700	68837850
stoic_albattani_0	class	0.26	0.01	961200	39793500
stoic_albattani_0	class	0.00	nan	100200	0
stoic_albattani_0	class	0.00	nan	29100	0
stoic_albattani_0	class	0.00	nan	28650	0
stoic_albattani_0	class	0.00	nan	22650	0
stoic_albattani_0	class	0.00	nan	10800	0
stoic_albattani_0	class	0.00	nan	6000	0
stoic_albattani_0	class	0.00	nan	5550	0
stoic_albattani_0	class	0.00	nan	2700	0
stoic_albattani_0	class	0.00	nan	1950	0
stoic_albattani_0	class	0.00	nan	1050	0
stoic_albattani_0	class	0.00	nan	750	0
stoic_albattani_0	class	0.00	nan	300	0
stoic_albattani_0	class	0.00	nan	150	0
stoic_albattani_0	class	0.00	nan	150	0
stoic_albattani_0	class	0.00	nan	150	0
stoic_albattani_0	class	0.00	nan	150	0
stoic_albattani_0	class	0.00	nan	150	0
stoic_albattani_0	class	0.00	nan	150	0
stoic_albattani_0	class	0.00	nan	150	0
stoic_albattani_0	class	0.00	nan	150	0
stoic_albattani_0	class	0.00	nan	150	0
stoic_albattani_0	class	0.00	nan	150	0
stoic_albattani_0	order	1.00	0.01	12675900	1225301700
stoic_albattani_0	order	1.00	0.02	5033400	224638800
stoic_albattani_0	order	1.00	0.02	1052700	50509050
stoic_albattani_0	order	0.25	0.01	955350	39793500
stoic_albattani_0	order	0.00	nan	215400	0
stoic_albattani_0	order	0.66	0.01	189150	18328800
stoic_albattani_0	order	0.00	nan	27900	0
stoic_albattani_0	order	0.00	nan	25350	0
stoic_albattani_0	order	0.00	nan	22800	0
stoic_albattani_0	order	0.00	nan	22650	0
stoic_albattani_0	order	0.00	nan	22350	0
stoic_albattani_0	order	0.00	nan	13950	0
stoic_albattani_0	order	0.00	nan	13800	0
stoic_albattani_0	order	0.00	nan	11550	0
stoic_albattani_0	order	0.00	nan	10800	0
stoic_albattani_0	order	0.00	nan	10050	0
stoic_albattani_0	order	0.00	nan	6000	0
stoic_albattani_0	order	0.00	nan	5250	0
stoic_albattani_0	order	0.00	nan	4500	0
stoic_albattani_0	order	0.00	nan	4500	0
stoic_albattani_0	order	0.00	nan	3000	0
stoic_albattani_0	order	0.00	nan	3000	0
stoic_albattani_0	order	0.00	nan	2700	0
stoic_albattani_0	order	0.00	nan	2700	0
stoic_albattani_0	order	0.00	nan	2400	0
stoic_albattani_0	order	0.00	nan	2250	0
stoic_albattani_0	order	0.00	nan	2100	0
stoic_albattani_0	order	0.00	nan	2100	0
stoic_albattani_0	order	0.00	nan	1950	0
stoic_albattani_0	order	0.00	nan	1650	0
stoic_albattani_0	order	0.00	nan	1650	0
stoic_albattani_0	order	0.00	nan	1200	0
stoic_albattani_0	order	0.00	nan	1050	0
stoic_albattani_0	order	0.00	nan	900	0
