binner	rank	precision	recall	predicted_size	real_size
pensive_curie_5	superkingdom	1.00	0.82	387204450	474417750
pensive_curie_5	superkingdom	1.00	0.97	31175850	32066700
pensive_curie_5	superkingdom	0.00	nan	44100	0
pensive_curie_5	superkingdom	0.00	nan	3450	0
pensive_curie_5	phylum	1.00	0.92	329957700	359918250
pensive_curie_5	phylum	1.00	0.78	41402550	53265450
pensive_curie_5	phylum	1.00	0.97	31167450	32066700
pensive_curie_5	phylum	0.99	0.25	15400200	61234050
pensive_curie_5	phylum	0.00	nan	29250	0
pensive_curie_5	phylum	0.00	nan	13050	0
pensive_curie_5	phylum	0.00	nan	13050	0
pensive_curie_5	phylum	0.00	nan	9600	0
pensive_curie_5	phylum	0.00	nan	7200	0
pensive_curie_5	phylum	0.00	nan	5850	0
pensive_curie_5	phylum	0.00	nan	4950	0
pensive_curie_5	phylum	0.00	nan	3150	0
pensive_curie_5	phylum	0.00	nan	3000	0
pensive_curie_5	phylum	0.00	nan	2850	0
pensive_curie_5	phylum	0.00	nan	2400	0
pensive_curie_5	phylum	0.00	nan	2250	0
pensive_curie_5	phylum	0.00	nan	1950	0
pensive_curie_5	phylum	0.00	nan	1350	0
pensive_curie_5	phylum	0.00	nan	1350	0
pensive_curie_5	phylum	0.00	nan	1200	0
pensive_curie_5	phylum	0.00	nan	1050	0
pensive_curie_5	phylum	0.00	nan	300	0
pensive_curie_5	phylum	0.00	nan	300	0
pensive_curie_5	phylum	0.00	nan	300	0
pensive_curie_5	phylum	0.00	nan	150	0
pensive_curie_5	phylum	0.00	nan	150	0
pensive_curie_5	phylum	0.00	nan	150	0
pensive_curie_5	phylum	0.00	nan	150	0
pensive_curie_5	phylum	0.00	nan	150	0
pensive_curie_5	phylum	0.00	nan	150	0
pensive_curie_5	phylum	0.00	nan	150	0
pensive_curie_5	phylum	0.00	nan	150	0
pensive_curie_5	phylum	0.00	nan	150	0
pensive_curie_5	phylum	0.00	nan	150	0
pensive_curie_5	phylum	0.00	nan	150	0
pensive_curie_5	phylum	0.00	nan	150	0
pensive_curie_5	phylum	0.00	nan	150	0
pensive_curie_5	phylum	0.00	nan	150	0
pensive_curie_5	class	1.00	1.00	287907450	289052400
pensive_curie_5	class	1.00	0.77	41293500	53265450
pensive_curie_5	class	1.00	0.97	31164450	32066700
pensive_curie_5	class	0.99	0.91	30201150	32795400
pensive_curie_5	class	0.99	0.25	15400200	61234050
pensive_curie_5	class	0.97	0.28	11031450	38070450
pensive_curie_5	class	0.00	nan	322950	0
pensive_curie_5	class	0.00	nan	84750	0
pensive_curie_5	class	0.00	nan	29250	0
pensive_curie_5	class	0.00	nan	9600	0
pensive_curie_5	class	0.00	nan	7200	0
pensive_curie_5	class	0.00	nan	6600	0
pensive_curie_5	class	0.00	nan	6600	0
pensive_curie_5	class	0.00	nan	6000	0
pensive_curie_5	class	0.00	nan	5100	0
pensive_curie_5	class	0.00	nan	4950	0
pensive_curie_5	class	0.00	nan	4800	0
pensive_curie_5	class	0.00	nan	4200	0
pensive_curie_5	class	0.00	nan	3900	0
pensive_curie_5	class	0.00	nan	3150	0
pensive_curie_5	class	0.00	nan	3000	0
pensive_curie_5	class	0.00	nan	2250	0
pensive_curie_5	class	0.00	nan	2250	0
pensive_curie_5	class	0.00	nan	2250	0
pensive_curie_5	class	0.00	nan	1950	0
pensive_curie_5	class	0.00	nan	1650	0
pensive_curie_5	class	0.00	nan	1650	0
pensive_curie_5	class	0.00	nan	1350	0
pensive_curie_5	class	0.00	nan	1350	0
pensive_curie_5	class	0.00	nan	1200	0
pensive_curie_5	class	0.00	nan	1200	0
pensive_curie_5	class	0.00	nan	900	0
pensive_curie_5	class	0.00	nan	750	0
pensive_curie_5	class	0.00	nan	750	0
pensive_curie_5	class	0.00	nan	600	0
pensive_curie_5	class	0.00	nan	600	0
pensive_curie_5	class	0.00	nan	600	0
