instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.10	31501950	320897850
superkingdom	Archaea	1.00	0.14	4960350	34806000
superkingdom	Viruses	0.00	nan	1050	0
superkingdom	Eukaryota	0.00	nan	150	0
superkingdom	unassigned	nan	nan	319240350	0
phylum	Proteobacteria	1.00	0.13	27624300	208458600
phylum	Euryarchaeota	1.00	0.14	4930350	34806000
phylum	Firmicutes	1.00	0.06	3080850	52378800
phylum	Actinobacteria	1.00	0.01	698400	60060450
phylum	Chrysiogenetes	0.00	nan	600	0
phylum	Chlorobi	0.00	nan	450	0
phylum	Spirochaetes	0.00	nan	300	0
phylum	Chordata	0.00	nan	150	0
phylum	Cyanobacteria	0.00	nan	150	0
phylum	Deinococcus-Thermus	0.00	nan	150	0
phylum	unassigned	nan	nan	319368150	0
class	Deltaproteobacteria	1.00	0.17	18922050	112987200
class	Gammaproteobacteria	1.00	0.19	7019100	37798500
class	Halobacteria	1.00	0.14	4930350	34806000
class	Clostridia	1.00	0.06	3061050	52378800
class	Alphaproteobacteria	1.00	0.03	1571100	57672900
class	Actinobacteria	1.00	0.01	698400	60060450
class	Bacilli	0.00	nan	4650	0
class	Betaproteobacteria	0.00	nan	2400	0
class	Chrysiogenetes	0.00	nan	600	0
class	Chlorobia	0.00	nan	450	0
class	Spirochaetia	0.00	nan	300	0
class	Deinococci	0.00	nan	150	0
class	Mammalia	0.00	nan	150	0
class	Negativicutes	0.00	nan	150	0
class	unassigned	nan	nan	319492950	0
order	Desulfobacterales	1.00	0.15	10732350	71478000
order	Desulfovibrionales	1.00	0.19	8072250	41509200
order	Enterobacteriales	1.00	0.19	7006050	37798500
order	Halobacteriales	1.00	0.14	4930350	34806000
order	Clostridiales	1.00	0.06	3060600	52378800
order	Sphingomonadales	1.00	0.03	1512450	57672900
order	Actinomycetales	1.00	0.01	685200	60060450
order	Rhizobiales	0.00	nan	8400	0
order	Caulobacterales	0.00	nan	3750	0
order	Bacillales	0.00	nan	3300	0
order	Rhodospirillales	0.00	nan	3000	0
order	Pseudomonadales	0.00	nan	2700	0
order	Burkholderiales	0.00	nan	1800	0
order	Xanthomonadales	0.00	nan	1800	0
order	Rhodobacterales	0.00	nan	1350	0
order	Caudovirales	0.00	nan	1050	0
order	Acidithiobacillales	0.00	nan	600	0
order	Chrysiogenales	0.00	nan	600	0
order	Desulfuromonadales	0.00	nan	600	0
order	Chlorobiales	0.00	nan	450	0
