instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.90	30578861	33943176
superkingdom	Eukaryota	0.00	nan	3849	0
superkingdom	unassigned	nan	nan	3360466	0
phylum	Proteobacteria	1.00	1.00	30181569	30309583
phylum	Bacteroidetes	1.00	0.08	303234	3633593
phylum	Firmicutes	0.00	nan	4594	0
phylum	Echinodermata	0.00	nan	1746	0
phylum	unassigned	nan	nan	3452033	0
class	Alphaproteobacteria	1.00	1.00	15142224	15144554
class	Gammaproteobacteria	1.00	1.00	8688229	8701293
class	Deltaproteobacteria	1.00	0.98	6350051	6463736
class	Flavobacteriia	1.00	0.08	281016	3633593
class	Sphingobacteriia	0.00	nan	6856	0
class	Cytophagia	0.00	nan	5828	0
class	Bacilli	0.00	nan	3501	0
class	Echinoidea	0.00	nan	1746	0
class	Negativicutes	0.00	nan	1093	0
class	unassigned	nan	nan	3462632	0
order	Rhodobacterales	1.00	1.00	15142224	15144554
order	Desulfobacterales	1.00	0.98	6350051	6463736
order	Pseudomonadales	1.00	1.00	6260470	6277722
order	Xanthomonadales	1.00	1.00	2423571	2423571
order	Flavobacteriales	1.00	0.04	160951	3633593
order	Sphingobacteriales	0.00	nan	6856	0
order	Cytophagales	0.00	nan	5828	0
order	Alteromonadales	0.00	nan	4188	0
order	Bacillales	0.00	nan	3501	0
order	Dictyosteliida	0.00	nan	2103	0
order	Echinoida	0.00	nan	1746	0
order	Selenomonadales	0.00	nan	1093	0
order	unassigned	nan	nan	3580594	0
family	Rhodobacteraceae	1.00	1.00	15142224	15144554
family	Desulfobacteraceae	1.00	0.98	6350051	6463736
family	Pseudomonadaceae	1.00	1.00	6260470	6277722
family	Xanthomonadaceae	1.00	1.00	2423571	2423571
family	Flavobacteriaceae	1.00	0.04	149449	3633593
family	Pseudoalteromonadaceae	0.00	nan	4188	0
family	Sphingobacteriaceae	0.00	nan	3889	0
family	Flammeovirgaceae	0.00	nan	3535	0
family	Staphylococcaceae	0.00	nan	3501	0
family	Saprospiraceae	0.00	nan	2967	0
family	Cryomorphaceae	0.00	nan	2661	0
family	Cyclobacteriaceae	0.00	nan	2293	0
family	Strongylocentrotidae	0.00	nan	1746	0
family	Acidaminococcaceae	0.00	nan	1093	0
family	unassigned	nan	nan	3591538	0
genus	Paracoccus	1.00	1.00	15135239	15144554
genus	Desulfatibacillum	1.00	0.98	6350051	6463736
genus	Pseudomonas	1.00	1.00	6260470	6277722
genus	Xylella	1.00	1.00	2423571	2423571
genus	Dokdonia	0.00	nan	19510	0
genus	Leeuwenhoekiella	0.00	nan	16187	0
genus	Flavobacterium	0.00	nan	14201	0
genus	Polaribacter	0.00	nan	13962	0
genus	Zunongwangia	0.00	nan	10380	0
genus	Croceibacter	0.00	nan	9340	0
genus	Mesoflavibacter	0.00	nan	7302	0
genus	Rhodobacter	0.00	nan	6985	0
genus	Winogradskyella	0.00	nan	4553	0
genus	Gelidibacter	0.00	nan	4384	0
genus	Pseudoalteromonas	0.00	nan	4188	0
genus	Sphingobacterium	0.00	nan	3889	0
genus	Mesonia	0.00	nan	3681	0
genus	Marivirga	0.00	nan	3535	0
genus	Jeotgalicoccus	0.00	nan	3501	0
genus	Cellulophaga	0.00	nan	3209	0
genus	Lewinella	0.00	nan	2967	0
genus	Crocinitomix	0.00	nan	2661	0
genus	Psychroflexus	0.00	nan	2595	0
genus	Kordia	0.00	nan	2457	0
genus	Algoriphagus	0.00	nan	2293	0
genus	Capnocytophaga	0.00	nan	2241	0
genus	Dictyostelium	0.00	nan	2103	0
genus	Empedobacter	0.00	nan	1983	0
genus	Strongylocentrotus	0.00	nan	1746	0
genus	Tenacibaculum	0.00	nan	1744	0
genus	Gillisia	0.00	nan	1247	0
genus	Succinispira	0.00	nan	1093	0
genus	Sediminibacter	0.00	nan	766	0
genus	Lacinutrix	0.00	nan	457	0
genus	Elizabethkingia	0.00	nan	444	0
genus	unassigned	nan	nan	3618241	0
species	Paracoccus denitrificans	1.00	0.69	10383087	15144554
species	Pseudomonas aeruginosa	1.00	1.00	6253486	6277722
species	Desulfatibacillum aliphaticivorans	0.00	nan	3454019	0
species	Desulfatibacillum alkenivorans	1.00	0.43	2752014	6463736
species	Xylella fastidiosa	1.00	1.00	2423571	2423571
species	Paracoccus versutus	0.00	nan	2212414	0
species	Paracoccus pantotrophus	0.00	nan	2059322	0
species	Paracoccus aminophilus	0.00	nan	156999	0
species	Paracoccus sp. 39524	0.00	nan	123512	0
species	Flavobacteria bacterium BBFL7	0.00	nan	104338	0
species	Paracoccus yeei	0.00	nan	92748	0
species	Paracoccus sp. J39	0.00	nan	57629	0
species	Leeuwenhoekiella blandensis	0.00	nan	16187	0
species	Dokdonia sp. 4H-3-7-5	0.00	nan	10637	0
species	Zunongwangia profunda	0.00	nan	10380	0
species	Croceibacter atlanticus	0.00	nan	9340	0
species	Polaribacter sp. MED152	0.00	nan	8648	0
species	Mesoflavibacter zeaxanthinifaciens	0.00	nan	7302	0
species	Rhodobacter sphaeroides	0.00	nan	6985	0
species	Flavobacterium succinicans	0.00	nan	6281	0
species	Dokdonia donghaensis	0.00	nan	5356	0
species	Winogradskyella psychrotolerans	0.00	nan	4553	0
species	Gelidibacter mesophilus	0.00	nan	4384	0
species	Sphingobacterium sp. ACCC 05744	0.00	nan	3889	0
species	Polaribacter sp. Hel1_33_49	0.00	nan	3701	0
species	Mesonia mobilis	0.00	nan	3681	0
species	Marivirga tractuosa	0.00	nan	3535	0
species	Jeotgalicoccus psychrophilus	0.00	nan	3501	0
species	Lewinella cohaerens	0.00	nan	2967	0
species	Flavobacteria bacterium MS024-2A	0.00	nan	2869	0
species	Flavobacterium rivuli	0.00	nan	2768	0
species	Crocinitomix catalasitica	0.00	nan	2661	0
species	Kordia algicida	0.00	nan	2457	0
species	Algoriphagus vanfongensis	0.00	nan	2293	0
species	Capnocytophaga sputigena	0.00	nan	2241	0
species	Dictyostelium discoideum	0.00	nan	2103	0
species	Flavobacteriales bacterium ALC-1	0.00	nan	1997	0
species	Empedobacter falsenii	0.00	nan	1983	0
species	Psychroflexus gondwanensis	0.00	nan	1969	0
species	Flavobacterium sp. F52	0.00	nan	1908	0
species	Flavobacterium sasangense	0.00	nan	1831	0
species	Strongylocentrotus purpuratus	0.00	nan	1746	0
species	Tenacibaculum ovolyticum	0.00	nan	1744	0
species	Cellulophaga baltica	0.00	nan	1680	0
species	Polaribacter sp. Hel1_85	0.00	nan	1613	0
species	Cellulophaga lytica	0.00	nan	1529	0
species	Gillisia limnaea	0.00	nan	1247	0
species	Succinispira mobilis	0.00	nan	1093	0
species	Flavobacterium gelidilacus	0.00	nan	1073	0
species	Flavobacteriaceae bacterium S85	0.00	nan	847	0
species	Sediminibacter sp. Hel_I_10	0.00	nan	766	0
species	Psychroflexus torquis	0.00	nan	626	0
species	Lacinutrix sp. 5H-3-7-4	0.00	nan	457	0
