instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	0.00	nan	1368150	0
superkingdom	Viruses	0.00	nan	150	0
superkingdom	unassigned	nan	nan	15448500	16816800
phylum	Bacteroidetes	0.00	nan	774600	0
phylum	Firmicutes	0.00	nan	394050	0
phylum	Proteobacteria	0.00	nan	126000	0
phylum	Spirochaetes	0.00	nan	900	0
phylum	unassigned	nan	nan	15521250	16816800
class	Bacteroidia	0.00	nan	774600	0
class	Erysipelotrichia	0.00	nan	227550	0
class	Bacilli	0.00	nan	106050	0
class	Epsilonproteobacteria	0.00	nan	78900	0
class	Gammaproteobacteria	0.00	nan	47100	0
class	Spirochaetia	0.00	nan	900	0
class	Clostridia	0.00	nan	150	0
class	unassigned	nan	nan	15581550	16816800
order	Bacteroidales	0.00	nan	774600	0
order	Erysipelotrichales	0.00	nan	227550	0
order	Lactobacillales	0.00	nan	106050	0
order	Campylobacterales	0.00	nan	78900	0
order	Enterobacteriales	0.00	nan	47100	0
order	Spirochaetales	0.00	nan	900	0
order	Clostridiales	0.00	nan	150	0
order	unassigned	nan	nan	15581550	16816800
family	Erysipelotrichaceae	0.00	nan	227550	0
family	Bacteroidaceae	0.00	nan	112350	0
family	Streptococcaceae	0.00	nan	106050	0
family	Porphyromonadaceae	0.00	nan	101850	0
family	Campylobacteraceae	0.00	nan	78900	0
family	Enterobacteriaceae	0.00	nan	47100	0
family	Prevotellaceae	0.00	nan	5100	0
family	Spirochaetaceae	0.00	nan	900	0
family	Rikenellaceae	0.00	nan	750	0
family	Eubacteriaceae	0.00	nan	150	0
family	Retroviridae	0.00	nan	150	0
family	unassigned	nan	nan	16135950	16816800
genus	Bacteroides	0.00	nan	112350	0
genus	Streptococcus	0.00	nan	106050	0
genus	Campylobacter	0.00	nan	78900	0
genus	Porphyromonas	0.00	nan	50400	0
genus	Butyricimonas	0.00	nan	38250	0
genus	Klebsiella	0.00	nan	30450	0
genus	Parabacteroides	0.00	nan	12450	0
genus	Escherichia	0.00	nan	12300	0
genus	Prevotella	0.00	nan	5100	0
genus	Salmonella	0.00	nan	2100	0
genus	Treponema	0.00	nan	900	0
genus	Odoribacter	0.00	nan	600	0
genus	Eubacterium	0.00	nan	150	0
genus	Gammaretrovirus	0.00	nan	150	0
genus	Pectobacterium	0.00	nan	150	0
genus	unassigned	nan	nan	16366500	16816800
species	Erysipelotrichaceae bacterium 5_2_54FAA	0.00	nan	227550	0
species	Streptococcus equi	0.00	nan	106050	0
species	Bacteroides ovatus	0.00	nan	45600	0
species	Butyricimonas virosa	0.00	nan	38250	0
species	Campylobacter jejuni	0.00	nan	32250	0
species	Klebsiella pneumoniae	0.00	nan	30450	0
species	Escherichia coli	0.00	nan	12300	0
species	Parabacteroides merdae	0.00	nan	12150	0
species	Bacteroides thetaiotaomicron	0.00	nan	7350	0
species	Bacteroides pyogenes	0.00	nan	5100	0
species	Bacteroides sp. 1_1_6	0.00	nan	5100	0
species	Bacteroides fragilis	0.00	nan	4800	0
species	Bacteroides xylanisolvens	0.00	nan	2400	0
species	Salmonella enterica	0.00	nan	2100	0
species	Bacteroides sp. HPS0048	0.00	nan	1800	0
species	Prevotella sp. RM4	0.00	nan	1350	0
species	Bacteroides finegoldii	0.00	nan	1050	0
species	Porphyromonas levii	0.00	nan	1050	0
species	Treponema denticola	0.00	nan	900	0
species	Prevotella disiens	0.00	nan	750	0
species	Prevotella sp. HJM029	0.00	nan	750	0
species	Rikenellaceae bacterium M3	0.00	nan	750	0
species	Odoribacter laneus	0.00	nan	600	0
species	Porphyromonas uenonis	0.00	nan	300	0
species	Bacteroides salanitronis	0.00	nan	150	0
species	Murine leukemia virus	0.00	nan	150	0
species	Parabacteroides distasonis	0.00	nan	150	0
species	Parabacteroides johnsonii	0.00	nan	150	0
species	Pectobacterium carotovorum	0.00	nan	150	0
species	Prevotella fusca	0.00	nan	150	0
species	Prevotella veroralis	0.00	nan	150	0
species	[Eubacterium] cellulosolvens	0.00	nan	150	0
species	unassigned	nan	nan	16274850	0
