instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	0.00	nan	116287	0
superkingdom	unassigned	nan	nan	4342197	4458484
phylum	Proteobacteria	0.00	nan	59860	0
phylum	Firmicutes	0.00	nan	56427	0
phylum	unassigned	nan	nan	4342197	4458484
class	Gammaproteobacteria	0.00	nan	59860	0
class	Clostridia	0.00	nan	43779	0
class	unassigned	nan	nan	4354845	4458484
order	Enterobacteriales	0.00	nan	59860	0
order	Clostridiales	0.00	nan	43779	0
order	unassigned	nan	nan	4354845	4458484
family	Enterobacteriaceae	0.00	nan	59860	0
family	unassigned	nan	nan	4398624	4458484
genus	unassigned	nan	nan	4458484	4458484
species	unassigned	nan	nan	4458484	0
