instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	0.00	nan	4081350	0
superkingdom	Archaea	0.00	nan	300	0
superkingdom	unassigned	nan	nan	14356200	18437850
phylum	Bacteroidetes	0.00	nan	2044500	0
phylum	Proteobacteria	0.00	nan	2020650	0
phylum	Firmicutes	0.00	nan	750	0
phylum	Thaumarchaeota	0.00	nan	300	0
phylum	unassigned	nan	nan	14371650	18437850
class	Bacteroidia	0.00	nan	2044050	0
class	Gammaproteobacteria	0.00	nan	2020650	0
class	Bacilli	0.00	nan	750	0
class	Flavobacteriia	0.00	nan	450	0
class	unassigned	nan	nan	14371950	18437850
order	Bacteroidales	0.00	nan	2044050	0
order	Enterobacteriales	0.00	nan	2000100	0
order	Pseudomonadales	0.00	nan	4950	0
order	Bacillales	0.00	nan	750	0
order	Flavobacteriales	0.00	nan	450	0
order	unassigned	nan	nan	14387550	18437850
family	Bacteroidaceae	0.00	nan	2043900	0
family	Enterobacteriaceae	0.00	nan	2000100	0
family	Pseudomonadaceae	0.00	nan	4950	0
family	Staphylococcaceae	0.00	nan	750	0
family	Flavobacteriaceae	0.00	nan	450	0
family	Porphyromonadaceae	0.00	nan	150	0
family	unassigned	nan	nan	14387550	18437850
genus	Bacteroides	0.00	nan	2043900	0
genus	Enterobacter	0.00	nan	663450	0
genus	Escherichia	0.00	nan	584700	0
genus	Klebsiella	0.00	nan	266550	0
genus	Kluyvera	0.00	nan	139350	0
genus	Shimwellia	0.00	nan	60300	0
genus	Pseudomonas	0.00	nan	4950	0
genus	Shigella	0.00	nan	1050	0
genus	Edwardsiella	0.00	nan	750	0
genus	Staphylococcus	0.00	nan	750	0
genus	Erwinia	0.00	nan	600	0
genus	Flavobacterium	0.00	nan	450	0
genus	Tatumella	0.00	nan	300	0
genus	Citrobacter	0.00	nan	150	0
genus	Dickeya	0.00	nan	150	0
genus	Parabacteroides	0.00	nan	150	0
genus	Salmonella	0.00	nan	150	0
genus	unassigned	nan	nan	14670150	18437850
species	Bacteroides uniformis	0.00	nan	1975200	0
species	Enterobacter cloacae	0.00	nan	606300	0
species	Escherichia coli	0.00	nan	584700	0
species	Kluyvera ascorbata	0.00	nan	139350	0
species	Klebsiella oxytoca	0.00	nan	137400	0
species	Klebsiella pneumoniae	0.00	nan	125250	0
species	Shimwellia blattae	0.00	nan	60300	0
species	Enterobacter sp. FB	0.00	nan	52950	0
species	Pseudomonas syringae	0.00	nan	4800	0
species	Enterobacter asburiae	0.00	nan	1800	0
species	Bacteroides dorei	0.00	nan	1500	0
species	Shigella flexneri	0.00	nan	1050	0
species	Enterobacter sp. Bisph1	0.00	nan	900	0
species	Bacteroides sp. 3_1_40A	0.00	nan	750	0
species	Staphylococcus aureus	0.00	nan	750	0
species	Flavobacterium sp. JGI 0001001-D01	0.00	nan	450	0
species	Aigarchaeota archaeon SCGC AAA471-B22	0.00	nan	300	0
species	Bacteroides fragilis	0.00	nan	300	0
species	Bacteroides oleiciplenus	0.00	nan	300	0
species	Tatumella sp. UCD-D_suzukii	0.00	nan	300	0
species	Dickeya sp. 2B12	0.00	nan	150	0
species	Edwardsiella tarda	0.00	nan	150	0
species	Enterobacter sp. MGH 10	0.00	nan	150	0
species	Erwinia amylovora	0.00	nan	150	0
species	Klebsiella sp. 18A069	0.00	nan	150	0
species	Pseudomonas aeruginosa	0.00	nan	150	0
species	Salmonella enterica	0.00	nan	150	0
species	unassigned	nan	nan	14742150	0
