instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	0.00	nan	6402900	0
superkingdom	unassigned	nan	nan	6139050	12541950
phylum	Firmicutes	0.00	nan	5234100	0
phylum	Proteobacteria	0.00	nan	994050	0
phylum	Bacteroidetes	0.00	nan	72600	0
phylum	Actinobacteria	0.00	nan	2250	0
phylum	Verrucomicrobia	0.00	nan	150	0
phylum	unassigned	nan	nan	6238800	12541950
class	Clostridia	0.00	nan	5060550	0
class	Gammaproteobacteria	0.00	nan	986250	0
class	Bacilli	0.00	nan	90600	0
class	Bacteroidia	0.00	nan	71850	0
class	Erysipelotrichia	0.00	nan	52350	0
class	Negativicutes	0.00	nan	14850	0
class	Deltaproteobacteria	0.00	nan	7800	0
class	Actinobacteria	0.00	nan	2250	0
class	Flavobacteriia	0.00	nan	750	0
class	Verrucomicrobiae	0.00	nan	150	0
class	unassigned	nan	nan	6254550	12541950
order	Clostridiales	0.00	nan	5060550	0
order	Enterobacteriales	0.00	nan	986250	0
order	Lactobacillales	0.00	nan	72300	0
order	Bacteroidales	0.00	nan	71850	0
order	Erysipelotrichales	0.00	nan	52350	0
order	Bacillales	0.00	nan	18150	0
order	Selenomonadales	0.00	nan	14850	0
order	Desulfovibrionales	0.00	nan	7800	0
order	Coriobacteriales	0.00	nan	1950	0
order	Flavobacteriales	0.00	nan	750	0
order	Actinomycetales	0.00	nan	150	0
order	Bifidobacteriales	0.00	nan	150	0
order	Verrucomicrobiales	0.00	nan	150	0
order	unassigned	nan	nan	6254700	12541950
family	Peptostreptococcaceae	0.00	nan	1191450	0
family	Enterobacteriaceae	0.00	nan	986250	0
family	Clostridiaceae	0.00	nan	279150	0
family	Oscillospiraceae	0.00	nan	250500	0
family	Lachnospiraceae	0.00	nan	183150	0
family	Bacteroidaceae	0.00	nan	71850	0
family	Erysipelotrichaceae	0.00	nan	52350	0
family	Leuconostocaceae	0.00	nan	36300	0
family	Lactobacillaceae	0.00	nan	29850	0
family	Staphylococcaceae	0.00	nan	18000	0
family	Ruminococcaceae	0.00	nan	17250	0
family	Veillonellaceae	0.00	nan	14850	0
family	Desulfovibrionaceae	0.00	nan	7800	0
family	Eubacteriaceae	0.00	nan	2250	0
family	Coriobacteriaceae	0.00	nan	1950	0
family	Streptococcaceae	0.00	nan	1050	0
family	Flavobacteriaceae	0.00	nan	750	0
family	Bifidobacteriaceae	0.00	nan	150	0
family	Enterococcaceae	0.00	nan	150	0
family	Mycobacteriaceae	0.00	nan	150	0
family	Paenibacillaceae	0.00	nan	150	0
family	Peptococcaceae	0.00	nan	150	0
family	Verrucomicrobiaceae	0.00	nan	150	0
family	unassigned	nan	nan	9396300	12541950
genus	Peptoclostridium	0.00	nan	1191450	0
genus	Escherichia	0.00	nan	800850	0
genus	Clostridium	0.00	nan	279150	0
genus	Oscillibacter	0.00	nan	250500	0
genus	Stomatobaculum	0.00	nan	98700	0
genus	Lachnoclostridium	0.00	nan	75150	0
genus	Bacteroides	0.00	nan	71850	0
genus	Leuconostoc	0.00	nan	36300	0
genus	Lactobacillus	0.00	nan	25650	0
genus	Staphylococcus	0.00	nan	18000	0
genus	Megamonas	0.00	nan	14850	0
genus	Ruminiclostridium	0.00	nan	9750	0
genus	Bilophila	0.00	nan	7800	0
genus	Blautia	0.00	nan	5100	0
genus	Ruminococcus	0.00	nan	3450	0
genus	Eubacterium	0.00	nan	2250	0
genus	Intestinimonas	0.00	nan	2250	0
genus	Collinsella	0.00	nan	1950	0
genus	Faecalibacterium	0.00	nan	1800	0
genus	Candidatus Soleaferrea	0.00	nan	1650	0
genus	Streptococcus	0.00	nan	1050	0
genus	Tyzzerella	0.00	nan	900	0
genus	Gramella	0.00	nan	750	0
genus	Pediococcus	0.00	nan	750	0
genus	Shigella	0.00	nan	750	0
genus	Klebsiella	0.00	nan	450	0
genus	Pseudoflavonifractor	0.00	nan	450	0
genus	Salmonella	0.00	nan	450	0
genus	Subdoligranulum	0.00	nan	450	0
genus	Akkermansia	0.00	nan	150	0
genus	Anaerotruncus	0.00	nan	150	0
genus	Bifidobacterium	0.00	nan	150	0
genus	Desulfitobacterium	0.00	nan	150	0
genus	Enterobacter	0.00	nan	150	0
genus	Enterococcus	0.00	nan	150	0
genus	Faecalitalea	0.00	nan	150	0
genus	Mycobacterium	0.00	nan	150	0
genus	Paenibacillus	0.00	nan	150	0
genus	Sodalis	0.00	nan	150	0
genus	unassigned	nan	nan	9636000	12541950
species	Peptoclostridium difficile	0.00	nan	1191450	0
species	Escherichia coli	0.00	nan	798000	0
species	Stomatobaculum longum	0.00	nan	98700	0
species	Oscillibacter sp. ER4	0.00	nan	91050	0
species	Oscillibacter sp. 1-3	0.00	nan	85650	0
species	Lachnoclostridium phytofermentans	0.00	nan	70500	0
species	Clostridium sp. ATCC BAA-442	0.00	nan	67050	0
species	Erysipelotrichaceae bacterium 3_1_53	0.00	nan	52200	0
species	Bacteroides vulgatus	0.00	nan	36150	0
species	Leuconostoc citreum	0.00	nan	27300	0
species	Megamonas hypermegale	0.00	nan	14700	0
species	Staphylococcus equorum	0.00	nan	12300	0
species	Lactobacillus helveticus	0.00	nan	10950	0
species	[Eubacterium] siraeum	0.00	nan	8700	0
species	Clostridium sp. M62/1	0.00	nan	8400	0
species	Bilophila wadsworthia	0.00	nan	7800	0
species	Clostridium sp. ATCC 29733	0.00	nan	7650	0
species	Bacteroides coprophilus	0.00	nan	6900	0
species	Oscillibacter sp. KLE 1745	0.00	nan	6600	0
species	Bacteroides sp. 4_3_47FAA	0.00	nan	5100	0
species	Lactobacillus farraginis	0.00	nan	4800	0
species	[Ruminococcus] obeum	0.00	nan	4800	0
species	Leuconostoc kimchii	0.00	nan	3300	0
species	Ruminococcus lactaris	0.00	nan	2550	0
species	Clostridiales bacterium VE202-13	0.00	nan	2250	0
species	Clostridium sp. 7_3_54FAA	0.00	nan	2250	0
species	Eubacterium rectale	0.00	nan	2250	0
species	Intestinimonas butyriciproducens	0.00	nan	2250	0
species	Lactobacillus plantarum	0.00	nan	2250	0
species	Collinsella sp. 4_8_47FAA	0.00	nan	1950	0
species	Lactobacillus paracasei	0.00	nan	1950	0
species	Faecalibacterium prausnitzii	0.00	nan	1800	0
species	Candidatus Soleaferrea massiliensis	0.00	nan	1650	0
species	Leuconostoc mesenteroides	0.00	nan	1500	0
species	[Clostridium] clostridioforme	0.00	nan	1500	0
species	[Clostridium] bolteae	0.00	nan	1200	0
species	Streptococcus suis	0.00	nan	1050	0
species	[Clostridium] hylemonae	0.00	nan	1050	0
species	[Clostridium] leptum	0.00	nan	1050	0
species	Ruminococcus albus	0.00	nan	900	0
species	Tyzzerella nexilis	0.00	nan	900	0
species	Gramella forsetii	0.00	nan	750	0
species	Pediococcus claussenii	0.00	nan	750	0
species	Shigella flexneri	0.00	nan	600	0
species	Clostridiales bacterium NK3B98	0.00	nan	450	0
species	Klebsiella pneumoniae	0.00	nan	450	0
species	Lactobacillus delbrueckii	0.00	nan	450	0
species	Lactobacillus mali	0.00	nan	450	0
species	Pseudoflavonifractor capillosus	0.00	nan	450	0
species	Salmonella enterica	0.00	nan	450	0
species	Subdoligranulum variabile	0.00	nan	450	0
species	Blautia hydrogenotrophica	0.00	nan	300	0
species	Staphylococcus epidermidis	0.00	nan	300	0
species	Akkermansia muciniphila	0.00	nan	150	0
species	Anaerotruncus colihominis	0.00	nan	150	0
species	Bacteroides fragilis	0.00	nan	150	0
species	Bifidobacterium kashiwanohense	0.00	nan	150	0
species	Clostridiales bacterium VE202-09	0.00	nan	150	0
species	Clostridiales bacterium VE202-27	0.00	nan	150	0
species	Clostridium sp. DL-VIII	0.00	nan	150	0
species	Desulfitobacterium hafniense	0.00	nan	150	0
species	Enterobacter sp. BIDMC 28	0.00	nan	150	0
species	Faecalitalea cylindroides	0.00	nan	150	0
species	Lachnospiraceae bacterium 7_1_58FAA	0.00	nan	150	0
species	Megamonas rupellensis	0.00	nan	150	0
species	Mycobacterium tuberculosis	0.00	nan	150	0
species	Paenibacillus chitinolyticus	0.00	nan	150	0
species	Shigella boydii	0.00	nan	150	0
species	Sodalis glossinidius	0.00	nan	150	0
species	Staphylococcus agnetis	0.00	nan	150	0
species	Staphylococcus aureus	0.00	nan	150	0
species	Staphylococcus haemolyticus	0.00	nan	150	0
species	Staphylococcus massiliensis	0.00	nan	150	0
species	unassigned	nan	nan	9882750	0
