instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	0.00	nan	35300	0
superkingdom	unassigned	nan	nan	146070	0
phylum	Proteobacteria	0.00	nan	1537	0
phylum	unassigned	nan	nan	179833	181370
class	Gammaproteobacteria	0.00	nan	1537	0
class	unassigned	nan	nan	179833	181370
order	Aeromonadales	0.00	nan	269	0
order	unassigned	nan	nan	181101	181370
family	Aeromonadaceae	0.00	nan	269	0
family	unassigned	nan	nan	181101	181370
genus	unassigned	nan	nan	181370	181370
species	unassigned	nan	nan	181370	181370
