instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	0.00	nan	3600	0
superkingdom	unassigned	nan	nan	8880000	0
phylum	Proteobacteria	0.00	nan	3600	0
phylum	unassigned	nan	nan	8880000	8883600
class	Gammaproteobacteria	0.00	nan	3600	0
class	unassigned	nan	nan	8880000	8883600
order	Aeromonadales	0.00	nan	3600	0
order	unassigned	nan	nan	8880000	8883600
family	Aeromonadaceae	0.00	nan	3600	0
family	unassigned	nan	nan	8880000	8883600
genus	Aeromonas	0.00	nan	3600	0
genus	unassigned	nan	nan	8880000	8883600
species	Aeromonas veronii	0.00	nan	3600	0
species	unassigned	nan	nan	8880000	8883600
