instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	1.00	2772292177	2772292177
superkingdom	Archaea	1.00	1.00	23185149	23185149
superkingdom	unassigned	nan	nan	7599128	0
phylum	Proteobacteria	1.00	1.00	1521045066	1521045066
phylum	Actinobacteria	1.00	1.00	643423328	643423328
phylum	Bacteroidetes	1.00	1.00	295664382	295664382
phylum	Firmicutes	1.00	1.00	269460065	269460065
phylum	Euryarchaeota	1.00	1.00	23185149	23185149
phylum	Verrucomicrobia	1.00	1.00	16429445	16429445
phylum	Fusobacteria	1.00	1.00	6660981	6660981
phylum	Thermotogae	1.00	1.00	6090970	6090970
phylum	Spirochaetes	1.00	1.00	5025696	5025696
phylum	Fibrobacteres	1.00	1.00	3277440	3277440
phylum	Tenericutes	1.00	1.00	3100471	3100471
phylum	Nitrospirae	1.00	1.00	2114333	2114333
phylum	unassigned	nan	nan	7599128	0
class	Alphaproteobacteria	1.00	1.00	833861012	833861012
class	Actinobacteria	1.00	1.00	643423328	643423328
class	Gammaproteobacteria	1.00	1.00	283564862	283564862
class	Betaproteobacteria	1.00	1.00	253679672	253679672
class	Deltaproteobacteria	1.00	1.00	148118577	148118577
class	Clostridia	1.00	1.00	144027995	144027995
class	Flavobacteriia	1.00	1.00	140981969	140981969
class	Bacilli	1.00	1.00	116695892	116695892
class	Cytophagia	1.00	1.00	77861707	77861707
class	Sphingobacteriia	1.00	1.00	60469382	60469382
class	Halobacteria	1.00	1.00	23185149	23185149
class	Verrucomicrobiae	1.00	1.00	16429445	16429445
class	Bacteroidia	1.00	1.00	16351324	16351324
class	Negativicutes	1.00	1.00	8736178	8736178
class	Fusobacteriia	1.00	1.00	6660981	6660981
class	Thermotogae	1.00	1.00	6090970	6090970
class	Spirochaetia	1.00	1.00	5025696	5025696
class	Fibrobacteria	1.00	1.00	3277440	3277440
class	Mollicutes	1.00	1.00	3100471	3100471
class	Nitrospira	1.00	1.00	2114333	2114333
class	Epsilonproteobacteria	1.00	1.00	1820943	1820943
class	unassigned	nan	nan	7599128	0
order	Actinomycetales	1.00	1.00	640542435	640542435
order	Rhizobiales	1.00	1.00	516395188	516395188
order	Burkholderiales	1.00	1.00	237839503	237839503
