Instance	class	precision	recall	predicted class size	real class size
strain	evo_1049056.039	1.0	5.5560288469e-05	150.0	2699770.0
strain	evo_1049056.039	1.0	0.000153716798098	415.0	2699770.0
strain	1220_AJ	0.967762602124	0.065294794946	176379.0	2614190.0
strain	1285_BH	0.713956629167	0.13648691469	872983.0	4566533.0
strain	evo_1049056.039	1.0	0.000109268567322	295.0	2699770.0
strain	evo_1049056.039	1.0	9.33412846279e-05	252.0	2699770.0
strain	1036554	1.0	0.117700491217	312667.0	2656463.0
strain	1220_AJ	1.0	0.000299136635057	782.0	2614190.0
strain	1048993	1.0	0.246825387433	896863.0	3633593.0
strain	1220_AJ	1.0	0.000102899942238	269.0	2614190.0
strain	evo_1286_AP.008	0.405025018899	0.466608095784	3898453.0	3383934.0
strain	1030755	0.813548501235	0.160428842257	910049.0	4614937.0
strain	1030752	1.0	0.2222884352	1395465.0	6277722.0
strain	1030752	0.999108719014	0.19356432158	1216227.0	6277722.0
strain	Sample23_288	1.0	1.0	9994.0	9994.0
strain	1036707	1.0	0.000591318653082	2368.0	4004609.0
strain	1052944	0.629787631034	0.0429384766498	353724.0	5188144.0
strain	1053058	0.431441712708	0.32609089434	3922210.0	5189366.0
strain	1220_AJ	1.0	0.237084144611	619783.0	2614190.0
strain	1365_A	0.723891273247	7.21167961443e-05	699.0	7016396.0
strain	1049089	0.626167411873	0.248997771973	1242385.0	3124289.0
strain	1220_AJ	1.0	0.000114758299894	300.0	2614190.0
strain	1036743	1.0	0.00109893472175	5603.0	5098574.0
strain	1036755	0.992970346599	0.0374348519185	243682.0	6463736.0
strain	1365_A	0.678580392406	0.201143436032	2079786.0	7016396.0
strain	1030755	1.0	0.00772339904098	35643.0	4614937.0
strain	1049089	0.821888962233	0.144664594088	549921.0	3124289.0
strain	1220_AJ	1.0	0.000140770181203	368.0	2614190.0
strain	1220_AJ	1.0	0.000613574376767	1604.0	2614190.0
strain	evo_1035930.011	0.497959346383	0.11602359739	526792.0	2260928.0
strain	1365_A	0.750731238976	0.0287523680248	268722.0	7016396.0
strain	1048993	0.860684931507	0.00345828495376	14600.0	3633593.0
strain	evo_1049056.039	1.0	0.000318916055812	861.0	2699770.0
strain	evo_1286_AP.033	0.380344651475	0.0641833233753	522789.0	3098001.0
strain	1220_AJ	0.774428507396	0.00528729740378	17848.0	2614190.0
strain	1036755	1.0	0.000696191799913	4500.0	6463736.0
strain	evo_1049056.039	1.0	0.000237057230801	640.0	2699770.0
strain	1220_AJ	1.0	0.00110129715132	2879.0	2614190.0
strain	1035900	1.0	0.0952227807002	693137.0	7279109.0
strain	evo_1035930.029	0.250978967051	0.232204317346	2231689.0	2412130.0
strain	1220_AJ	1.0	0.000187438556494	490.0	2614190.0
strain	1365_A	1.0	5.70093250153e-05	400.0	7016396.0
strain	1036755	1.0	0.202306684555	1307657.0	6463736.0
strain	1036707	0.821451173111	0.0525094959333	255986.0	4004609.0
strain	1220_AD	1.0	0.347887293595	1210900.0	3480725.0
strain	1036641	1.0	0.0058129346539	15292.0	2630685.0
strain	1035930	1.0	0.00225906218883	4964.0	2197372.0
strain	1036554	1.0	0.243405987586	646599.0	2656463.0
strain	1036554	1.0	0.0528002836855	140262.0	2656463.0
strain	1036755	1.0	0.0128671715553	83170.0	6463736.0
strain	1036755	1.0	0.0951539481192	615050.0	6463736.0
strain	1036743	1.0	0.000723143373029	3687.0	5098574.0
strain	1048783	1.0	0.391249523946	948221.0	2423571.0
strain	1036539	0.767352924053	0.0451120565713	274824.0	4674737.0
strain	1036608	0.996815529152	0.202351161068	643435.0	3169668.0
strain	1365_A	1.0	0.000524628313453	3681.0	7016396.0
strain	1030878	1.0	0.308880483834	1015671.0	3288233.0
strain	1030836	0.276960878032	0.0798602469159	1412250.0	4897781.0
strain	1285_BH	1.0	0.0299428472322	136735.0	4566533.0
strain	1036728	1.0	0.000798975641677	1608.0	2012577.0
strain	1035900	0.190322257753	0.153331266231	5864343.0	7279109.0
strain	1365_A	1.0	8.80794071486e-05	618.0	7016396.0
strain	1036743	1.0	0.000144157954754	735.0	5098574.0
strain	evo_1049056.039	1.0	0.000222241153876	600.0	2699770.0
strain	1030836	0.215223761708	0.249902966262	5686965.0	4897781.0
strain	1049089	1.0	0.141255818524	441324.0	3124289.0
strain	1036743	1.0	0.000263799250536	1345.0	5098574.0
strain	1048993	0.981107893556	0.0836381509982	309759.0	3633593.0
strain	evo_1049056.039	1.0	0.000337806553892	912.0	2699770.0
strain	1049005	0.615096123901	0.0788534976957	526612.0	4107833.0
strain	evo_1049056.039	0.874893253629	0.000758953540487	2342.0	2699770.0
strain	Sample6_476	1.0	0.032382328157	269.0	8307.0
strain	1036743	0.733424071554	0.00073981470113	5143.0	5098574.0
strain	evo_1049056.031	0.665476797552	0.000773220844019	3922.0	3375491.0
strain	1036743	0.6343412527	0.000576043419199	4630.0	5098574.0
strain	1365_A	1.0	0.00796733821751	55902.0	7016396.0
strain	evo_1049056.011	0.463301183391	0.00201913663351	14619.0	3354404.0
strain	1365_A	1.0	9.5063049463e-05	667.0	7016396.0
strain	evo_1049056.039	0.249289766103	0.0495012538105	536091.0	2699770.0
strain	1365_A	1.0	0.000168034985483	1179.0	7016396.0
strain	1365_A	0.297686306499	0.0675111552997	1591222.0	7016396.0
strain	1036707	1.0	0.00222543574167	8912.0	4004609.0
strain	1030755	1.0	0.24633380694	1136815.0	4614937.0
strain	1036743	1.0	0.00976155293617	49770.0	5098574.0
strain	1036743	0.335547406585	0.155527996652	2363216.0	5098574.0
strain	1036728	0.623260640731	0.166515864983	537698.0	2012577.0
strain	1139_AG	0.897460838901	0.300452897045	2436474.0	7277813.0
strain	1036641	1.0	0.0244065709121	64206.0	2630685.0
strain	1220_AJ	1.0	0.000146508096198	383.0	2614190.0
strain	1052947	1.0	0.0058042258473	27669.0	4767044.0
strain	1048993	1.0	0.0237024344774	86125.0	3633593.0
strain	1365_A	1.0	9.03597801492e-05	634.0	7016396.0
strain	1035900	1.0	0.0682815712747	497029.0	7279109.0
strain	Sample6_722	0	0	0	7258.0
strain	Sample23_273	0	0	0	10364.0
strain	Sample19_56	0	0	0	29366.0
strain	Sample22_57	0	0	0	37672.0
strain	Sample16_19	0	0	0	77336.0
strain	Sample23_271	0	0	0	10434.0
strain	Sample6_289	0	0	0	14081.0
strain	Sample6_527	0	0	0	9295.0
strain	Sample9_2	0	0	0	33254.0
strain	Sample22_283	0	0	0	16206.0
strain	Sample15_97	0	0	0	6594.0
strain	1286_AP	0	0	0	2975025.0
strain	Sample19_20	0	0	0	59741.0
strain	evo_1049056.015	0	0	0	3365233.0
strain	evo_1286_AP.026	0	0	0	3210938.0
strain	evo_1035930.032	0	0	0	2294831.0
strain	evo_1286_AP.037	0	0	0	3082966.0
strain	Sample9_65	0	0	0	12323.0
strain	Sample6_49	0	0	0	31699.0
strain	Sample18_57	0	0	0	20518.0
strain	1049056	0	0	0	3262395.0
strain	evo_1049056.013	0	0	0	3515086.0
strain	Sample18_8	0	0	0	49909.0
strain	Sample22_89	0	0	0	31415.0
strain	Sample19_52	0	0	0	29728.0
