instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	1.00	136397801	136397801
superkingdom	Archaea	1.00	1.00	6411802	6411802
phylum	Proteobacteria	1.00	1.00	86840326	86840326
phylum	Firmicutes	1.00	1.00	41994973	41994973
phylum	Bacteroidetes	1.00	1.00	7562502	7562502
phylum	Euryarchaeota	1.00	1.00	6411802	6411802
class	Alphaproteobacteria	1.00	1.00	61809107	61809107
class	Clostridia	1.00	1.00	29404258	29404258
class	Gammaproteobacteria	1.00	1.00	19184976	19184976
class	Bacilli	1.00	1.00	12590715	12590715
class	Halobacteria	1.00	1.00	4877686	4877686
class	Sphingobacteriia	1.00	1.00	4779416	4779416
class	Deltaproteobacteria	1.00	1.00	3111934	3111934
class	Bacteroidia	1.00	1.00	2783086	2783086
class	Betaproteobacteria	1.00	1.00	2734309	2734309
class	Thermoplasmata	1.00	1.00	1534116	1534116
order	Rhodospirillales	1.00	1.00	22154048	22154048
order	Clostridiales	1.00	1.00	19004148	19004148
order	Rhizobiales	1.00	1.00	18801163	18801163
order	Rhodobacterales	1.00	1.00	17120811	17120811
order	Thermoanaerobacterales	1.00	1.00	10400110	10400110
order	Bacillales	1.00	1.00	10193867	10193867
order	Vibrionales	1.00	1.00	8287247	8287247
order	Pseudomonadales	1.00	1.00	5477884	5477884
order	Enterobacteriales	1.00	1.00	5419845	5419845
order	Halobacteriales	1.00	1.00	4877686	4877686
order	Sphingobacteriales	1.00	1.00	4779416	4779416
order	Sphingomonadales	1.00	1.00	3733085	3733085
order	Desulfovibrionales	1.00	1.00	3111934	3111934
order	Bacteroidales	1.00	1.00	2783086	2783086
order	Nitrosomonadales	1.00	1.00	2734309	2734309
order	Lactobacillales	1.00	1.00	2396848	2396848
order	Thermoplasmatales	1.00	1.00	1534116	1534116
family	Rhodospirillaceae	1.00	1.00	22154048	22154048
family	Rhodobacteraceae	1.00	1.00	17120811	17120811
family	Rhizobiaceae	1.00	1.00	13774939	13774939
family	Thermoanaerobacteraceae	1.00	1.00	10400110	10400110
family	Vibrionaceae	1.00	1.00	8287247	8287247
family	Planococcaceae	1.00	1.00	7245311	7245311
family	Clostridiaceae	1.00	1.00	6056587	6056587
family	Peptostreptococcaceae	1.00	1.00	5487156	5487156
family	Pseudomonadaceae	1.00	1.00	5477884	5477884
family	Enterobacteriaceae	1.00	1.00	5419845	5419845
family	Xanthobacteraceae	1.00	1.00	5026224	5026224
family	Halobacteriaceae	1.00	1.00	4877686	4877686
family	Lachnospiraceae	1.00	1.00	4834992	4834992
family	Sphingobacteriaceae	1.00	1.00	4779416	4779416
family	Sphingomonadaceae	1.00	1.00	3733085	3733085
family	Desulfovibrionaceae	1.00	1.00	3111934	3111934
family	Bacillaceae	1.00	1.00	2948556	2948556
family	Nitrosomonadaceae	1.00	1.00	2734309	2734309
family	Peptococcaceae	1.00	1.00	2625413	2625413
family	Enterococcaceae	1.00	1.00	2396848	2396848
family	Porphyromonadaceae	1.00	1.00	2044131	2044131
family	Picrophilaceae	1.00	1.00	1534116	1534116
family	Prevotellaceae	1.00	1.00	738955	738955
genus	Phaeospirillum	1.00	1.00	15012162	15012162
genus	Sinorhizobium	1.00	1.00	13774939	13774939
genus	Paracoccus	1.00	1.00	9589943	9589943
genus	Vibrio	1.00	1.00	8287247	8287247
genus	Rhodobacter	1.00	1.00	7530868	7530868
genus	Sporosarcina	1.00	1.00	7245311	7245311
genus	Azospirillum	1.00	1.00	7141886	7141886
genus	Azotobacter	1.00	1.00	5477884	5477884
genus	Rahnella	1.00	1.00	5419845	5419845
genus	Thermoanaerobacter	1.00	1.00	5263147	5263147
genus	Moorella	1.00	1.00	5136963	5136963
genus	Xanthobacter	1.00	1.00	5026224	5026224
genus	Halobacterium	1.00	1.00	4877686	4877686
genus	Butyrivibrio	1.00	1.00	4834992	4834992
genus	Pedobacter	1.00	1.00	4779416	4779416
genus	Sphingomonas	1.00	1.00	3733085	3733085
genus	Butyricicoccus	1.00	1.00	3268385	3268385
genus	Desulfovibrio	1.00	1.00	3111934	3111934
genus	Bacillus	1.00	1.00	2948556	2948556
genus	Intestinibacter	1.00	1.00	2937124	2937124
genus	Clostridium	1.00	1.00	2788202	2788202
genus	Nitrosomonas	1.00	1.00	2734309	2734309
genus	Desulfotomaculum	1.00	1.00	2625413	2625413
