instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.92	53954220	58753980
superkingdom	Eukaryota	0.00	nan	251976	0
superkingdom	unassigned	nan	nan	4547784	0
phylum	Bacteroidetes	1.00	0.69	20216974	29144897
phylum	Firmicutes	0.97	0.94	17202778	17763441
phylum	Actinobacteria	0.98	1.00	4636255	4566533
phylum	Chloroflexi	1.00	0.50	3656580	7279109
phylum	Cyanobacteria	0.00	nan	2595602	0
phylum	Proteobacteria	0.00	nan	805187	0
phylum	Acidobacteria	0.00	nan	324498	0
phylum	Fusobacteria	0.00	nan	152788	0
phylum	Arthropoda	0.00	nan	123839	0
phylum	Chordata	0.00	nan	104417	0
phylum	Tenericutes	0.00	nan	38540	0
phylum	Streptophyta	0.00	nan	16044	0
phylum	Spirochaetes	0.00	nan	8701	0
phylum	Atribacteria	0.00	nan	7522	0
phylum	Ignavibacteriae	0.00	nan	6887	0
phylum	Ascomycota	0.00	nan	5366	0
phylum	Aquificae	0.00	nan	1110	0
phylum	Chlorobi	0.00	nan	709	0
phylum	Marinimicrobia	0.00	nan	297	0
phylum	Thermotogae	0.00	nan	276	0
phylum	unassigned	nan	nan	8849610	0
class	Bacilli	0.98	1.00	16022326	15750864
class	Sphingobacteriia	1.00	0.35	10095443	29144897
class	Actinobacteria	0.98	1.00	4636255	4566533
class	Ktedonobacteria	1.00	0.50	3656580	7279109
class	Flavobacteriia	0.00	nan	2392676	0
class	class_Nostocales	0.00	nan	2278373	0
class	Cytophagia	0.00	nan	1214582	0
class	Bacteroidia	0.00	nan	958259	0
class	Clostridia	0.83	0.32	771291	2012577
class	Alphaproteobacteria	0.00	nan	379617	0
class	Acidobacteriia	0.00	nan	324498	0
class	class_Bacteroidetes bacterium SCGC AAA027-G08	0.00	nan	314335	0
class	Negativicutes	0.00	nan	226202	0
class	Fusobacteriia	0.00	nan	152788	0
class	Insecta	0.00	nan	123839	0
class	Gammaproteobacteria	0.00	nan	114652	0
class	Mammalia	0.00	nan	104417	0
class	Betaproteobacteria	0.00	nan	99664	0
class	Mollicutes	0.00	nan	38540	0
class	class_Oscillatoriales	0.00	nan	35009	0
class	class_Chroococcales	0.00	nan	21269	0
class	class_Proteales	0.00	nan	14315	0
class	Spirochaetia	0.00	nan	8701	0
class	class_Atribacteria bacterium SCGC AAA255-G05	0.00	nan	7522	0
class	Epsilonproteobacteria	0.00	nan	7511	0
class	Ignavibacteria	0.00	nan	6887	0
class	Saccharomycetes	0.00	nan	5366	0
class	class_Cytophagales bacterium B6	0.00	nan	1737	0
class	Erysipelotrichia	0.00	nan	1518	0
class	class_Bacteroidetes bacterium SCGC AAA027-N21	0.00	nan	1159	0
class	Aquificae	0.00	nan	1110	0
class	class_Solanales	0.00	nan	1018	0
class	Coleochaetophyceae	0.00	nan	711	0
class	Chlorobia	0.00	nan	709	0
class	class_Marinimicrobia bacterium SCGC AAA003-E22	0.00	nan	297	0
class	Thermotogae	0.00	nan	276	0
class	unassigned	nan	nan	14734528	0
order	Bacillales	0.99	1.00	15981859	15750864
order	Sphingobacteriales	1.00	0.35	10095443	29144897
order	Actinomycetales	0.98	1.00	4636255	4566533
order	Ktedonobacterales	1.00	0.50	3656580	7279109
order	Flavobacteriales	0.00	nan	2390589	0
order	Nostocales	0.00	nan	2278373	0
order	Cytophagales	0.00	nan	1214582	0
order	Bacteroidales	0.00	nan	958259	0
order	Clostridiales	0.81	0.29	711842	2012577
order	Acidobacteriales	0.00	nan	324498	0
order	order_Bacteroidetes bacterium SCGC AAA027-G08	0.00	nan	314335	0
order	Rhizobiales	0.00	nan	273261	0
order	Selenomonadales	0.00	nan	226202	0
order	Fusobacteriales	0.00	nan	152788	0
order	Diptera	0.00	nan	123839	0
order	Sphingomonadales	0.00	nan	101757	0
order	Gallionellales	0.00	nan	96272	0
order	Enterobacteriales	0.00	nan	91962	0
order	Rodentia	0.00	nan	58786	0
order	Thermoanaerobacterales	0.00	nan	39748	0
order	Mycoplasmatales	0.00	nan	38129	0
order	Oscillatoriales	0.00	nan	35009	0
order	Lactobacillales	0.00	nan	31514	0
order	Chroococcales	0.00	nan	21269	0
order	Alteromonadales	0.00	nan	19581	0
order	Halanaerobiales	0.00	nan	15526	0
order	Proteales	0.00	nan	14315	0
order	Spirochaetales	0.00	nan	8701	0
order	order_Atribacteria bacterium SCGC AAA255-G05	0.00	nan	7522	0
order	Campylobacterales	0.00	nan	7511	0
order	Ignavibacteriales	0.00	nan	6887	0
order	Carnivora	0.00	nan	5846	0
order	Saccharomycetales	0.00	nan	5366	0
order	Rickettsiales	0.00	nan	4599	0
order	Burkholderiales	0.00	nan	3078	0
order	Chromatiales	0.00	nan	2683	0
order	order_Flavobacteria bacterium BBFL7	0.00	nan	2087	0
order	order_Cytophagales bacterium B6	0.00	nan	1737	0
order	Erysipelotrichales	0.00	nan	1518	0
order	order_Bacteroidetes bacterium SCGC AAA027-N21	0.00	nan	1159	0
order	Aquificales	0.00	nan	1110	0
order	Solanales	0.00	nan	1018	0
order	Coleochaetales	0.00	nan	711	0
order	Chlorobiales	0.00	nan	709	0
order	Primates	0.00	nan	615	0
order	Acholeplasmatales	0.00	nan	411	0
order	Neisseriales	0.00	nan	314	0
order	order_Marinimicrobia bacterium SCGC AAA003-E22	0.00	nan	297	0
order	Legionellales	0.00	nan	276	0
order	Thermotogales	0.00	nan	276	0
order	Perissodactyla	0.00	nan	251	0
order	Vibrionales	0.00	nan	150	0
