instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.41	10322698	25402449
superkingdom	Eukaryota	0.00	nan	293	0
superkingdom	unassigned	nan	nan	15079458	0
phylum	Proteobacteria	1.00	0.41	6095252	15016727
phylum	Firmicutes	1.00	0.32	3289099	10385722
phylum	unassigned	nan	nan	16018098	0
class	Betaproteobacteria	1.00	0.34	2622840	7784605
class	Alphaproteobacteria	1.00	0.35	2564575	7232122
class	Clostridia	1.00	0.22	1721613	7729259
class	Negativicutes	1.00	0.41	1099528	2656463
class	Gammaproteobacteria	0.00	nan	35643	0
class	Bacilli	0.00	nan	12312	0
class	unassigned	nan	nan	17345938	0
order	Rhodobacterales	1.00	0.31	2232609	7232122
order	Clostridiales	1.00	0.22	1710290	7729259
order	Neisseriales	1.00	0.25	1136815	4614937
order	Selenomonadales	1.00	0.41	1099528	2656463
order	Burkholderiales	1.00	0.22	704948	3169668
order	Pseudomonadales	0.00	nan	35643	0
order	Bacillales	0.00	nan	9375	0
order	unassigned	nan	nan	18473241	0
family	Rhodobacteraceae	1.00	0.31	2232609	7232122
family	Chromobacteriaceae	1.00	0.25	1136815	4614937
family	Veillonellaceae	1.00	0.30	786861	2656463
family	Comamonadaceae	1.00	0.20	641386	3169668
family	Clostridiaceae	0.82	0.01	87599	5098574
family	Peptostreptococcaceae	1.00	0.03	79498	2630685
family	Lachnospiraceae	0.00	nan	54802	0
family	Pseudomonadaceae	0.00	nan	35643	0
family	Bacillaceae	0.00	nan	3772	0
family	Ruminococcaceae	0.00	nan	735	0
family	unassigned	nan	nan	20342729	0
genus	Rhodobacter	0.00	nan	1242385	0
genus	Selenomonas	0.00	nan	646599	0
genus	Loktanella	0.00	nan	441324	0
genus	Clostridium	0.00	nan	68128	0
genus	Peptoclostridium	0.00	nan	15292	0
genus	Lachnoclostridium	0.00	nan	3687	0
genus	Cellulosilyticum	0.00	nan	1345	0
genus	unassigned	nan	nan	22983689	0
species	Cellulosilyticum lentocellum	0.00	nan	1345	0
species	unassigned	nan	nan	25401104	0
