instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.97	1345979700	1391387700
superkingdom	Archaea	1.00	0.96	3661200	3780900
superkingdom	Viruses	0.00	nan	51000	0
superkingdom	Eukaryota	0.00	nan	20400	0
superkingdom	superkingdom_uncultured organism	0.00	nan	12300	0
superkingdom	unassigned	nan	nan	45444000	0
phylum	Proteobacteria	1.00	0.61	706925100	1164264900
phylum	Firmicutes	1.00	0.59	120894000	203097900
phylum	Bacteroidetes	1.00	0.61	14590500	24024900
phylum	Euryarchaeota	1.00	0.60	2267400	3780900
phylum	Actinobacteria	0.00	nan	134100	0
phylum	Cyanobacteria	0.00	nan	71700	0
phylum	phylum_Caudovirales	0.00	nan	38700	0
phylum	Streptophyta	0.00	nan	13500	0
phylum	Verrucomicrobia	0.00	nan	13500	0
phylum	phylum_uncultured organism	0.00	nan	12300	0
phylum	Acidobacteria	0.00	nan	11700	0
phylum	Spirochaetes	0.00	nan	9300	0
phylum	Planctomycetes	0.00	nan	7800	0
phylum	Deinococcus-Thermus	0.00	nan	7500	0
phylum	phylum_uncultured bacterium	0.00	nan	6900	0
phylum	Chloroflexi	0.00	nan	5100	0
phylum	Crenarchaeota	0.00	nan	4500	0
phylum	Nitrospirae	0.00	nan	4500	0
phylum	Chordata	0.00	nan	3600	0
phylum	Aquificae	0.00	nan	2700	0
phylum	Chlorobi	0.00	nan	2700	0
phylum	Fusobacteria	0.00	nan	2400	0
phylum	phylum_bacterium YEK0313	0.00	nan	2400	0
phylum	Thermotogae	0.00	nan	2100	0
phylum	Gemmatimonadetes	0.00	nan	1800	0
phylum	Tenericutes	0.00	nan	1500	0
phylum	phylum_bacterium UASB270	0.00	nan	1500	0
phylum	Poribacteria	0.00	nan	1200	0
phylum	Synergistetes	0.00	nan	1200	0
phylum	phylum_Clostridium phage phiCT19406C	0.00	nan	1200	0
phylum	phylum_Deep-sea thermophilic phage D6E	0.00	nan	900	0
phylum	phylum_Thermobaculum	0.00	nan	900	0
phylum	phylum_bacterium JKG1	0.00	nan	900	0
phylum	Thermodesulfobacteria	0.00	nan	600	0
phylum	phylum_uncultured bacterium EB1	0.00	nan	600	0
phylum	phylum_uncultured bacterium FGYC_13M19	0.00	nan	600	0
phylum	phylum_uncultured virus	0.00	nan	600	0
phylum	phylum_unidentified phage	0.00	nan	600	0
phylum	Aerophobetes	0.00	nan	300	0
phylum	Aminicenantes	0.00	nan	300	0
phylum	Calescamantes	0.00	nan	300	0
phylum	Chlamydiae	0.00	nan	300	0
phylum	Cloacimonetes	0.00	nan	300	0
phylum	Deferribacteres	0.00	nan	300	0
phylum	Dictyoglomi	0.00	nan	300	0
phylum	Fervidibacteria	0.00	nan	300	0
phylum	Nematoda	0.00	nan	300	0
phylum	Nitrospinae	0.00	nan	300	0
phylum	Platyhelminthes	0.00	nan	300	0
phylum	phylum_Caldithrix	0.00	nan	300	0
phylum	phylum_Candidatus Methylomirabilis	0.00	nan	300	0
phylum	phylum_Clostridium phage phiCT19406B	0.00	nan	300	0
phylum	phylum_Clostridium phage phiCT453B	0.00	nan	300	0
phylum	phylum_Clostridium phage phiCT9441A	0.00	nan	300	0
phylum	phylum_Emiliania huxleyi virus PS401	0.00	nan	300	0
phylum	phylum_Rhodobacter phage RcNL1	0.00	nan	300	0
phylum	phylum_Vibrio phage VBpm10	0.00	nan	300	0
phylum	phylum_uncultured bacterium 1114	0.00	nan	300	0
phylum	phylum_uncultured bacterium 122006-I05	0.00	nan	300	0
phylum	phylum_uncultured bacterium CSL142	0.00	nan	300	0
phylum	unassigned	nan	nan	550113900	0
class	Alphaproteobacteria	1.00	0.60	667005000	1114682400
class	Clostridia	1.00	0.58	96678600	165675600
class	Bacilli	0.99	0.60	22436400	37422300
class	Deltaproteobacteria	1.00	0.60	15526800	25828500
class	Gammaproteobacteria	0.96	0.62	14918700	23298300
class	Sphingobacteriia	1.00	0.53	11774700	22372200
class	Thermoplasmata	1.00	0.59	1722300	2936700
class	Bacteroidia	0.95	0.58	1017600	1652700
class	Betaproteobacteria	0.33	0.57	775200	455700
class	Halobacteria	1.00	0.62	528000	844200
class	Flavobacteriia	0.00	nan	263400	0
class	Actinobacteria	0.00	nan	134100	0
class	Cytophagia	0.00	nan	59100	0
class	class_Caudovirales	0.00	nan	38700	0
class	class_Chroococcales	0.00	nan	18000	0
class	Negativicutes	0.00	nan	17400	0
class	class_uncultured organism	0.00	nan	12300	0
class	class_Nostocales	0.00	nan	11100	0
class	Opitutae	0.00	nan	9300	0
class	Spirochaetia	0.00	nan	9300	0
class	Planctomycetia	0.00	nan	7800	0
class	Deinococci	0.00	nan	7500	0
class	class_Oscillatoriales	0.00	nan	7500	0
class	Methanomicrobia	0.00	nan	7200	0
class	class_uncultured bacterium	0.00	nan	6900	0
class	class_Cytophagales bacterium B6	0.00	nan	6000	0
class	Erysipelotrichia	0.00	nan	5700	0
class	Acidobacteriia	0.00	nan	4800	0
class	Nitrospira	0.00	nan	4500	0
class	Thermoprotei	0.00	nan	4500	0
class	class_Pleurocapsales	0.00	nan	4500	0
class	Epsilonproteobacteria	0.00	nan	3900	0
class	Solibacteres	0.00	nan	3900	0
class	class_Malpighiales	0.00	nan	3600	0
class	class_Brassicales	0.00	nan	3000	0
class	Aquificae	0.00	nan	2700	0
class	Chlorobia	0.00	nan	2700	0
