instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.48	3542093550	7390139250
superkingdom	Archaea	0.98	0.97	31667700	32066700
superkingdom	Eukaryota	0.00	nan	1117650	0
superkingdom	Viruses	0.00	nan	156300	0
superkingdom	unassigned	nan	nan	3910598850	0
phylum	Proteobacteria	0.99	0.54	2185290600	3997593000
phylum	Actinobacteria	0.99	0.50	876124800	1739275350
phylum	Firmicutes	0.98	0.39	313193850	779498400
phylum	Bacteroidetes	0.99	0.19	146631300	751846800
phylum	Euryarchaeota	0.98	0.97	31623450	32066700
phylum	Cyanobacteria	0.00	nan	1225200	0
phylum	Spirochaetes	0.71	0.04	899250	14815650
phylum	Fusobacteria	0.72	0.01	884250	44743350
phylum	Verrucomicrobia	0.60	0.01	668700	44124000
phylum	Deinococcus-Thermus	0.00	nan	667950	0
phylum	phylum_bacterium YEK0313	0.00	nan	637950	0
phylum	Ascomycota	0.00	nan	539550	0
phylum	Tenericutes	0.77	0.05	496050	7008300
phylum	Chordata	0.00	nan	415950	0
phylum	Acidobacteria	0.00	nan	353700	0
phylum	Thermotogae	0.86	0.04	351900	7102200
phylum	Planctomycetes	0.00	nan	197100	0
phylum	Chloroflexi	0.00	nan	162300	0
phylum	Gemmatimonadetes	0.00	nan	133800	0
phylum	Basidiomycota	0.00	nan	122850	0
phylum	phylum_bacterium SIT7	0.00	nan	109200	0
phylum	Synergistetes	0.00	nan	106350	0
phylum	Chlorobi	0.00	nan	93450	0
phylum	Nitrospirae	0.62	0.02	75150	1866450
phylum	phylum_Caudovirales	0.00	nan	44850	0
phylum	Deferribacteres	0.00	nan	42900	0
phylum	Fibrobacteres	0.58	0.01	42450	2265750
phylum	phylum_Vibrio phage martha 12B12	0.00	nan	41550	0
phylum	Chrysiogenetes	0.00	nan	38100	0
phylum	phylum_bacterium MS4	0.00	nan	32700	0
phylum	Aquificae	0.00	nan	27000	0
phylum	phylum_bacterium JKG1	0.00	nan	27000	0
phylum	phylum_bacterium UASB14	0.00	nan	24000	0
phylum	Armatimonadetes	0.00	nan	21600	0
phylum	Chlamydiae	0.00	nan	20550	0
phylum	Nitrospinae	0.00	nan	18450	0
phylum	Thermodesulfobacteria	0.00	nan	18300	0
phylum	Thaumarchaeota	0.00	nan	14100	0
phylum	Marinimicrobia	0.00	nan	13350	0
phylum	Cloacimonetes	0.00	nan	13200	0
phylum	Atribacteria	0.00	nan	12600	0
phylum	Ignavibacteriae	0.00	nan	12600	0
phylum	Latescibacteria	0.00	nan	12150	0
phylum	Crenarchaeota	0.00	nan	11700	0
phylum	phylum_Caldithrix	0.00	nan	11400	0
phylum	phylum_Candidatus Methylomirabilis	0.00	nan	11100	0
phylum	phylum_Haloplasmatales	0.00	nan	9750	0
phylum	Aminicenantes	0.00	nan	8100	0
phylum	phylum_Herpesvirales	0.00	nan	7500	0
phylum	phylum_bacterium LF-3	0.00	nan	7200	0
phylum	Omnitrophica	0.00	nan	7050	0
phylum	phylum_halophilic archaeon DL31	0.00	nan	6900	0
phylum	phylum_Thermobaculum	0.00	nan	6750	0
phylum	Dictyoglomi	0.00	nan	6600	0
phylum	phylum_bacterium UASB270	0.00	nan	5250	0
phylum	phylum_BRC1 bacterium SCGC AAA252-M09	0.00	nan	5100	0
phylum	phylum_Mucorales	0.00	nan	5100	0
phylum	phylum_Geminiviridae	0.00	nan	4950	0
phylum	phylum_Microviridae	0.00	nan	4800	0
phylum	Poribacteria	0.00	nan	3750	0
phylum	phylum_Papillomaviridae	0.00	nan	3750	0
phylum	phylum_bacterium OL-1	0.00	nan	3750	0
phylum	Microsporidia	0.00	nan	3600	0
phylum	Lentisphaerae	0.00	nan	3300	0
phylum	Aerophobetes	0.00	nan	3000	0
phylum	phylum_Potyviridae	0.00	nan	2850	0
phylum	Elusimicrobia	0.00	nan	2700	0
phylum	phylum_Picornavirales	0.00	nan	2700	0
phylum	phylum_Tymovirales	0.00	nan	2700	0
phylum	phylum_candidate division TM6 bacterium JCVI TM6SC1	0.00	nan	2700	0
phylum	Chytridiomycota	0.00	nan	2550	0
phylum	Microgenomates	0.00	nan	2550	0
phylum	phylum_Phycodnaviridae	0.00	nan	2550	0
phylum	Candidatus Saccharibacteria	0.00	nan	2400	0
phylum	phylum_Baculoviridae	0.00	nan	2400	0
phylum	phylum_Mimiviridae	0.00	nan	2400	0
phylum	Parcubacteria	0.00	nan	2250	0
phylum	phylum_Mononegavirales	0.00	nan	2250	0
phylum	phylum_WS1 bacterium JGI 0000059-K21	0.00	nan	2250	0
phylum	phylum_Halyomorpha halys symbiont	0.00	nan	1800	0
phylum	phylum_archaeon GW2011_AR1	0.00	nan	1800	0
phylum	phylum_candidate division ZIXI	0.00	nan	1800	0
phylum	Calescamantes	0.00	nan	1500	0
phylum	phylum_Flaviviridae	0.00	nan	1500	0
phylum	phylum_Inoviridae	0.00	nan	1500	0
phylum	phylum_Polyomaviridae	0.00	nan	1500	0
phylum	phylum_Retroviridae	0.00	nan	1500	0
phylum	Hydrogenedentes	0.00	nan	1350	0
phylum	phylum_Circoviridae	0.00	nan	1350	0
phylum	phylum_Nidovirales	0.00	nan	1350	0
phylum	phylum_Reoviridae	0.00	nan	1350	0
phylum	phylum_Bromoviridae	0.00	nan	1200	0
phylum	phylum_archaeon GW2011_AR11	0.00	nan	1200	0
phylum	Caldiserica	0.00	nan	1050	0
phylum	phylum_Anelloviridae	0.00	nan	1050	0
phylum	Acetothermia	0.00	nan	900	0
phylum	phylum_Adenoviridae	0.00	nan	900	0
phylum	phylum_bacterium UW 659-2-F09	0.00	nan	900	0
phylum	phylum_symbiont bacterium UwTKB of Urostylis westwoodii	0.00	nan	900	0
phylum	Gracilibacteria	0.00	nan	750	0
phylum	phylum_Astroviridae	0.00	nan	750	0
phylum	phylum_BRC1 bacterium SCGC AAA257-C11	0.00	nan	750	0
phylum	phylum_Iridoviridae	0.00	nan	750	0
phylum	phylum_Virgaviridae	0.00	nan	750	0
phylum	phylum_Parvoviridae	0.00	nan	600	0
phylum	phylum_archaeon GW2011_AR13	0.00	nan	600	0
phylum	phylum_candidate division SR1 bacterium MGEHA	0.00	nan	600	0
phylum	phylum_candidate division SR1 bacterium RAAC1_SR1_1	0.00	nan	600	0
phylum	phylum_candidate division WWE3 bacterium RAAC2_WWE3_1	0.00	nan	600	0
phylum	phylum_Birnaviridae	0.00	nan	450	0
phylum	phylum_Caliciviridae	0.00	nan	450	0
phylum	phylum_Caulimoviridae	0.00	nan	450	0
phylum	phylum_Luteoviridae	0.00	nan	450	0
phylum	phylum_Poxviridae	0.00	nan	450	0
phylum	phylum_Tombusviridae	0.00	nan	450	0
phylum	phylum_archaeon GW2011_AR18	0.00	nan	450	0
phylum	phylum_candidate division TM6 bacterium Zodletone_IIa	0.00	nan	450	0
phylum	Aenigmarchaeota	0.00	nan	300	0
phylum	Nanohaloarchaeota	0.00	nan	300	0
phylum	phylum_Arenaviridae	0.00	nan	300	0
phylum	phylum_Bunyaviridae	0.00	nan	300	0
phylum	phylum_Dragonfly orbiculatusvirus	0.00	nan	300	0
phylum	phylum_Hepadnaviridae	0.00	nan	300	0
phylum	phylum_Hypoviridae	0.00	nan	300	0
phylum	phylum_Kelp fly virus	0.00	nan	300	0
phylum	phylum_Nanoviridae	0.00	nan	300	0
phylum	phylum_Nodaviridae	0.00	nan	300	0
phylum	phylum_Nudiviridae	0.00	nan	300	0
phylum	phylum_Orthomyxoviridae	0.00	nan	300	0
phylum	phylum_Tectiviridae	0.00	nan	300	0
phylum	phylum_Tomato leaf curl Philippine betasatellite	0.00	nan	300	0
phylum	phylum_Totiviridae	0.00	nan	300	0
phylum	phylum_archaeon GW2011_AR3	0.00	nan	300	0
phylum	Diapherotrites	0.00	nan	150	0
phylum	Nanoarchaeota	0.00	nan	150	0
phylum	Parvarchaeota	0.00	nan	150	0
phylum	phylum_Alternanthera yellow vein betasatellite	0.00	nan	150	0
phylum	phylum_Ampullaviridae	0.00	nan	150	0
phylum	phylum_Ancient caribou feces associated virus	0.00	nan	150	0
phylum	phylum_Andrographis yellow vein leaf curl betasatellite	0.00	nan	150	0
phylum	phylum_Bicaudaviridae	0.00	nan	150	0
phylum	phylum_Carmotetraviridae	0.00	nan	150	0
phylum	phylum_Chilli leaf curl Multan alphasatellite	0.00	nan	150	0
phylum	phylum_Chronic bee paralysis virus	0.00	nan	150	0
phylum	phylum_Chrysoviridae	0.00	nan	150	0
phylum	phylum_Circovirus-like genome RW-C	0.00	nan	150	0
phylum	phylum_Closteroviridae	0.00	nan	150	0
phylum	phylum_Corticoviridae	0.00	nan	150	0
phylum	phylum_Dragonfly larvae associated circular virus-1	0.00	nan	150	0
phylum	phylum_Dragonfly larvae associated circular virus-2	0.00	nan	150	0
phylum	phylum_Dragonfly larvae associated circular virus-4	0.00	nan	150	0
phylum	phylum_Dunaliella viridis virus SI2	0.00	nan	150	0
phylum	phylum_Emaravirus	0.00	nan	150	0
phylum	phylum_Endornaviridae	0.00	nan	150	0
phylum	phylum_Faecal-associated gemycircularvirus 7	0.00	nan	150	0
phylum	phylum_Gentian ovary ring-spot virus	0.00	nan	150	0
phylum	phylum_Halorubrum pleomorphic virus 1	0.00	nan	150	0
phylum	phylum_Halorubrum pleomorphic virus 3	0.00	nan	150	0
phylum	phylum_Honeysuckle yellow vein beta	0.00	nan	150	0
phylum	phylum_Hyperthermophilic Archaeal Virus 2	0.00	nan	150	0
phylum	phylum_Hytrosaviridae	0.00	nan	150	0
phylum	phylum_Ligamenvirales	0.00	nan	150	0
phylum	phylum_MSSI2.225 virus	0.00	nan	150	0
phylum	phylum_Malvastrum leaf curl Guangdong betasatellite	0.00	nan	150	0
phylum	phylum_McMurdo Ice Shelf pond-associated circular DNA virus-3	0.00	nan	150	0
phylum	phylum_McMurdo Ice Shelf pond-associated circular DNA virus-6	0.00	nan	150	0
phylum	phylum_Mimosa yellow leaf curl virus-associated DNA 1	0.00	nan	150	0
phylum	phylum_Narnaviridae	0.00	nan	150	0
phylum	phylum_Nimaviridae	0.00	nan	150	0
phylum	phylum_Partitiviridae	0.00	nan	150	0
phylum	phylum_Pea enation mosaic virus satellite RNA	0.00	nan	150	0
