instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.87	160856032	184142109
superkingdom	Eukaryota	0.00	nan	769980	0
superkingdom	unassigned	nan	nan	22516097	0
phylum	Proteobacteria	1.00	0.90	69990567	77452463
phylum	Actinobacteria	1.00	0.97	64203354	66462026
phylum	Bacteroidetes	1.00	0.70	14606974	20719094
phylum	Firmicutes	1.00	0.53	9560440	17908512
phylum	Tenericutes	1.00	0.98	1567528	1600014
phylum	Chordata	0.00	nan	625345	0
phylum	Streptophyta	0.00	nan	43591	0
phylum	Arthropoda	0.00	nan	19799	0
phylum	Cyanobacteria	0.00	nan	9662	0
phylum	Synergistetes	0.00	nan	7705	0
phylum	Ascomycota	0.00	nan	3611	0
phylum	Acidobacteria	0.00	nan	3140	0
phylum	Apicomplexa	0.00	nan	1014	0
phylum	phylum_uncultured bacterium	0.00	nan	827	0
phylum	unassigned	nan	nan	23498552	0
class	Actinobacteria	1.00	0.97	64203354	66462026
class	Betaproteobacteria	1.00	0.99	37398276	37777374
class	Alphaproteobacteria	1.00	0.89	24692428	27729470
class	Sphingobacteriia	0.99	0.73	10411394	14234544
class	Clostridia	1.00	0.90	7068998	7863125
class	Gammaproteobacteria	0.92	0.90	4894589	4980999
class	Flavobacteriia	0.99	0.61	3996965	6484550
class	Bacilli	1.00	0.24	2470650	10045387
class	Deltaproteobacteria	1.00	0.34	2350915	6964620
class	Mollicutes	1.00	0.98	1567528	1600014
class	Mammalia	0.00	nan	625345	0
class	Bacteroidia	0.00	nan	83845	0
class	class_Malpighiales	0.00	nan	40785	0
class	Cytophagia	0.00	nan	33520	0
class	Insecta	0.00	nan	19799	0
class	class_Stigonematales	0.00	nan	9662	0
class	class_Synergistetes bacterium JGI 0000079-D21	0.00	nan	6345	0
class	Sordariomycetes	0.00	nan	3611	0
class	class_Brassicales	0.00	nan	2806	0
class	Holophagae	0.00	nan	2482	0
class	class_Firmicutes bacterium CAG:83	0.00	nan	1756	0
class	Synergistia	0.00	nan	1360	0
class	Coccidia	0.00	nan	1014	0
class	class_uncultured bacterium	0.00	nan	827	0
class	Acidobacteriia	0.00	nan	658	0
class	Negativicutes	0.00	nan	308	0
class	unassigned	nan	nan	24252889	0
order	Actinomycetales	1.00	0.97	64169049	66462026
order	Burkholderiales	1.00	0.99	28592327	28873267
order	Sphingomonadales	1.00	0.97	19072811	19604434
order	Sphingobacteriales	0.99	0.73	10411394	14234544
order	Methylophilales	1.00	0.99	8801523	8904107
order	Clostridiales	1.00	0.90	7067677	7863125
order	Alteromonadales	1.00	0.83	4156693	4980999
order	Flavobacteriales	0.99	0.61	3994952	6484550
order	Caulobacterales	1.00	0.97	3219356	3301850
order	Bacillales	1.00	0.24	2458809	10045387
order	Rhizobiales	0.99	0.45	2194520	4823186
order	Desulfovibrionales	1.00	0.28	1978612	6964620
order	Acholeplasmatales	1.00	0.98	1567528	1600014
order	order_Bovidae	0.00	nan	596435	0
order	Pseudomonadales	0.00	nan	338994	0
order	Enterobacteriales	0.00	nan	277235	0
order	Bacteroidales	0.00	nan	83845	0
order	Malpighiales	0.00	nan	40785	0
order	Cytophagales	0.00	nan	33520	0
order	Thiotrichales	0.00	nan	26492	0
order	Sirenia	0.00	nan	20561	0
order	Diptera	0.00	nan	19799	0
order	Coriobacteriales	0.00	nan	12093	0
order	Xanthomonadales	0.00	nan	9782	0
order	Stigonematales	0.00	nan	9662	0
order	Solirubrobacterales	0.00	nan	8145	0
order	Rhodobacterales	0.00	nan	7116	0
order	order_Synergistetes bacterium JGI 0000079-D21	0.00	nan	6345	0
order	Rodentia	0.00	nan	6040	0
