instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	0.00	nan	504450	0
superkingdom	unassigned	nan	nan	17933400	18437850
phylum	Bacteroidetes	0.00	nan	467100	0
phylum	Proteobacteria	0.00	nan	7950	0
phylum	Firmicutes	0.00	nan	300	0
phylum	unassigned	nan	nan	17962500	18437850
class	Bacteroidia	0.00	nan	467100	0
class	Gammaproteobacteria	0.00	nan	4050	0
class	Clostridia	0.00	nan	300	0
class	Betaproteobacteria	0.00	nan	150	0
class	unassigned	nan	nan	17966250	18437850
order	Bacteroidales	0.00	nan	467100	0
order	Enterobacteriales	0.00	nan	2850	0
order	Pseudomonadales	0.00	nan	1200	0
order	Clostridiales	0.00	nan	300	0
order	Burkholderiales	0.00	nan	150	0
order	unassigned	nan	nan	17966250	18437850
family	Bacteroidaceae	0.00	nan	467100	0
family	Enterobacteriaceae	0.00	nan	2850	0
family	Pseudomonadaceae	0.00	nan	1200	0
family	Comamonadaceae	0.00	nan	150	0
family	unassigned	nan	nan	17966550	18437850
genus	Bacteroides	0.00	nan	467100	0
genus	Enterobacter	0.00	nan	2250	0
genus	Pseudomonas	0.00	nan	1200	0
genus	Escherichia	0.00	nan	600	0
genus	Limnohabitans	0.00	nan	150	0
genus	unassigned	nan	nan	17966550	18437850
species	Bacteroides uniformis	0.00	nan	383700	0
species	uncultured bacterium	0.00	nan	20700	0
species	Enterobacter sp. FB	0.00	nan	2250	0
species	Pseudomonas nitroreducens	0.00	nan	900	0
species	Escherichia coli	0.00	nan	600	0
species	Bacteroides fragilis	0.00	nan	150	0
species	Bacteroides sp. 3_1_40A	0.00	nan	150	0
species	Pseudomonas putida	0.00	nan	150	0
species	unassigned	nan	nan	18029250	0
