instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	1.00	218836565	218836565
superkingdom	Archaea	1.00	1.00	4877686	4877686
phylum	Proteobacteria	1.00	1.00	105919792	105919792
phylum	Firmicutes	1.00	1.00	57449884	57449884
phylum	Actinobacteria	1.00	1.00	55466889	55466889
phylum	Euryarchaeota	1.00	1.00	4877686	4877686
class	Alphaproteobacteria	1.00	1.00	56886121	56886121
class	Actinobacteria	1.00	1.00	55466889	55466889
class	Betaproteobacteria	1.00	1.00	49033671	49033671
class	Clostridia	1.00	1.00	40499848	40499848
class	Bacilli	1.00	1.00	16950036	16950036
class	Halobacteria	1.00	1.00	4877686	4877686
order	Actinomycetales	1.00	1.00	55466889	55466889
order	Burkholderiales	1.00	1.00	40129564	40129564
order	Clostridiales	1.00	1.00	30099738	30099738
order	Rhizobiales	1.00	1.00	21524620	21524620
order	Bacillales	1.00	1.00	16950036	16950036
order	Sphingomonadales	1.00	1.00	16618547	16618547
order	Rhodospirillales	1.00	1.00	11212086	11212086
order	Thermoanaerobacterales	1.00	1.00	10400110	10400110
order	Methylophilales	1.00	1.00	8904107	8904107
order	Rhodobacterales	1.00	1.00	7530868	7530868
order	Halobacteriales	1.00	1.00	4877686	4877686
family	Oxalobacteraceae	1.00	1.00	28873267	28873267
family	Streptomycetaceae	1.00	1.00	18428033	18428033
family	Cellulomonadaceae	1.00	1.00	17759502	17759502
family	Sphingomonadaceae	1.00	1.00	16618547	16618547
family	Clostridiales Family XIX. Incertae Sedis	1.00	1.00	15210881	15210881
family	Clostridiales Family XVI. Incertae Sedis	1.00	1.00	14888857	14888857
family	Rhizobiaceae	1.00	1.00	13774939	13774939
family	Comamonadaceae	1.00	1.00	11256297	11256297
family	Rhodospirillaceae	1.00	1.00	11212086	11212086
family	Nocardioidaceae	1.00	1.00	10494171	10494171
family	Thermoanaerobacteraceae	1.00	1.00	10400110	10400110
family	Methylophilaceae	1.00	1.00	8904107	8904107
family	Intrasporangiaceae	1.00	1.00	8785183	8785183
family	Aurantimonadaceae	1.00	1.00	7749681	7749681
family	Rhodobacteraceae	1.00	1.00	7530868	7530868
family	Planococcaceae	1.00	1.00	7245311	7245311
family	Halobacteriaceae	1.00	1.00	4877686	4877686
family	unassigned	nan	nan	9704725	0
genus	Massilia	1.00	1.00	28873267	28873267
genus	Sphingomonas	1.00	1.00	16618547	16618547
genus	Acetoanaerobium	1.00	1.00	15210881	15210881
genus	Carboxydocella	1.00	1.00	14888857	14888857
genus	Sinorhizobium	1.00	1.00	13774939	13774939
genus	Phaeospirillum	1.00	1.00	11212086	11212086
genus	Aeromicrobium	1.00	1.00	10494171	10494171
genus	Oerskovia	1.00	1.00	9113781	9113781
genus	Methylophilus	1.00	1.00	8904107	8904107
genus	Phycicoccus	1.00	1.00	8785183	8785183
genus	Cellulomonas	1.00	1.00	8645721	8645721
genus	Rhodobacter	1.00	1.00	7530868	7530868
genus	Sporosarcina	1.00	1.00	7245311	7245311
genus	Thermoanaerobacter	1.00	1.00	5263147	5263147
genus	Moorella	1.00	1.00	5136963	5136963
genus	Halobacterium	1.00	1.00	4877686	4877686
genus	unassigned	nan	nan	47138736	0
species	uncultured Massilia sp.	1.00	1.00	28873267	28873267
species	Acetoanaerobium noterae	1.00	1.00	15210881	15210881
species	Carboxydocella sporoproducens	1.00	1.00	14888857	14888857
species	Sinorhizobium meliloti	1.00	1.00	13774939	13774939
species	Phaeospirillum fulvum	1.00	1.00	11212086	11212086
species	Aeromicrobium ponti	1.00	1.00	10494171	10494171
species	Rhodobacter capsulatus	1.00	1.00	7530868	7530868
species	Sporosarcina newyorkensis	1.00	1.00	7245311	7245311
species	Thermoanaerobacter thermohydrosulfuricus	1.00	1.00	5263147	5263147
species	Moorella thermoacetica	1.00	1.00	5136963	5136963
species	Halobacterium salinarum	1.00	1.00	4877686	4877686
species	unassigned	nan	nan	99206075	0
