instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	1.00	95313774	95313774
phylum	Proteobacteria	1.00	1.00	50378388	50378388
phylum	Firmicutes	1.00	1.00	16402908	16402908
phylum	Bacteroidetes	1.00	1.00	13206111	13206111
phylum	Actinobacteria	1.00	1.00	8047258	8047258
phylum	Chloroflexi	1.00	1.00	7279109	7279109
class	Betaproteobacteria	1.00	1.00	22078814	22078814
class	Gammaproteobacteria	1.00	1.00	14603716	14603716
class	Clostridia	1.00	1.00	13746445	13746445
class	Sphingobacteriia	1.00	1.00	9572518	9572518
class	Actinobacteria	1.00	1.00	8047258	8047258
class	Ktedonobacteria	1.00	1.00	7279109	7279109
class	Alphaproteobacteria	1.00	1.00	7232122	7232122
class	Deltaproteobacteria	1.00	1.00	6463736	6463736
class	Flavobacteriia	1.00	1.00	3633593	3633593
class	Negativicutes	1.00	1.00	2656463	2656463
order	Burkholderiales	1.00	1.00	17463877	17463877
order	Clostridiales	1.00	1.00	13746445	13746445
order	Sphingobacteriales	1.00	1.00	9572518	9572518
order	Xanthomonadales	1.00	1.00	8325994	8325994
order	Actinomycetales	1.00	1.00	8047258	8047258
order	Ktedonobacterales	1.00	1.00	7279109	7279109
order	Rhodobacterales	1.00	1.00	7232122	7232122
order	Desulfobacterales	1.00	1.00	6463736	6463736
order	Pseudomonadales	1.00	1.00	6277722	6277722
order	Neisseriales	1.00	1.00	4614937	4614937
order	Flavobacteriales	1.00	1.00	3633593	3633593
order	Selenomonadales	1.00	1.00	2656463	2656463
family	Oxalobacteraceae	1.00	1.00	14294209	14294209
family	Chitinophagaceae	1.00	1.00	9572518	9572518
family	Clostridiaceae	1.00	1.00	9103183	9103183
family	Xanthomonadaceae	1.00	1.00	8325994	8325994
family	Thermosporotrichaceae	1.00	1.00	7279109	7279109
family	Rhodobacteraceae	1.00	1.00	7232122	7232122
family	Desulfobacteraceae	1.00	1.00	6463736	6463736
family	Pseudomonadaceae	1.00	1.00	6277722	6277722
family	Chromobacteriaceae	1.00	1.00	4614937	4614937
family	Flavobacteriaceae	1.00	1.00	3633593	3633593
family	Intrasporangiaceae	1.00	1.00	3480725	3480725
family	Comamonadaceae	1.00	1.00	3169668	3169668
family	Veillonellaceae	1.00	1.00	2656463	2656463
family	Peptostreptococcaceae	1.00	1.00	2630685	2630685
family	Proteinivoraceae	1.00	1.00	2012577	2012577
family	unassigned	nan	nan	4566533	0
genus	Janthinobacterium	1.00	1.00	14294209	14294209
genus	Flavisolibacter	1.00	1.00	9572518	9572518
genus	Thermosporothrix	1.00	1.00	7279109	7279109
genus	Desulfatibacillum	1.00	1.00	6463736	6463736
genus	Pseudomonas	1.00	1.00	6277722	6277722
genus	Anaerosporobacter	1.00	1.00	5098574	5098574
genus	Andreprevotia	1.00	1.00	4614937	4614937
genus	Defluviimonas	1.00	1.00	4107833	4107833
genus	Clostridium	1.00	1.00	4004609	4004609
genus	Nonlabens	1.00	1.00	3633593	3633593
genus	Tetrasphaera	1.00	1.00	3480725	3480725
genus	Lysobacter	1.00	1.00	3288233	3288233
genus	Lampropedia	1.00	1.00	3169668	3169668
genus	Albidovulum	1.00	1.00	3124289	3124289
genus	Schwartzia	1.00	1.00	2656463	2656463
genus	Tepidibacter	1.00	1.00	2630685	2630685
genus	Rhodanobacter	1.00	1.00	2614190	2614190
genus	Xylella	1.00	1.00	2423571	2423571
genus	Anaerobranca	1.00	1.00	2012577	2012577
genus	unassigned	nan	nan	4566533	0
species	Thermosporothrix hazakensis	1.00	1.00	7279109	7279109
species	Desulfatibacillum alkenivorans	1.00	1.00	6463736	6463736
species	Pseudomonas aeruginosa	1.00	1.00	6277722	6277722
species	Anaerosporobacter mobilis	1.00	1.00	5098574	5098574
species	Flavisolibacter ginsengiterrae	1.00	1.00	4897781	4897781
species	Flavisolibacter ginsengisoli	1.00	1.00	4674737	4674737
species	Andreprevotia lacus	1.00	1.00	4614937	4614937
species	Defluviimonas denitrificans	1.00	1.00	4107833	4107833
species	Clostridium caminithermale	1.00	1.00	4004609	4004609
species	Nonlabens dokdonensis	1.00	1.00	3633593	3633593
species	Tetrasphaera duodecadis	1.00	1.00	3480725	3480725
species	Lysobacter oryzae	1.00	1.00	3288233	3288233
species	Lampropedia hyalina	1.00	1.00	3169668	3169668
species	Albidovulum xiamenense	1.00	1.00	3124289	3124289
species	Schwartzia succinivorans	1.00	1.00	2656463	2656463
species	Tepidibacter formicigenes	1.00	1.00	2630685	2630685
species	Xylella fastidiosa	1.00	1.00	2423571	2423571
species	Anaerobranca californiensis	1.00	1.00	2012577	2012577
species	unassigned	nan	nan	21474932	0
