instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	0.00	nan	2299042	0
superkingdom	Eukaryota	0.00	nan	184316	0
superkingdom	unassigned	nan	nan	5115770	0
phylum	Proteobacteria	0.00	nan	941104	0
phylum	Firmicutes	0.00	nan	765339	0
phylum	Bacteroidetes	0.00	nan	420623	0
phylum	Chordata	0.00	nan	159356	0
phylum	Actinobacteria	0.00	nan	69921	0
phylum	phylum_Kinetoplastida	0.00	nan	24960	0
phylum	phylum_uncultured bacterium	0.00	nan	22860	0
phylum	Verrucomicrobia	0.00	nan	10410	0
phylum	unassigned	nan	nan	5184555	0
class	Gammaproteobacteria	0.00	nan	726013	0
class	Clostridia	0.00	nan	571758	0
class	Bacteroidia	0.00	nan	420623	0
class	Bacilli	0.00	nan	162669	0
class	Alphaproteobacteria	0.00	nan	137236	0
class	Mammalia	0.00	nan	123012	0
class	Actinobacteria	0.00	nan	69921	0
class	Betaproteobacteria	0.00	nan	47725	0
class	Actinopteri	0.00	nan	36344	0
class	Epsilonproteobacteria	0.00	nan	30130	0
class	class_Kinetoplastida	0.00	nan	24960	0
class	class_uncultured bacterium	0.00	nan	22860	0
class	Verrucomicrobiae	0.00	nan	10410	0
class	class_Firmicutes bacterium CAG:110	0.00	nan	10361	0
class	Negativicutes	0.00	nan	9463	0
class	unassigned	nan	nan	5195643	0
order	Clostridiales	0.00	nan	571758	0
order	Bacteroidales	0.00	nan	420623	0
order	Enterobacteriales	0.00	nan	415032	0
order	Pseudomonadales	0.00	nan	226202	0
order	Lactobacillales	0.00	nan	149346	0
order	Rodentia	0.00	nan	83047	0
order	Rhodobacterales	0.00	nan	59319	0
order	Aeromonadales	0.00	nan	55943	0
order	Cyprinodontiformes	0.00	nan	36344	0
order	Rhizobiales	0.00	nan	36330	0
order	Sphingomonadales	0.00	nan	32558	0
order	Campylobacterales	0.00	nan	30130	0
order	Actinomycetales	0.00	nan	29332	0
order	Hydrogenophilales	0.00	nan	29229	0
order	Coriobacteriales	0.00	nan	29025	0
order	Kinetoplastida	0.00	nan	24960	0
order	order_uncultured bacterium	0.00	nan	22860	0
order	Cetacea	0.00	nan	19248	0
order	Burkholderiales	0.00	nan	18496	0
order	Xanthomonadales	0.00	nan	17547	0
order	Bacillales	0.00	nan	13323	0
order	Bifidobacteriales	0.00	nan	11564	0
order	Alteromonadales	0.00	nan	11289	0
order	Verrucomicrobiales	0.00	nan	10410	0
order	order_Firmicutes bacterium CAG:110	0.00	nan	10361	0
order	Selenomonadales	0.00	nan	9463	0
order	order_alpha proteobacterium LLX12A	0.00	nan	9029	0
order	Dasyuromorphia	0.00	nan	7599	0
order	order_Bovidae	0.00	nan	7365	0
order	Primates	0.00	nan	5753	0
order	unassigned	nan	nan	5195643	0
family	Enterobacteriaceae	0.00	nan	415032	0
family	Bacteroidaceae	0.00	nan	256088	0
family	Lachnospiraceae	0.00	nan	238703	0
family	Moraxellaceae	0.00	nan	136341	0
family	Lactobacillaceae	0.00	nan	127911	0
family	Oscillospiraceae	0.00	nan	117423	0
family	Prevotellaceae	0.00	nan	92013	0
family	Pseudomonadaceae	0.00	nan	89861	0
family	Muridae	0.00	nan	83047	0
family	Succinivibrionaceae	0.00	nan	40008	0
family	Poeciliidae	0.00	nan	36344	0
family	Rhodobacteraceae	0.00	nan	35608	0
family	Sphingomonadaceae	0.00	nan	32558	0
family	Campylobacteraceae	0.00	nan	30130	0
family	Hydrogenophilaceae	0.00	nan	29229	0
family	Coriobacteriaceae	0.00	nan	29025	0
family	Trypanosomatidae	0.00	nan	24960	0
family	Ruminococcaceae	0.00	nan	24465	0
family	Corynebacteriaceae	0.00	nan	23591	0
family	family_uncultured bacterium	0.00	nan	22860	0
family	Delphinidae	0.00	nan	19248	0
family	family_Burkholderiales bacterium 1_1_47	0.00	nan	18496	0
family	Xanthomonadaceae	0.00	nan	17547	0
family	Eubacteriaceae	0.00	nan	16407	0
family	Aeromonadaceae	0.00	nan	15935	0
family	Staphylococcaceae	0.00	nan	13323	0
family	Bifidobacteriaceae	0.00	nan	11564	0
family	Shewanellaceae	0.00	nan	11289	0
family	Enterococcaceae	0.00	nan	10886	0
family	Streptococcaceae	0.00	nan	10549	0
family	Verrucomicrobiaceae	0.00	nan	10410	0
family	family_Firmicutes bacterium CAG:110	0.00	nan	10361	0
family	Acidaminococcaceae	0.00	nan	9463	0
family	family_alpha proteobacterium LLX12A	0.00	nan	9029	0
family	Dasyuridae	0.00	nan	7599	0
family	Rikenellaceae	0.00	nan	7382	0
family	Bovidae	0.00	nan	7365	0
family	Hominidae	0.00	nan	5753	0
family	Propionibacteriaceae	0.00	nan	5741	0
family	unassigned	nan	nan	5495584	0
genus	Escherichia	0.00	nan	304978	0
genus	Bacteroides	0.00	nan	256088	0
genus	Acinetobacter	0.00	nan	136341	0
genus	Lactobacillus	0.00	nan	127911	0
genus	Oscillibacter	0.00	nan	117423	0
genus	Pseudomonas	0.00	nan	89861	0
genus	Prevotella	0.00	nan	86649	0
genus	Rattus	0.00	nan	83047	0
genus	Dorea	0.00	nan	71589	0
genus	genus_Lachnospiraceae bacterium 3-2	0.00	nan	65082	0
genus	Lachnoclostridium	0.00	nan	60630	0
genus	Anaerobiospirillum	0.00	nan	40008	0
genus	Xiphophorus	0.00	nan	36344	0
genus	Paracoccus	0.00	nan	35608	0
genus	genus_Lachnospiraceae bacterium VE202-23	0.00	nan	31766	0
genus	Campylobacter	0.00	nan	30130	0
genus	Thiobacillus	0.00	nan	29229	0
genus	Leishmania	0.00	nan	24960	0
genus	Sphingomonas	0.00	nan	24027	0
genus	Corynebacterium	0.00	nan	23591	0
genus	Enterobacter	0.00	nan	23466	0
genus	genus_uncultured bacterium	0.00	nan	22860	0
genus	Tursiops	0.00	nan	19248	0
genus	genus_Burkholderiales bacterium 1_1_47	0.00	nan	18496	0
genus	Collinsella	0.00	nan	18475	0
genus	Stenotrophomonas	0.00	nan	17547	0
genus	Salmonella	0.00	nan	17184	0
genus	Eubacterium	0.00	nan	16407	0
genus	Klebsiella	0.00	nan	15975	0
genus	Aeromonas	0.00	nan	15935	0
genus	Faecalibacterium	0.00	nan	14583	0
genus	Staphylococcus	0.00	nan	13323	0
genus	Bifidobacterium	0.00	nan	11564	0
genus	Shewanella	0.00	nan	11289	0
genus	Enterococcus	0.00	nan	10886	0
genus	Eggerthella	0.00	nan	10550	0
genus	Streptococcus	0.00	nan	10549	0
genus	Akkermansia	0.00	nan	10410	0
genus	genus_Firmicutes bacterium CAG:110	0.00	nan	10361	0
genus	Subdoligranulum	0.00	nan	9882	0
genus	genus_Lachnospiraceae bacterium M18-1	0.00	nan	9636	0
genus	Phascolarctobacterium	0.00	nan	9463	0
genus	genus_alpha proteobacterium LLX12A	0.00	nan	9029	0
genus	Novosphingobium	0.00	nan	8531	0
genus	Sarcophilus	0.00	nan	7599	0
genus	Alistipes	0.00	nan	7382	0
genus	Pantholops	0.00	nan	7365	0
genus	Homo	0.00	nan	5753	0
genus	Propionibacterium	0.00	nan	5741	0
genus	Alloprevotella	0.00	nan	5364	0
genus	unassigned	nan	nan	5549013	0
species	Escherichia coli	0.00	nan	245118	0
species	Bacteroides fragilis	0.00	nan	135062	0
species	Rattus norvegicus	0.00	nan	83047	0
species	Oscillibacter sp. 1-3	0.00	nan	80781	0
species	Lactobacillus coryniformis	0.00	nan	75918	0
species	Acinetobacter baumannii	0.00	nan	74369	0
species	Dorea longicatena	0.00	nan	71589	0
species	Lachnospiraceae bacterium 3-2	0.00	nan	65082	0
species	Bacteroides intestinalis CAG:315	0.00	nan	61317	0
species	[Clostridium] symbiosum	0.00	nan	60630	0
species	Anaerobiospirillum succiniciproducens	0.00	nan	40008	0
species	Pseudomonas putida	0.00	nan	37637	0
species	Xiphophorus maculatus	0.00	nan	36344	0
species	Lachnospiraceae bacterium VE202-23	0.00	nan	31766	0
species	Campylobacter jejuni	0.00	nan	30130	0
species	Acinetobacter lwoffii	0.00	nan	30105	0
species	Thiobacillus thioparus	0.00	nan	29229	0
species	Prevotella sp. CAG:891	0.00	nan	25096	0
species	Leishmania braziliensis	0.00	nan	24960	0
species	Sphingomonas paucimobilis	0.00	nan	24027	0
species	Corynebacterium glutamicum	0.00	nan	23591	0
species	Enterobacter sp. MGH 3	0.00	nan	23466	0
species	uncultured bacterium	0.00	nan	22860	0
species	Acinetobacter sp. CIP 102082	0.00	nan	22056	0
species	Lactobacillus antri	0.00	nan	21127	0
species	Prevotella sp. CAG:592	0.00	nan	20793	0
species	Pseudomonas sp. GLE121	0.00	nan	20101	0
species	Prevotella sp. CAG:279	0.00	nan	19842	0
species	Tursiops truncatus	0.00	nan	19248	0
species	Burkholderiales bacterium 1_1_47	0.00	nan	18496	0
species	Collinsella aerofaciens	0.00	nan	18475	0
species	Oscillibacter sp. CAG:155	0.00	nan	17989	0
species	Stenotrophomonas maltophilia	0.00	nan	17547	0
species	Salmonella enterica	0.00	nan	17184	0
species	Lactobacillus sakei	0.00	nan	17106	0
species	Pseudomonas stutzeri	0.00	nan	16606	0
species	Klebsiella oxytoca	0.00	nan	15975	0
species	Aeromonas hydrophila	0.00	nan	15935	0
species	Pseudomonas chlororaphis	0.00	nan	15517	0
species	Faecalibacterium prausnitzii	0.00	nan	14583	0
species	Lactobacillus plantarum	0.00	nan	13760	0
species	Staphylococcus aureus	0.00	nan	13323	0
species	Prevotella stercorea CAG:629	0.00	nan	12939	0
species	Bifidobacterium kashiwanohense	0.00	nan	11564	0
species	Shewanella baltica	0.00	nan	11289	0
species	Enterococcus faecium	0.00	nan	10886	0
species	Eggerthella sp. HGA1	0.00	nan	10550	0
species	Streptococcus agalactiae	0.00	nan	10549	0
species	Akkermansia sp. CAG:344	0.00	nan	10410	0
species	Firmicutes bacterium CAG:110	0.00	nan	10361	0
species	Subdoligranulum variabile	0.00	nan	9882	0
species	Acinetobacter sp. M131	0.00	nan	9811	0
species	Lachnospiraceae bacterium M18-1	0.00	nan	9636	0
