instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	0.00	nan	232944	0
superkingdom	unassigned	nan	nan	272550	0
phylum	Firmicutes	0.00	nan	29366	0
phylum	Proteobacteria	0.00	nan	11531	0
phylum	unassigned	nan	nan	464597	0
class	Clostridia	0.00	nan	29366	0
class	Betaproteobacteria	0.00	nan	9994	0
class	Gammaproteobacteria	0.00	nan	1537	0
class	unassigned	nan	nan	464597	0
order	Clostridiales	0.00	nan	29366	0
order	Burkholderiales	0.00	nan	9994	0
order	Aeromonadales	0.00	nan	269	0
order	unassigned	nan	nan	465865	0
family	Sutterellaceae	0.00	nan	9994	0
family	Aeromonadaceae	0.00	nan	269	0
family	unassigned	nan	nan	495231	0
genus	Sutterella	0.00	nan	9994	0
genus	unassigned	nan	nan	495500	0
species	unassigned	nan	nan	505494	0
