instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.35	806284050	2321304150
superkingdom	Eukaryota	0.00	nan	149850	0
superkingdom	Archaea	0.00	nan	51450	0
superkingdom	Viruses	0.00	nan	28350	0
superkingdom	unassigned	nan	nan	1514790450	0
phylum	Firmicutes	0.97	0.96	470286000	478681950
phylum	Proteobacteria	0.99	0.98	304173600	305637750
phylum	Bacteroidetes	0.97	0.02	26300550	1086815400
phylum	Tenericutes	0.80	0.00	1002150	450169050
phylum	phylum_candidate division TM6 bacterium Zodletone_IIa	0.00	nan	868200	0
phylum	Cyanobacteria	0.00	nan	489750	0
phylum	Fusobacteria	0.00	nan	367200	0
phylum	Spirochaetes	0.00	nan	189450	0
phylum	Actinobacteria	0.00	nan	177600	0
phylum	Ascomycota	0.00	nan	129600	0
phylum	Deferribacteres	0.00	nan	106200	0
phylum	Aquificae	0.00	nan	91350	0
phylum	Thermotogae	0.00	nan	88950	0
phylum	Ignavibacteriae	0.00	nan	75450	0
phylum	Chloroflexi	0.00	nan	48750	0
phylum	Chlamydiae	0.00	nan	45600	0
phylum	Marinimicrobia	0.00	nan	41550	0
phylum	Verrucomicrobia	0.00	nan	36300	0
phylum	phylum_archaeon GW2011_AR13	0.00	nan	36150	0
phylum	phylum_bacterium LF-3	0.00	nan	31500	0
phylum	Nitrospirae	0.00	nan	21600	0
phylum	Planctomycetes	0.00	nan	16650	0
phylum	Chlorobi	0.00	nan	15600	0
phylum	phylum_bacterium YEK0313	0.00	nan	13650	0
phylum	Basidiomycota	0.00	nan	11550	0
phylum	Fibrobacteres	0.00	nan	10650	0
phylum	Euryarchaeota	0.00	nan	9600	0
phylum	Gracilibacteria	0.00	nan	9300	0
phylum	phylum_bacterium UASB14	0.00	nan	8700	0
phylum	phylum_Caudovirales	0.00	nan	6900	0
phylum	Chordata	0.00	nan	6450	0
phylum	Hydrogenedentes	0.00	nan	3300	0
phylum	phylum_Picornavirales	0.00	nan	3300	0
phylum	Acidobacteria	0.00	nan	3150	0
phylum	Atribacteria	0.00	nan	3150	0
phylum	Omnitrophica	0.00	nan	3000	0
phylum	Thermodesulfobacteria	0.00	nan	3000	0
phylum	Crenarchaeota	0.00	nan	2850	0
phylum	Deinococcus-Thermus	0.00	nan	2250	0
phylum	Synergistetes	0.00	nan	2100	0
phylum	phylum_Geminiviridae	0.00	nan	2100	0
phylum	Thaumarchaeota	0.00	nan	1800	0
phylum	Cloacimonetes	0.00	nan	1650	0
phylum	Microsporidia	0.00	nan	1500	0
phylum	phylum_Haloplasmatales	0.00	nan	1500	0
phylum	Dictyoglomi	0.00	nan	1350	0
phylum	Nitrospinae	0.00	nan	1350	0
phylum	phylum_Papillomaviridae	0.00	nan	1350	0
phylum	phylum_Astroviridae	0.00	nan	1200	0
phylum	phylum_Caulimoviridae	0.00	nan	1200	0
phylum	Caldiserica	0.00	nan	1050	0
phylum	Calescamantes	0.00	nan	1050	0
phylum	phylum_Bhendi yellow vein mosaic virus-associated alphasatellite	0.00	nan	1050	0
phylum	phylum_archaeon GW2011_AR17	0.00	nan	1050	0
phylum	Candidatus Saccharibacteria	0.00	nan	750	0
phylum	phylum_Caldithrix	0.00	nan	750	0
phylum	phylum_Herpesvirales	0.00	nan	750	0
phylum	phylum_Nidovirales	0.00	nan	750	0
phylum	Parcubacteria	0.00	nan	600	0
phylum	phylum_Asfarviridae	0.00	nan	600	0
phylum	phylum_Bromoviridae	0.00	nan	600	0
phylum	phylum_Candidatus Methylomirabilis	0.00	nan	600	0
phylum	phylum_Higrevirus	0.00	nan	600	0
phylum	phylum_Inoviridae	0.00	nan	600	0
phylum	phylum_Mononegavirales	0.00	nan	600	0
phylum	phylum_Okra leaf curl Mali virus satellite DNA beta	0.00	nan	600	0
phylum	phylum_Polyomaviridae	0.00	nan	600	0
phylum	phylum_candidate division SR1 bacterium MGEHA	0.00	nan	600	0
phylum	Chrysiogenetes	0.00	nan	450	0
phylum	phylum_Caliciviridae	0.00	nan	450	0
phylum	phylum_Circo-like virus-Brazil	0.00	nan	450	0
phylum	phylum_Cyanophage KBS-P-1A	0.00	nan	450	0
phylum	phylum_Flaviviridae	0.00	nan	450	0
phylum	phylum_Grapevine satellite virus	0.00	nan	450	0
phylum	phylum_Partitiviridae	0.00	nan	450	0
phylum	phylum_Phycodnaviridae	0.00	nan	450	0
phylum	phylum_Tymovirales	0.00	nan	450	0
phylum	phylum_candidate division TM6 bacterium JCVI TM6SC1	0.00	nan	450	0
phylum	phylum_candidate division ZIXI	0.00	nan	450	0
phylum	Armatimonadetes	0.00	nan	300	0
phylum	Chytridiomycota	0.00	nan	300	0
phylum	Latescibacteria	0.00	nan	300	0
phylum	Microgenomates	0.00	nan	300	0
phylum	phylum_Halyomorpha halys symbiont	0.00	nan	300	0
phylum	phylum_bacterium JKG1	0.00	nan	300	0
phylum	phylum_bacterium UASB270	0.00	nan	300	0
phylum	phylum_candidate division WWE3 bacterium RAAC2_WWE3_1	0.00	nan	300	0
phylum	Aminicenantes	0.00	nan	150	0
phylum	Elusimicrobia	0.00	nan	150	0
phylum	Fervidibacteria	0.00	nan	150	0
phylum	Lentisphaerae	0.00	nan	150	0
phylum	phylum_Anelloviridae	0.00	nan	150	0
phylum	phylum_Bacilladnavirus	0.00	nan	150	0
phylum	phylum_Baculoviridae	0.00	nan	150	0
phylum	phylum_Circoviridae	0.00	nan	150	0
phylum	phylum_Circovirus-like genome RW-B	0.00	nan	150	0
phylum	phylum_French bean leaf curl betasatellite-Kanpur	0.00	nan	150	0
phylum	phylum_Hepeviridae	0.00	nan	150	0
phylum	phylum_Iridoviridae	0.00	nan	150	0
phylum	phylum_McMurdo Ice Shelf pond-associated circular DNA virus-5	0.00	nan	150	0
phylum	phylum_Mucorales	0.00	nan	150	0
phylum	phylum_Poxviridae	0.00	nan	150	0
phylum	phylum_Reoviridae	0.00	nan	150	0
phylum	phylum_Totiviridae	0.00	nan	150	0
phylum	phylum_Vibrio phage martha 12B12	0.00	nan	150	0
phylum	phylum_bacterium MS4	0.00	nan	150	0
phylum	unassigned	nan	nan	1516523100	0
class	Bacilli	0.99	0.96	463284900	478681950
class	Alphaproteobacteria	1.00	0.98	300411450	305637750
class	Sphingobacteriia	0.99	0.01	10434600	1086815400
class	Flavobacteriia	0.00	nan	10252500	0
class	Clostridia	0.00	nan	5122650	0
class	Gammaproteobacteria	0.00	nan	2664000	0
class	Cytophagia	0.00	nan	2009250	0
class	Bacteroidia	0.00	nan	1830000	0
class	Mollicutes	0.80	0.00	1002150	450169050
class	Erysipelotrichia	0.00	nan	950100	0
class	class_candidate division TM6 bacterium Zodletone_IIa	0.00	nan	868200	0
class	Betaproteobacteria	0.00	nan	524850	0
class	class_Bacteroidetes bacterium SCGC AAA027-G08	0.00	nan	419700	0
class	Fusobacteriia	0.00	nan	367200	0
class	Negativicutes	0.00	nan	343050	0
class	Epsilonproteobacteria	0.00	nan	241800	0
class	Spirochaetia	0.00	nan	189450	0
class	Actinobacteria	0.00	nan	177600	0
class	Deltaproteobacteria	0.00	nan	151650	0
class	class_Nostocales	0.00	nan	142500	0
class	class_Chroococcales	0.00	nan	126600	0
class	Deferribacteres	0.00	nan	106200	0
class	Aquificae	0.00	nan	91350	0
class	Thermotogae	0.00	nan	88950	0
class	class_Prochlorales	0.00	nan	79950	0
class	Ignavibacteria	0.00	nan	75450	0
class	class_Pleurocapsales	0.00	nan	75150	0
class	Saccharomycetes	0.00	nan	69750	0
class	class_Bacteroidetes bacterium SCGC AAA027-N21	0.00	nan	54000	0
class	Dehalococcoidia	0.00	nan	45750	0
class	Chlamydiia	0.00	nan	45600	0
class	Zetaproteobacteria	0.00	nan	42300	0
class	class_archaeon GW2011_AR13	0.00	nan	36150	0
class	class_Verrucomicrobia bacterium SCGC AAA027-I19	0.00	nan	32700	0
