instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.08	228517050	2824660650
superkingdom	Archaea	1.00	0.13	7529400	57398550
superkingdom	superkingdom_uncultured organism	0.00	nan	218700	0
superkingdom	Eukaryota	0.00	nan	86850	0
superkingdom	Viruses	0.00	nan	14400	0
superkingdom	superkingdom_Cloning vector pGBT-PX	0.00	nan	5850	0
superkingdom	superkingdom_uncultured microorganism	0.00	nan	450	0
superkingdom	superkingdom_uncultured prokaryote	0.00	nan	450	0
superkingdom	superkingdom_uncultured prokaryote AT3	0.00	nan	300	0
superkingdom	superkingdom_synthetic construct	0.00	nan	150	0
superkingdom	superkingdom_uncultured marine organism	0.00	nan	150	0
superkingdom	unassigned	nan	nan	2645685450	0
phylum	Proteobacteria	1.00	0.10	183008100	1910714250
phylum	Actinobacteria	1.00	0.04	25827750	643342500
phylum	Firmicutes	1.00	0.08	16305750	192194250
phylum	Euryarchaeota	1.00	0.13	7479150	57398550
phylum	Bacteroidetes	1.00	0.03	2706600	78409650
phylum	phylum_uncultured organism	0.00	nan	218700	0
phylum	phylum_uncultured bacterium	0.00	nan	83100	0
phylum	Chordata	0.00	nan	37650	0
phylum	Streptophyta	0.00	nan	36750	0
phylum	phylum_uncultured bacterium 1062	0.00	nan	13950	0
phylum	phylum_Caudovirales	0.00	nan	12900	0
phylum	Arthropoda	0.00	nan	9450	0
phylum	phylum_Cloning vector pGBT-PX	0.00	nan	5850	0
phylum	Chlamydiae	0.00	nan	4350	0
phylum	Cyanobacteria	0.00	nan	3900	0
phylum	phylum_bacterium YEK0313	0.00	nan	3900	0
phylum	phylum_uncultured bacterium A1Q1_fos_660	0.00	nan	2700	0
phylum	Acidobacteria	0.00	nan	1950	0
phylum	Nematoda	0.00	nan	1950	0
phylum	Verrucomicrobia	0.00	nan	1650	0
phylum	phylum_Microviridae	0.00	nan	1350	0
phylum	Deinococcus-Thermus	0.00	nan	1200	0
phylum	Spirochaetes	0.00	nan	900	0
phylum	phylum_uncultured bacterium Lac36W	0.00	nan	750	0
phylum	phylum_uncultured sulfate-reducing bacterium	0.00	nan	750	0
phylum	Chrysiogenetes	0.00	nan	600	0
phylum	Platyhelminthes	0.00	nan	600	0
phylum	phylum_nitrogen-fixing bacterium WB3	0.00	nan	600	0
phylum	Chlorobi	0.00	nan	450	0
phylum	Planctomycetes	0.00	nan	450	0
phylum	phylum_halophilic archaeon DL31	0.00	nan	450	0
phylum	phylum_uncultured bacterium 1114	0.00	nan	450	0
phylum	phylum_uncultured microorganism	0.00	nan	450	0
phylum	phylum_uncultured prokaryote	0.00	nan	450	0
phylum	phylum_uncultured soil bacterium	0.00	nan	450	0
phylum	Aminicenantes	0.00	nan	300	0
phylum	Chloroflexi	0.00	nan	300	0
phylum	Gemmatimonadetes	0.00	nan	300	0
phylum	Thaumarchaeota	0.00	nan	300	0
phylum	phylum_uncultured bacterium A1Q1_fos_2111	0.00	nan	300	0
phylum	phylum_uncultured bacterium lac153	0.00	nan	300	0
phylum	phylum_uncultured methylotrophic bacterium	0.00	nan	300	0
phylum	phylum_uncultured prokaryote AT3	0.00	nan	300	0
phylum	Atribacteria	0.00	nan	150	0
phylum	Hydrogenedentes	0.00	nan	150	0
phylum	phylum_Caldithrix	0.00	nan	150	0
phylum	phylum_synthetic construct	0.00	nan	150	0
phylum	phylum_uncultured archaeon A07HR60	0.00	nan	150	0
phylum	phylum_uncultured bacterium A1Q1_fos_1060	0.00	nan	150	0
phylum	phylum_uncultured bacterium A1Q1_fos_2116	0.00	nan	150	0
phylum	phylum_uncultured bacterium A1Q1_fos_500	0.00	nan	150	0
phylum	phylum_uncultured bacterium A1Q1_fos_600	0.00	nan	150	0
phylum	phylum_uncultured bacterium HF130_12L15	0.00	nan	150	0
phylum	phylum_uncultured bacterium WT4	0.00	nan	150	0
phylum	phylum_uncultured denitrifying bacterium	0.00	nan	150	0
phylum	phylum_uncultured marine organism	0.00	nan	150	0
phylum	unassigned	nan	nan	2646278850	0
class	Alphaproteobacteria	1.00	0.10	118866750	1236060450
class	Deltaproteobacteria	1.00	0.16	40434750	253016550
class	Actinobacteria	1.00	0.04	25827750	643342500
class	Gammaproteobacteria	0.99	0.08	13268700	167416050
class	Bacilli	1.00	0.08	10135800	132956700
class	Betaproteobacteria	0.99	0.04	9763050	254221200
class	Halobacteria	1.00	0.13	7479000	57398550
class	Clostridia	0.99	0.07	3090300	44159700
class	Negativicutes	1.00	0.20	3042600	15077850
class	Flavobacteriia	1.00	0.03	2641050	78409650
class	class_uncultured organism	0.00	nan	218700	0
class	class_uncultured bacterium	0.00	nan	83100	0
class	Mammalia	0.00	nan	37200	0
class	class_Proteobacteria bacterium JGI 0001009-D17	0.00	nan	20400	0
class	class_Malpighiales	0.00	nan	19200	0
class	class_Brassicales	0.00	nan	15600	0
class	class_Proteobacteria bacterium JGI 0001013-N05	0.00	nan	14250	0
class	class_uncultured bacterium 1062	0.00	nan	13950	0
class	class_Caudovirales	0.00	nan	12900	0
class	Insecta	0.00	nan	8700	0
class	Cytophagia	0.00	nan	7350	0
class	class_Cloning vector pGBT-PX	0.00	nan	5850	0
class	Chlamydiia	0.00	nan	4350	0
class	class_bacterium YEK0313	0.00	nan	3900	0
class	class_unidentified eubacterium SCB49	0.00	nan	3450	0
class	Sphingobacteriia	0.00	nan	3150	0
class	Epsilonproteobacteria	0.00	nan	2850	0
class	class_uncultured bacterium A1Q1_fos_660	0.00	nan	2700	0
class	class_Proteobacteria bacterium JGI 0001002-H11	0.00	nan	2250	0
class	Chromadorea	0.00	nan	1950	0
class	Acidobacteriia	0.00	nan	1800	0
class	Bacteroidia	0.00	nan	1500	0
