instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.88	489768139	553468052
superkingdom	Archaea	1.00	0.98	6286039	6411802
superkingdom	unassigned	nan	nan	65975668	1413217
phylum	Proteobacteria	1.00	0.86	209836433	243932505
phylum	Actinobacteria	1.00	0.92	134568865	145948197
phylum	Firmicutes	1.00	0.88	102813743	116336594
phylum	Bacteroidetes	0.99	0.89	40951174	45650742
phylum	Euryarchaeota	1.00	0.98	6286039	6411802
phylum	Tenericutes	1.00	1.00	1597924	1600014
phylum	unassigned	nan	nan	65975668	2149992
class	Actinobacteria	1.00	0.92	134568865	145948197
class	Alphaproteobacteria	1.00	0.80	102126461	127454801
class	Betaproteobacteria	1.00	0.94	73695140	78627440
class	Clostridia	1.00	0.91	72910936	79844812
class	Gammaproteobacteria	1.00	0.97	27052746	27773710
class	Bacilli	1.00	0.80	25799228	32340827
class	Sphingobacteriia	0.98	0.96	18532446	19013960
class	Cytophagia	1.00	0.79	11423555	14411538
class	Flavobacteriia	1.00	0.95	8996562	9442158
class	Deltaproteobacteria	1.00	0.69	6962086	10076554
class	Halobacteria	1.00	0.97	4751923	4877686
class	Negativicutes	1.00	0.99	4103579	4150955
class	Bacteroidia	1.00	0.72	1998611	2783086
class	Mollicutes	1.00	1.00	1597924	1600014
class	Thermoplasmata	1.00	1.00	1534116	1534116
class	unassigned	nan	nan	65975668	2149992
order	Actinomycetales	1.00	0.92	132226240	143462610
order	Clostridiales	0.99	0.93	64733679	69444702
order	Burkholderiales	1.00	0.97	64577539	66564525
order	Rhizobiales	0.99	0.70	38255817	54087866
order	Rhodobacterales	0.96	0.92	23587456	24573518
order	Bacillales	1.00	0.78	23346451	29943979
order	Rhodospirillales	1.00	0.99	21960119	22154048
order	Sphingobacteriales	0.98	0.96	18532446	19013960
order	Sphingomonadales	1.00	0.64	15036604	23337519
order	Cytophagales	1.00	0.79	11423555	14411538
order	Flavobacteriales	1.00	0.95	8996562	9442158
order	Vibrionales	1.00	0.99	8181211	8287247
order	Thermoanaerobacterales	0.99	0.78	8177257	10400110
order	Desulfovibrionales	1.00	0.69	6962086	10076554
order	Methylophilales	1.00	0.74	6578485	8904107
order	Pseudomonadales	1.00	0.96	5280554	5477884
order	Enterobacteriales	1.00	0.94	5109220	5419845
order	Alteromonadales	1.00	0.99	4909536	4980999
order	Halobacteriales	1.00	0.97	4751923	4877686
order	Selenomonadales	1.00	0.99	4103579	4150955
