binner	rank	bin	precision	recall	predicted_size	real_size
admiring_curie_2	superkingdom	Bacteria	1.00	0.88	489768139	553468052
admiring_curie_2	superkingdom	Archaea	1.00	0.98	6286039	6411802
admiring_curie_2	superkingdom	unassigned	nan	nan	65975668	1413217
admiring_curie_2	phylum	Proteobacteria	1.00	0.86	209836433	243932505
admiring_curie_2	phylum	Actinobacteria	1.00	0.92	134568865	145948197
admiring_curie_2	phylum	Firmicutes	1.00	0.88	102813743	116336594
admiring_curie_2	phylum	Bacteroidetes	0.99	0.89	40951174	45650742
admiring_curie_2	phylum	Euryarchaeota	1.00	0.98	6286039	6411802
admiring_curie_2	phylum	Tenericutes	1.00	1.00	1597924	1600014
admiring_curie_2	phylum	unassigned	nan	nan	65975668	2149992
admiring_curie_2	class	Actinobacteria	1.00	0.92	134568865	145948197
admiring_curie_2	class	Alphaproteobacteria	1.00	0.80	102126461	127454801
admiring_curie_2	class	Betaproteobacteria	1.00	0.94	73695140	78627440
admiring_curie_2	class	Clostridia	1.00	0.91	72910936	79844812
admiring_curie_2	class	Gammaproteobacteria	1.00	0.97	27052746	27773710
admiring_curie_2	class	Bacilli	1.00	0.80	25799228	32340827
admiring_curie_2	class	Sphingobacteriia	0.98	0.96	18532446	19013960
admiring_curie_2	class	Cytophagia	1.00	0.79	11423555	14411538
admiring_curie_2	class	Flavobacteriia	1.00	0.95	8996562	9442158
admiring_curie_2	class	Deltaproteobacteria	1.00	0.69	6962086	10076554
admiring_curie_2	class	Halobacteria	1.00	0.97	4751923	4877686
admiring_curie_2	class	Negativicutes	1.00	0.99	4103579	4150955
admiring_curie_2	class	Bacteroidia	1.00	0.72	1998611	2783086
admiring_curie_2	class	Mollicutes	1.00	1.00	1597924	1600014
admiring_curie_2	class	Thermoplasmata	1.00	1.00	1534116	1534116
admiring_curie_2	class	unassigned	nan	nan	65975668	2149992
admiring_curie_2	order	Actinomycetales	1.00	0.92	132226240	143462610
admiring_curie_2	order	Clostridiales	0.99	0.93	64733679	69444702
admiring_curie_2	order	Burkholderiales	1.00	0.97	64577539	66564525
admiring_curie_2	order	Rhizobiales	0.99	0.70	38255817	54087866
admiring_curie_2	order	Rhodobacterales	0.96	0.92	23587456	24573518
admiring_curie_2	order	Bacillales	1.00	0.78	23346451	29943979
admiring_curie_2	order	Rhodospirillales	1.00	0.99	21960119	22154048
admiring_curie_2	order	Sphingobacteriales	0.98	0.96	18532446	19013960
admiring_curie_2	order	Sphingomonadales	1.00	0.64	15036604	23337519
admiring_curie_2	order	Cytophagales	1.00	0.79	11423555	14411538
admiring_curie_2	order	Flavobacteriales	1.00	0.95	8996562	9442158
admiring_curie_2	order	Vibrionales	1.00	0.99	8181211	8287247
admiring_curie_2	order	Thermoanaerobacterales	0.99	0.78	8177257	10400110
admiring_curie_2	order	Desulfovibrionales	1.00	0.69	6962086	10076554
admiring_curie_2	order	Methylophilales	1.00	0.74	6578485	8904107
admiring_curie_2	order	Pseudomonadales	1.00	0.96	5280554	5477884
admiring_curie_2	order	Enterobacteriales	1.00	0.94	5109220	5419845
admiring_curie_2	order	Alteromonadales	1.00	0.99	4909536	4980999
admiring_curie_2	order	Halobacteriales	1.00	0.97	4751923	4877686
admiring_curie_2	order	Selenomonadales	1.00	0.99	4103579	4150955
admiring_curie_2	order	Legionellales	1.00	0.99	3572225	3607735
admiring_curie_2	order	Caulobacterales	1.00	1.00	3286465	3301850
admiring_curie_2	order	Nitrosomonadales	1.00	0.93	2539116	2734309
admiring_curie_2	order	Lactobacillales	0.96	0.98	2452777	2396848
admiring_curie_2	order	Acidimicrobiales	1.00	0.94	2342625	2485587
admiring_curie_2	order	Bacteroidales	1.00	0.72	1998611	2783086
admiring_curie_2	order	Acholeplasmatales	1.00	1.00	1597924	1600014
admiring_curie_2	order	Thermoplasmatales	1.00	1.00	1534116	1534116
admiring_curie_2	order	unassigned	nan	nan	65975668	2149992
admiring_curie_2	family	Comamonadaceae	1.00	0.99	37326534	37691258
admiring_curie_2	family	Pseudonocardiaceae	0.85	0.95	36661922	32681267
admiring_curie_2	family	Oxalobacteraceae	1.00	0.94	27251005	28873267
admiring_curie_2	family	Rhodobacteraceae	0.96	0.92	23587456	24573518
admiring_curie_2	family	Rhodospirillaceae	1.00	0.99	21960119	22154048
admiring_curie_2	family	Cellulomonadaceae	1.00	0.70	21721386	31237913
admiring_curie_2	family	Sphingobacteriaceae	0.98	0.96	18532446	19013960
admiring_curie_2	family	Clostridiales Family XIX. Incertae Sedis	0.87	0.95	16500749	15210881
admiring_curie_2	family	Clostridiaceae	0.84	0.70	15579982	18916804
admiring_curie_2	family	Sphingomonadaceae	1.00	0.64	15036604	23337519
admiring_curie_2	family	Clostridiales Family XVI. Incertae Sedis	1.00	0.95	14190410	14888857
admiring_curie_2	family	Rhizobiaceae	0.98	0.73	13810888	18598125
admiring_curie_2	family	Nocardiaceae	1.00	0.99	12916943	13003876
