instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.94	520923803	553468052
superkingdom	Archaea	1.00	0.88	5631524	6411802
superkingdom	unassigned	nan	nan	35474519	1413217
phylum	Proteobacteria	1.00	0.92	224681912	243932505
phylum	Actinobacteria	0.99	0.97	142734634	145948197
phylum	Firmicutes	0.97	0.88	106113505	116336594
phylum	Bacteroidetes	0.88	0.89	45795828	45650742
phylum	Euryarchaeota	1.00	0.88	5631524	6411802
phylum	Tenericutes	1.00	1.00	1597924	1600014
phylum	unassigned	nan	nan	35474519	2149992
class	Actinobacteria	0.99	0.97	142734634	145948197
class	Alphaproteobacteria	0.99	0.85	110308047	127454801
class	Betaproteobacteria	0.97	0.97	78488347	78627440
class	Clostridia	0.95	0.91	76535838	79844812
class	Gammaproteobacteria	1.00	0.98	27178733	27773710
class	Bacilli	0.94	0.68	23507942	32340827
class	Sphingobacteriia	0.89	0.95	20373296	19013960
class	Cytophagia	0.78	0.76	14120083	14411538
class	Flavobacteriia	0.96	0.93	9156902	9442158
class	Deltaproteobacteria	0.86	0.75	8706785	10076554
class	Negativicutes	0.67	0.99	6069725	4150955
class	Halobacteria	1.00	0.84	4097408	4877686
class	Bacteroidia	0.96	0.74	2145547	2783086
class	Mollicutes	1.00	1.00	1597924	1600014
class	Thermoplasmata	1.00	1.00	1534116	1534116
class	unassigned	nan	nan	35474519	2149992
order	Actinomycetales	0.99	0.97	140380678	143462610
order	Clostridiales	0.94	0.91	67325210	69444702
order	Burkholderiales	0.97	0.97	66582764	66564525
order	Rhizobiales	0.93	0.72	42153773	54087866
order	Rhodobacterales	0.90	0.88	23894865	24573518
order	Rhodospirillales	0.96	0.98	22615754	22154048
order	Bacillales	0.93	0.66	21029185	29943979
order	Sphingobacteriales	0.89	0.95	20373296	19013960
order	Sphingomonadales	0.93	0.73	18341805	23337519
order	Cytophagales	0.78	0.76	14120083	14411538
order	Thermoanaerobacterales	0.91	0.81	9210628	10400110
order	Flavobacteriales	0.96	0.93	9156902	9442158
order	Methylophilales	0.97	0.98	9023386	8904107
order	Desulfovibrionales	0.86	0.75	8706785	10076554
order	Vibrionales	1.00	0.99	8170337	8287247
order	Selenomonadales	0.67	0.99	6069725	4150955
order	Enterobacteriales	1.00	0.98	5326486	5419845
order	Pseudomonadales	1.00	0.95	5183396	5477884
order	Alteromonadales	1.00	1.00	4980999	4980999
order	Halobacteriales	1.00	0.84	4097408	4877686
order	Legionellales	1.00	0.97	3517515	3607735
order	Caulobacterales	1.00	1.00	3301850	3301850
order	Nitrosomonadales	1.00	0.98	2688986	2734309
order	Lactobacillales	0.96	1.00	2478757	2396848
order	Acidimicrobiales	1.00	0.95	2353956	2485587
order	Bacteroidales	0.96	0.74	2145547	2783086
order	Acholeplasmatales	1.00	1.00	1597924	1600014
order	Thermoplasmatales	1.00	1.00	1534116	1534116
order	Neisseriales	0.39	0.18	193211	424499
order	unassigned	nan	nan	35474519	2149992
family	Comamonadaceae	0.92	0.97	39488878	37691258
family	Pseudonocardiaceae	0.87	0.91	33966624	32681267
family	Cellulomonadaceae	0.81	0.86	33208241	31237913
family	Oxalobacteraceae	0.90	0.84	27093886	28873267
family	Rhodobacteraceae	0.90	0.88	23894865	24573518
family	Rhodospirillaceae	0.96	0.98	22615754	22154048
family	Sphingobacteriaceae	0.89	0.95	20373296	19013960
family	Clostridiales Family XIX. Incertae Sedis	0.72	0.90	19084681	15210881
family	Sphingomonadaceae	0.93	0.73	18341805	23337519
family	Streptomycetaceae	0.95	0.87	16850543	18428033
family	Cytophagaceae	0.78	0.76	14120083	14411538
family	Clostridiaceae	0.97	0.69	13603671	18916804
family	Nocardioidaceae	0.77	0.99	13438369	10494171
family	Nocardiaceae	1.00	0.98	12796501	13003876
family	Clostridiales Family XVI. Incertae Sedis	0.86	0.70	12114903	14888857
family	Intrasporangiaceae	0.96	0.91	11740702	12422925
family	Phyllobacteriaceae	0.51	0.63	10721084	8674992
family	Xanthobacteraceae	0.99	0.96	9836936	10190100
family	Peptostreptococcaceae	0.74	0.91	9511397	7719747
family	Thermoanaerobacteraceae	0.91	0.81	9210628	10400110
family	Flavobacteriaceae	0.96	0.93	9156902	9442158
family	Rhizobiaceae	0.88	0.43	9134391	18598125
family	Methylophilaceae	0.97	0.98	9023386	8904107
family	Desulfovibrionaceae	0.86	0.75	8706785	10076554
family	Lachnospiraceae	0.99	0.98	8198864	8225026
family	Vibrionaceae	1.00	0.99	8170337	8287247
family	Microbacteriaceae	0.99	1.00	7861275	7792846
family	Aurantimonadaceae	0.97	0.90	7168945	7749681
family	Mycobacteriaceae	1.00	0.99	6649688	6676999
family	Veillonellaceae	0.67	0.99	6069725	4150955
family	Enterobacteriaceae	1.00	0.98	5326486	5419845
family	Planococcaceae	0.94	0.69	5306713	7245311
family	Bradyrhizobiaceae	0.94	0.56	5292417	8874968
family	Pseudomonadaceae	1.00	0.95	5183396	5477884
family	Ferrimonadaceae	1.00	1.00	4980999	4980999
family	Halobacteriaceae	1.00	0.84	4097408	4877686
family	Propionibacteriaceae	1.00	0.94	3868735	4125126
family	Legionellaceae	1.00	0.97	3517515	3607735
family	Caulobacteraceae	1.00	1.00	3301850	3301850
family	Paenibacillaceae	0.60	0.26	3160380	7400375
family	Bacillaceae	1.00	0.96	2822912	2948556
family	Nitrosomonadaceae	1.00	0.98	2688986	2734309
family	Peptococcaceae	1.00	0.96	2528024	2625413
family	Enterococcaceae	0.96	1.00	2478757	2396848
family	Acidimicrobiaceae	1.00	0.95	2353956	2485587
family	Eubacteriaceae	0.33	0.41	2283670	1857974
family	Porphyromonadaceae	1.00	0.99	2032579	2044131
family	Acholeplasmataceae	1.00	1.00	1597924	1600014
family	Picrophilaceae	1.00	1.00	1534116	1534116
family	Staphylococcaceae	0.38	0.09	613763	2645012
family	Neisseriaceae	0.39	0.18	193211	424499
family	Prevotellaceae	0.32	0.05	112968	738955
family	unassigned	nan	nan	44599936	11854717
genus	Massilia	0.90	0.84	27093886	28873267
genus	Cellulomonas	0.75	0.84	24784394	22124132
genus	Lechevalieria	0.80	0.85	21692151	20408997
genus	Acetoanaerobium	0.72	0.90	19084681	15210881
genus	Sphingomonas	0.93	0.73	18341805	23337519
genus	Phaeospirillum	0.95	0.98	15594525	15012162
genus	Ohtaekwangia	0.78	0.76	14120083	14411538
genus	Aeromicrobium	0.77	0.99	13438369	10494171
genus	Kibdelosporangium	1.00	1.00	12274473	12272270
genus	Carboxydocella	0.86	0.70	12114903	14888857
genus	Sphingobacterium	0.79	0.91	10847923	9481390
genus	Aquamicrobium	0.51	0.63	10721084	8674992
genus	Pedobacter	1.00	1.00	9525373	9532570
genus	Paracoccus	0.90	0.87	9346188	9589943
genus	Methylophilus	0.97	0.98	9023386	8904107
genus	Desulfovibrio	0.86	0.75	8706785	10076554
genus	Oerskovia	1.00	0.92	8423847	9113781
genus	Butyrivibrio	0.99	0.98	8198864	8225026
genus	Vibrio	1.00	0.99	8170337	8287247
genus	Sinorhizobium	0.87	0.51	8039031	13774939
genus	Phycicoccus	1.00	0.89	7807497	8785183
genus	Nocardia	1.00	0.99	7182288	7282241
genus	Rhodobacter	1.00	0.95	7169764	7530868
genus	Azospirillum	1.00	0.98	7021229	7141886
genus	Clostridium	1.00	0.92	6715359	7261293
genus	Mycobacterium	1.00	0.99	6649688	6676999
genus	Propionispora	0.67	0.99	6069725	4150955
genus	Rhodococcus	1.00	0.98	5614213	5721635
genus	Intestinibacter	0.54	0.99	5366257	2937124
genus	Rahnella	1.00	0.98	5326486	5419845
genus	Sporosarcina	0.94	0.69	5306713	7245311
genus	Bosea	0.94	0.56	5292417	8874968
genus	Azotobacter	1.00	0.95	5183396	5477884
genus	Pseudoxanthobacter	0.99	0.96	4997211	5163876
genus	Ferrimonas	1.00	1.00	4980999	4980999
genus	Moorella	1.00	0.96	4940573	5136963
genus	Xanthobacter	1.00	0.96	4839725	5026224
genus	Thermoanaerobacter	0.81	0.65	4270055	5263147
genus	Halobacterium	1.00	0.84	4097408	4877686
genus	Diaphorobacter	1.00	0.97	3966654	4083860
genus	Curtobacterium	1.00	1.00	3933747	3925652
genus	Janibacter	0.88	0.96	3933205	3637742
genus	Tessaracoccus	1.00	0.94	3868735	4125126
genus	Roseinatronobacter	0.61	0.63	3772864	3606821
genus	Rhodobaca	0.96	0.90	3606049	3845886
genus	Tatlockia	1.00	0.97	3517515	3607735
genus	Phenylobacterium	1.00	1.00	3301850	3301850
genus	Butyricicoccus	1.00	0.99	3225188	3268385
genus	Paenibacillus	0.60	0.26	3160380	7400375
genus	Olleya	0.94	1.00	3115525	2957608
genus	Formosa	1.00	0.98	3086229	3154949
genus	Chryseobacterium	0.94	0.84	2955148	3329601
genus	Bacillus	1.00	0.96	2822912	2948556
genus	Nitrosomonas	1.00	0.98	2688986	2734309
genus	Desulfotomaculum	1.00	0.96	2528024	2625413
genus	Caloranaerobacter	0.98	0.99	2479470	2455797
genus	Tetragenococcus	0.96	1.00	2478757	2396848
genus	Ferrithrix	1.00	0.95	2353956	2485587
genus	Garciella	0.33	0.41	2283670	1857974
genus	Tepidibacter	1.00	0.99	2208901	2232591
genus	Porphyromonas	1.00	0.99	2032579	2044131
genus	Peptoclostridium	0.97	0.73	1936239	2550032
genus	Acholeplasma	1.00	1.00	1597924	1600014
genus	Picrophilus	1.00	1.00	1534116	1534116
genus	Lutispora	0.64	0.22	1183654	3459146
genus	Rhizobium	0.62	0.14	1095360	4823186
genus	Salinicoccus	0.38	0.09	613763	2645012
genus	Alysiella	0.39	0.18	193211	424499
genus	Prevotella	0.32	0.05	112968	738955
genus	unassigned	nan	nan	108069176	75507023
species	uncultured Massilia sp.	0.90	0.84	27093886	28873267
species	Acetoanaerobium noterae	0.72	0.90	19084681	15210881
species	Phaeospirillum fulvum	0.95	0.98	15594525	15012162
species	Aeromicrobium ponti	0.77	0.99	13438369	10494171
species	Kibdelosporangium aridum	1.00	1.00	12274473	12272270
species	Carboxydocella sporoproducens	0.86	0.70	12114903	14888857
species	Lechevalieria aerocolonigenes	0.64	0.72	12012989	10667666
species	Lechevalieria flava	1.00	0.99	9679162	9741331
species	Paracoccus pantotrophus	0.90	0.87	9346188	9589943
species	Sinorhizobium meliloti	0.87	0.51	8039031	13774939
species	Ohtaekwangia kribbensis	0.44	0.48	7902592	7189318
species	Rhodobacter capsulatus	1.00	0.95	7169764	7530868
species	Azospirillum brasilense	1.00	0.98	7021229	7141886
species	Sphingobacterium psychroaquaticum	0.67	0.99	6625892	4500101
species	Ohtaekwangia koreensis	0.92	0.79	6217491	7222220
