instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.49	1363667393	2772292177
superkingdom	Archaea	0.98	0.14	3334998	23185149
superkingdom	unassigned	nan	nan	1436074063	7599128
phylum	Proteobacteria	0.99	0.41	624624255	1521045066
phylum	Actinobacteria	0.99	0.40	262071703	643423328
phylum	Bacteroidetes	0.99	0.80	240113747	295664382
phylum	Firmicutes	0.98	0.71	193978707	269460065
phylum	Verrucomicrobia	0.97	1.00	16880297	16429445
phylum	Thermotogae	0.93	0.99	6510117	6090970
phylum	Fusobacteria	1.00	0.92	6165949	6660981
phylum	Spirochaetes	0.98	0.96	4932399	5025696
phylum	Euryarchaeota	0.98	0.14	3334998	23185149
phylum	Fibrobacteres	1.00	0.96	3159842	3277440
phylum	Tenericutes	0.97	0.99	3157084	3100471
phylum	Nitrospirae	1.00	0.98	2073293	2114333
phylum	unassigned	nan	nan	1436074063	7599128
class	Actinobacteria	0.99	0.40	262071703	643423328
class	Alphaproteobacteria	0.99	0.29	240960395	833861012
class	Gammaproteobacteria	0.98	0.60	174363669	283564862
class	Betaproteobacteria	0.99	0.48	122583323	253679672
class	Clostridia	0.96	0.69	103862428	144027995
class	Flavobacteriia	0.99	0.67	95208661	140981969
class	Deltaproteobacteria	0.97	0.56	84909643	148118577
class	Bacilli	0.99	0.72	84556183	116695892
class	Cytophagia	0.98	0.86	67711479	77861707
class	Sphingobacteriia	0.98	0.99	60972528	60469382
class	Verrucomicrobiae	0.97	1.00	16880297	16429445
class	Bacteroidia	0.98	0.97	16221079	16351324
class	Thermotogae	0.93	0.99	6510117	6090970
class	Fusobacteriia	1.00	0.92	6165949	6660981
class	Negativicutes	0.99	0.63	5560096	8736178
class	Spirochaetia	0.98	0.96	4932399	5025696
class	Halobacteria	0.98	0.14	3334998	23185149
class	Fibrobacteria	1.00	0.96	3159842	3277440
class	Mollicutes	0.97	0.99	3157084	3100471
class	Nitrospira	1.00	0.98	2073293	2114333
class	Epsilonproteobacteria	0.99	0.98	1807225	1820943
class	unassigned	nan	nan	1436074063	7599128
order	Actinomycetales	0.99	0.40	259329308	640542435
order	Rhizobiales	0.99	0.23	121775813	516395188
order	Burkholderiales	0.99	0.47	112448015	237839503
order	Clostridiales	0.95	0.67	96207736	136029716
order	Flavobacteriales	0.99	0.67	95208661	140981969
order	Bacillales	0.99	0.71	75473821	105323788
order	Cytophagales	0.98	0.86	67711479	77861707
order	Sphingobacteriales	0.98	0.99	60972528	60469382
order	Pseudomonadales	0.96	0.51	60261077	113391256
order	Xanthomonadales	0.99	0.61	56057227	90382558
order	Rhodobacterales	0.98	0.75	50880677	65931920
order	Desulfovibrionales	0.97	0.80	44118959	53019523
order	Sphingomonadales	0.97	0.22	40454495	175138273
order	Desulfobacterales	0.96	0.34	25537748	71999076
order	Enterobacteriales	1.00	0.49	20379715	41775600
order	Rhodospirillales	1.00	0.80	17722509	22035374
order	Verrucomicrobiales	0.97	1.00	16880297	16429445
order	Bacteroidales	0.98	0.97	16221079	16351324
order	Vibrionales	0.98	0.97	14787078	14976603
order	Oceanospirillales	0.98	0.98	12499707	12493329
order	Caulobacterales	1.00	0.19	10126901	54360257
order	Lactobacillales	0.99	0.79	9082362	11372104
order	Syntrophobacterales	1.00	0.50	7771314	15571397
order	Desulfuromonadales	0.98	0.97	7481622	7528581
order	Thermotogales	0.93	0.99	6510117	6090970
order	Aeromonadales	0.99	0.97	6252717	6399900
order	Fusobacteriales	1.00	0.92	6165949	6660981
order	Selenomonadales	0.99	0.63	5560096	8736178
order	Rhodocyclales	0.89	0.50	5127309	9152768
order	Neisseriales	0.97	0.73	5007999	6687401
order	Thermoanaerobacterales	1.00	0.96	4966323	5160684
order	Spirochaetales	0.98	0.96	4932399	5025696
order	Thiotrichales	1.00	0.99	4126148	4145616
order	Halobacteriales	0.98	0.14	3334998	23185149
order	Fibrobacterales	1.00	0.96	3159842	3277440
order	Mycoplasmatales	0.97	0.99	3157084	3100471
order	Coriobacteriales	0.99	0.95	2742395	2880893
order	Halanaerobiales	1.00	0.95	2688369	2837595
order	Nitrospirales	1.00	0.98	2073293	2114333
order	Campylobacterales	0.99	0.98	1807225	1820943
order	unassigned	nan	nan	1436074063	7599128
family	Flavobacteriaceae	0.99	0.67	95208661	140981969
family	Comamonadaceae	0.99	0.37	63408341	170149075
family	Microbacteriaceae	0.99	0.32	62871229	194907090
family	Pseudomonadaceae	0.96	0.49	56091264	109345834
family	Xanthomonadaceae	0.99	0.61	56057227	90382558
family	Rhodobacteraceae	0.98	0.75	50880677	65931920
family	Cytophagaceae	0.99	0.98	48267947	48663420
family	Micrococcaceae	0.94	0.99	45683542	43419111
family	Paenibacillaceae	0.99	0.71	44579752	61773578
family	Pseudonocardiaceae	1.00	0.50	43366014	86183502
family	Desulfovibrionaceae	0.97	0.80	41653903	50536393
family	Sphingomonadaceae	0.97	0.22	37722908	168469319
family	Rhizobiaceae	0.95	0.14	34520495	233314299
family	Sphingobacteriaceae	0.96	0.99	31962477	31195562
family	Methylobacteriaceae	0.99	0.19	31144496	162653027
family	Chitinophagaceae	1.00	0.99	29010051	29273820
family	Bacillaceae	0.99	0.69	28447563	41037029
family	Streptomycetaceae	1.00	0.38	25016379	66646645
family	Peptococcaceae	0.98	0.98	24622653	24562063
family	Oxalobacteraceae	1.00	0.56	24169871	42788199
family	Lachnospiraceae	0.96	0.96	22223942	22287488
family	Bradyrhizobiaceae	1.00	0.70	20986551	29876564
family	Nocardioidaceae	1.00	0.21	20526905	97503781
family	Enterobacteriaceae	1.00	0.49	20379715	41775600
family	Acetobacteraceae	1.00	0.80	17722509	22035374
family	Alcaligenaceae	1.00	0.98	17703561	18103721
family	Verrucomicrobiaceae	0.97	1.00	16880297	16429445
family	Desulfobulbaceae	0.93	0.96	16586985	16042482
family	Clostridiaceae	0.92	0.28	15488317	50365611
family	Phyllobacteriaceae	0.84	0.34	14791496	36566390
family	Vibrionaceae	0.98	0.97	14787078	14976603
family	Cyclobacteriaceae	0.99	0.57	14174162	24460231
family	Hyphomicrobiaceae	0.91	0.29	11623593	36626430
family	Clostridiales Family XI. Incertae Sedis	0.84	0.73	11281946	12971081
family	Nocardiaceae	0.97	0.19	10458372	52214963
family	Ruminococcaceae	0.96	0.95	10191577	10323195
family	Promicromonosporaceae	1.00	0.99	10138263	10223796
family	Caulobacteraceae	1.00	0.19	10126901	54360257
family	Thermomonosporaceae	1.00	0.98	9220480	9355715
family	Desulfobacteraceae	1.00	0.16	8950763	55956594
family	Williamsiaceae	1.00	0.64	8913896	13974782
family	Aurantimonadaceae	0.99	0.64	8709182	13396227
family	Oceanospirillaceae	0.98	0.98	8555035	8540907
family	Porphyromonadaceae	0.98	0.99	8384160	8298689
family	Syntrophobacteraceae	1.00	0.50	7771314	15571397
family	Burkholderiaceae	0.91	0.96	7166242	6798508
family	Mycobacteriaceae	0.99	0.53	6567330	12314286
family	Thermotogaceae	0.93	0.99	6510117	6090970
family	Lactobacillaceae	0.99	0.96	6318007	6471053
family	Fusobacteriaceae	1.00	0.92	6165949	6660981
family	Glycomycetaceae	1.00	1.00	5565661	5546185
family	Veillonellaceae	0.99	0.63	5560096	8736178
family	Flammeovirgaceae	0.90	1.00	5269370	4738056
family	Eubacteriaceae	0.96	0.96	5167860	5159885
family	Rhodocyclaceae	0.89	0.50	5127309	9152768
family	Thermoanaerobacteraceae	1.00	0.96	4966323	5160684
family	Spirochaetaceae	0.98	0.96	4932399	5025696
family	Marinilabiliaceae	0.96	0.95	4482016	4548631
family	Moraxellaceae	0.97	1.00	4169813	4045422
family	Thiotrichaceae	1.00	0.99	4126148	4145616
family	Pelobacteraceae	0.96	0.96	3963120	3960448
family	Halomonadaceae	0.99	0.99	3944672	3952422
family	Intrasporangiaceae	1.00	0.13	3914126	30879476
family	Kineosporiaceae	1.00	1.00	3832070	3851283
family	Aeromonadaceae	0.99	0.99	3708319	3735544
family	Geobacteraceae	1.00	0.98	3518502	3568133
family	Prevotellaceae	1.00	0.96	3354903	3504004
family	Halobacteriaceae	0.98	0.14	3334998	23185149
family	Peptostreptococcaceae	1.00	0.51	3169373	6172507
family	Fibrobacteraceae	1.00	0.96	3159842	3277440
family	Mycoplasmataceae	0.97	0.99	3157084	3100471
family	Enterococcaceae	0.99	0.99	2764355	2780066
family	Coriobacteriaceae	0.99	0.95	2742395	2880893
family	Erythrobacteraceae	1.00	0.41	2731587	6668954
family	Chromobacteriaceae	0.94	0.59	2730892	4362870
family	Halobacteroidaceae	1.00	0.95	2688369	2837595
family	Succinivibrionaceae	0.99	0.95	2544398	2664356
family	Desulfomicrobiaceae	1.00	0.99	2465056	2483130
family	Staphylococcaceae	1.00	0.97	2446506	2513181
family	Neisseriaceae	1.00	0.98	2277107	2324531
family	Syntrophomonadaceae	1.00	0.97	2102003	2166976
family	Nitrospiraceae	1.00	0.98	2073293	2114333
family	Peptoniphilaceae	1.00	0.97	1960065	2020910
family	Campylobacteraceae	0.99	0.98	1807225	1820943
family	Geodermatophilaceae	1.00	0.18	1637842	9129044
family	Sanguibacteraceae	1.00	0.37	1617199	4392776
family	unassigned	nan	nan	1436074063	7599128
genus	Pseudomonas	0.98	0.60	49391562	81181815
genus	Arthrobacter	0.94	0.99	45683542	43419111
genus	Desulfovibrio	0.97	0.80	41653903	50536393
genus	Paenibacillus	0.99	0.68	38273144	55307915
genus	Rhizobium	0.90	0.21	34520495	144639957
genus	Methylobacterium	0.99	0.19	31144496	162653027
genus	Chitinophaga	1.00	0.99	29010051	29273820
genus	Bacillus	0.99	0.69	28447563	41037029
genus	Flavobacterium	0.98	0.98	25423446	25633784
genus	Streptomyces	1.00	0.49	25016379	50911200
genus	Sphingomonas	1.00	0.17	24798371	142216692
genus	Microbacterium	0.99	0.38	24466576	64343173
genus	Dyadobacter	0.99	0.99	22274174	22216106
genus	Nocardioides	1.00	0.25	20421952	82168912
genus	Lysobacter	1.00	0.39	19061560	48184513
genus	Bosea	1.00	0.93	16173243	17367169
genus	Chryseobacterium	0.99	0.98	15918658	16089698
genus	Pedobacter	0.94	0.99	15434118	14567128
genus	Mameliella	1.00	0.72	15237520	21065517
genus	Mesorhizobium	0.84	0.62	14791496	20175861
genus	Roseomonas	1.00	0.79	14314687	18074709
genus	Desulfotomaculum	1.00	0.98	13120163	13411937
genus	Prosthecobacter	0.97	1.00	12492495	12109280
genus	Lachnoclostridium	0.97	0.99	12258308	12031595
genus	Salegentibacter	0.98	0.45	11919106	26048522
genus	Devosia	0.91	0.29	11623593	36626430
genus	Massilia	1.00	0.43	10908332	25109927
genus	Prauserella	1.00	0.39	10669306	27591047
genus	Clostridium	0.88	0.21	10582683	43862697
genus	Arenibacter	1.00	0.99	10382372	10466050
genus	Pseudoxanthomonas	0.96	0.95	10368142	10407041
genus	Xanthomonas	1.00	0.99	10288238	10383935
genus	Rhodococcus	0.99	0.68	10158268	14776040
genus	Promicromonospora	1.00	0.99	10138263	10223796
genus	Vibrio	0.99	0.98	9875181	9949087
genus	Acidovorax	0.99	0.35	9850880	27755956
genus	Algoriphagus	0.98	0.48	9749480	19978673
genus	Actinosynnema	1.00	1.00	9329254	9348728
genus	Actinomadura	1.00	0.98	9220480	9355715
genus	Hymenobacter	1.00	1.00	9147192	9150525
genus	Williamsia	1.00	0.64	8913896	13974782
genus	Goodfellowiella	1.00	0.99	8719529	8767230
