Instance	class	precision	recall	predicted class size	real class size
strain	1048771	1.0	0.981585144095	3843377.0	3915480.0
strain	1049053	1.0	0.9883700219	4772145.0	4828298.0
strain	1286_CO	0.563574998485	0.985238389949	7807511.0	4466044.0
strain	1139_AC	0.413005675412	0.0242438360293	313986.0	5348906.0
strain	evo_1052962.024	0.295908865626	0.0616375118342	532664.0	2557209.0
strain	1048774	0.984269755472	0.91680360482	3690661.0	3962251.0
strain	1139_AY	0.484462543176	0.992848598792	12001578.0	5856195.0
strain	evo_1052956.014	0.22080930573	0.0435164850588	505495.0	2564959.0
strain	1030788	0.842452587605	0.899016661511	3239501.0	3035679.0
strain	1287_CG	0.991527812131	0.984170069894	6553561.0	6602556.0
strain	evo_1030827.025	0.258635658841	0.933277553042	16414179.0	4548799.0
strain	1048879	1.0	0.387395162208	3621652.0	9348728.0
strain	1036611	0.832605851858	0.0714048010903	227039.0	2647357.0
strain	1036761	0.999606899138	0.986858304919	3909938.0	3960448.0
strain	1285_A	0.623055042085	0.0211843198598	222884.0	6555273.0
strain	1036647	0.975706429089	0.997678050893	4089724.0	3999657.0
strain	1220_CC	0.243610002032	0.901104707202	25301260.0	6840093.0
strain	evo_1220_Q.030	0.308944044045	0.0348523637195	536547.0	4756148.0
strain	evo_1048987.032	0.991577185717	0.262003962426	818610.0	3098102.0
strain	1036581	1.0	0.21326544911	844673.0	3960665.0
strain	1036653	0.997055303145	0.968461189971	5259285.0	5414567.0
strain	1030794	0.989639620846	0.99739552612	9491448.0	9417641.0
strain	1030947	0.790619246125	0.0441524779239	522474.0	9355715.0
strain	1220_BC	0.182110127932	0.997820936543	52248434.0	9535748.0
strain	1139_AX	0.981880331134	0.970689145378	6426166.0	6500254.0
strain	1139_V	0.586843279356	0.594122841281	4325850.0	4272847.0
strain	1365_B	0.991201279707	0.982410402625	3410155.0	3440670.0
strain	1049077	0.999287554255	0.669437304708	2815653.0	4203003.0
strain	1220_AA	0.996685589303	0.518512469855	2825540.0	5431258.0
strain	1287_B	1.0	0.0559113852628	380114.0	6798508.0
strain	1048954	0.937008043311	0.979023973074	4744066.0	4540469.0
strain	1139_CP	0.430616284363	0.0949187455344	1159984.0	5262480.0
strain	evo_1048975.026	0.324585857652	0.820703644243	11352075.0	4489712.0
strain	1048780	0.991350743873	0.945544238279	7855242.0	8235786.0
strain	1035990	0.998742620073	0.993913963927	5796975.0	5825138.0
strain	1048894	0.530549620324	0.991169327478	9859206.0	5277401.0
strain	1220_N	0.976060830682	0.993001428191	3736930.0	3673178.0
