Instance	class	precision	recall	predicted class size	real class size
strain	1036608	1.0	0.989799878094	3137337.0	3169668.0
strain	evo_1286_AP.033	0.344918168768	0.575010466427	5164654.0	3098001.0
strain	1220_AJ	0.0656257375656	0.0885995279609	3529347.0	2614190.0
strain	Sample19_56	0.0108679360359	1.0	2702077.0	29366.0
strain	Sample22_57	0.00822911505994	1.0	4577892.0	37672.0
strain	Sample6_722	0.00243888834004	1.0	2975946.0	7258.0
strain	Sample23_271	0	0	0	10434.0
strain	Sample6_289	0.00473160467293	1.0	2975946.0	14081.0
strain	Sample23_273	0	0	0	10364.0
strain	Sample6_527	0.00312337656664	1.0	2975946.0	9295.0
strain	1036743	0.989945946164	0.578599231864	2979992.0	5098574.0
strain	Sample9_2	0	0	0	33254.0
strain	Sample22_283	0	0	0	16206.0
strain	1048993	0.989047581568	0.404624293365	1486521.0	3633593.0
strain	1285_BH	1.0	1.0	4566533.0	4566533.0
strain	evo_1286_AP.026	1.0	0.999454987919	3209188.0	3210938.0
strain	Sample15_97	0.00221576601188	1.0	2975946.0	6594.0
strain	evo_1035930.029	0.99886726349	0.975357878721	2355358.0	2412130.0
strain	1049005	0.954324481182	0.998725605447	4298955.0	4107833.0
strain	1365_A	0.99906648813	0.838162355717	5886374.0	7016396.0
strain	1286_AP	0.637425041919	0.980853270141	4577892.0	2975025.0
strain	Sample16_19	0.0259870306786	1.0	2975946.0	77336.0
strain	1139_AG	1.0	0.994541354662	7238086.0	7277813.0
strain	evo_1049056.031	0.664557208486	0.78870659113	4006084.0	3375491.0
strain	evo_1286_AP.008	0.654858002104	0.999462459965	5164654.0	3383934.0
strain	Sample19_20	0.02007462501	1.0	2975946.0	59741.0
strain	evo_1049056.011	0.996669365971	0.818582078962	2755031.0	3354404.0
strain	evo_1049056.039	1.0	0.423024924345	1142070.0	2699770.0
strain	1049089	0.998213970902	0.996770145143	3119770.0	3124289.0
strain	1220_AD	1.0	0.998408664861	3475186.0	3480725.0
strain	1030752	1.0	0.99801918594	6265287.0	6277722.0
strain	1030755	0.995255554468	0.995468410511	4615924.0	4614937.0
strain	1035930	0	0	0	2197372.0
strain	evo_1035930.011	0	0	0	2260928.0
strain	1052944	0.382610786523	0.361604650912	4903304.0	5188144.0
strain	1036755	1.0	0.991390737493	6408088.0	6463736.0
strain	Sample23_288	0.00218310086826	1.0	4577892.0	9994.0
strain	evo_1035930.032	0	0	0	2294831.0
strain	1052947	0.998233438808	0.984332009522	4700658.0	4767044.0
strain	1053058	0.617389213477	0.583355847323	4903304.0	5189366.0
strain	1036539	0.994011568967	0.99776329663	4692381.0	4674737.0
strain	Sample22_89	0	0	0	31415.0
strain	evo_1286_AP.037	0.339815356063	0.504591357803	4577892.0	3082966.0
strain	1036554	0.979824039063	0.9966485511	2702077.0	2656463.0
strain	Sample6_49	0.00692436606193	1.0	4577892.0	31699.0
strain	1035900	1.0	0.911300407783	6633455.0	7279109.0
strain	Sample6_476	0	0	0	8307.0
strain	Sample18_57	0.00448197554682	1.0	4577892.0	20518.0
strain	1049056	0.822660397449	0.660724099933	2620210.0	3262395.0
strain	evo_1049056.013	0.99158759252	0.575463018544	2039963.0	3515086.0
strain	Sample18_8	0	0	0	49909.0
strain	Sample9_65	0.00484594854242	1.0	2542949.0	12323.0
strain	1030878	0.928367202205	0.996440945639	3529347.0	3288233.0
strain	1030836	0.992740583905	0.991594969232	4892129.0	4897781.0
strain	evo_1049056.015	0.721997285236	0.958467957494	4467424.0	3365233.0
strain	1036728	0.976589219651	0.774518440785	1596145.0	2012577.0
strain	Sample19_52	0	0	0	29728.0
strain	1048783	0.931047771701	0.976908454508	2542949.0	2423571.0
strain	1036707	0.976494839797	0.957801123655	3927946.0	4004609.0
strain	1036641	0.986019807971	0.983701203299	2624499.0	2630685.0
