"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"strain"	"1030728"	0.555004222536	0.57214695809	2655987	2576408	"admiring_curie_2"
"strain"	"1220_E"	1	0.998715367975	7272886	7282241	"admiring_curie_2"
"strain"	"1053022"	0.659883995301	0.98682214414	5509432	3684135	"admiring_curie_2"
"strain"	"1053025"	0.496707256726	0.99033604433	7501344	3762331	"admiring_curie_2"
"strain"	"Sample19_54"	0	0	0	29620	"admiring_curie_2"
"strain"	"1053028"	0.340116004699	0.497619515511	5509432	3765620	"admiring_curie_2"
"strain"	"Sample9_165"	0	0	0	6999	"admiring_curie_2"
"strain"	"1220_CF"	0.992467999404	0.975400845645	4540228	4619671	"admiring_curie_2"
"strain"	"Sample6_355"	0	0	0	12012	"admiring_curie_2"
"strain"	"Sample23_370"	0	0	0	8513	"admiring_curie_2"
"strain"	"1030905"	1	0.978549030924	3045180	3111934	"admiring_curie_2"
"strain"	"1285_BD"	0.99906246077	0.90348693432	3011074	3329601	"admiring_curie_2"
"strain"	"Sample22_16"	0	0	0	68543	"admiring_curie_2"
"strain"	"Sample22_11"	0	0	0	81125	"admiring_curie_2"
"strain"	"Sample24_63"	0	0	0	18984	"admiring_curie_2"
"strain"	"Sample23_378"	0	0	0	8398	"admiring_curie_2"
"strain"	"Sample22_561"	0	0	0	8754	"admiring_curie_2"
"strain"	"Sample6_203"	0	0	0	16656	"admiring_curie_2"
"strain"	"1220_X"	1	0.983044701906	3576063	3637742	"admiring_curie_2"
"strain"	"Sample18_60"	0	0	0	19703	"admiring_curie_2"
"strain"	"Sample24_68"	0	0	0	17496	"admiring_curie_2"
"strain"	"Sample18_62"	0	0	0	19313	"admiring_curie_2"
"strain"	"Sample6_199"	0	0	0	16772	"admiring_curie_2"
"strain"	"1139_AW"	0.683928837889	0.451555156313	3692583	5592814	"admiring_curie_2"
"strain"	"Sample22_112"	0	0	0	28135	"admiring_curie_2"
"strain"	"Sample15_108"	0	0	0	6261	"admiring_curie_2"
"strain"	"evo_1030728.011"	0.276280472111	0.60771372384	5520991	2509968	"admiring_curie_2"
"strain"	"Sample15_104"	0	0	0	6456	"admiring_curie_2"
"strain"	"Sample22_94"	0	0	0	30920	"admiring_curie_2"
"strain"	"Sample6_192"	0	0	0	17003	"admiring_curie_2"
"strain"	"Sample15_107"	0	0	0	6335	"admiring_curie_2"
"strain"	"Sample15_75"	0	0	0	7926	"admiring_curie_2"
"strain"	"evo_1035921.028"	0.974851049392	0.514747330875	1662296	3148129	"admiring_curie_2"
"strain"	"Sample23_25"	0	0	0	29191	"admiring_curie_2"
"strain"	"Sample15_103"	0	0	0	6462	"admiring_curie_2"
"strain"	"Sample16_245"	0	0	0	7550	"admiring_curie_2"
