instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.91	2534227839	2772292177
superkingdom	Archaea	1.00	0.96	22293561	23185149
superkingdom	unassigned	nan	nan	246555054	7599128
phylum	Proteobacteria	1.00	0.89	1355710386	1521045066
phylum	Actinobacteria	1.00	0.92	590031058	643423328
phylum	Bacteroidetes	0.98	0.98	295539395	295664382
phylum	Firmicutes	0.98	0.92	253235498	269460065
phylum	Euryarchaeota	1.00	0.96	22293561	23185149
phylum	Verrucomicrobia	1.00	0.99	16301231	16429445
phylum	Thermotogae	1.00	0.99	6010576	6090970
phylum	Spirochaetes	1.00	0.96	4821739	5025696
phylum	Fusobacteria	1.00	0.62	4103073	6660981
phylum	Fibrobacteres	1.00	0.98	3211698	3277440
phylum	Tenericutes	0.99	0.99	3096551	3100471
phylum	Nitrospirae	0.92	0.94	2166634	2114333
phylum	unassigned	nan	nan	246555054	7599128
class	Alphaproteobacteria	0.98	0.86	737159743	833861012
class	Actinobacteria	1.00	0.92	590031058	643423328
class	Gammaproteobacteria	0.96	0.89	264813301	283564862
class	Betaproteobacteria	0.95	0.77	207080579	253679672
class	Flavobacteriia	0.94	0.98	146508270	140981969
class	Deltaproteobacteria	1.00	0.98	144866181	148118577
class	Clostridia	0.98	0.96	141616352	144027995
class	Bacilli	0.96	0.85	104241225	116695892
class	Cytophagia	0.96	0.99	79720462	77861707
class	Sphingobacteriia	1.00	0.86	52163337	60469382
class	Halobacteria	1.00	0.96	22293561	23185149
class	Bacteroidia	0.91	0.95	17147326	16351324
class	Verrucomicrobiae	1.00	0.99	16301231	16429445
class	Negativicutes	0.96	0.81	7377921	8736178
class	Thermotogae	1.00	0.99	6010576	6090970
class	Spirochaetia	1.00	0.96	4821739	5025696
class	Fusobacteriia	1.00	0.62	4103073	6660981
class	Fibrobacteria	1.00	0.98	3211698	3277440
class	Mollicutes	0.99	0.99	3096551	3100471
class	Nitrospira	0.92	0.94	2166634	2114333
class	Epsilonproteobacteria	1.00	0.98	1790582	1820943
class	unassigned	nan	nan	246555054	7599128
order	Actinomycetales	1.00	0.92	587371222	640542435
order	Rhizobiales	0.95	0.85	460792934	516395188
order	Burkholderiales	0.94	0.81	204152883	237839503
order	Sphingomonadales	0.94	0.80	150174707	175138273
order	Flavobacteriales	0.94	0.98	146508270	140981969
order	Clostridiales	0.98	0.96	133816792	136029716
order	Pseudomonadales	0.87	0.92	119701428	113391256
order	Bacillales	0.91	0.84	96990134	105323788
order	Cytophagales	0.96	0.99	79720462	77861707
order	Desulfobacterales	1.00	0.97	70367946	71999076
order	Xanthomonadales	0.98	0.73	67491087	90382558
order	Rhodobacterales	0.99	0.97	64808841	65931920
order	Sphingobacteriales	1.00	0.86	52163337	60469382
order	Desulfovibrionales	1.00	0.98	51939974	53019523
order	Caulobacterales	1.00	0.82	44681649	54360257
order	Enterobacteriales	1.00	0.97	40340871	41775600
order	Halobacteriales	1.00	0.96	22293561	23185149
order	Bacteroidales	0.91	0.95	17147326	16351324
order	Rhodospirillales	0.90	0.68	16701612	22035374
order	Verrucomicrobiales	1.00	0.99	16301231	16429445
order	Syntrophobacterales	1.00	0.97	15124922	15571397
order	Vibrionales	1.00	0.97	14557361	14976603
order	Oceanospirillales	0.99	0.99	12381880	12493329
order	Desulfuromonadales	1.00	0.98	7433339	7528581
order	Selenomonadales	0.96	0.81	7377921	8736178
order	Lactobacillales	1.00	0.64	7251091	11372104
order	Aeromonadales	1.00	0.97	6258886	6399900
order	Thermotogales	1.00	0.99	6010576	6090970
order	Thermoanaerobacterales	0.97	0.93	4959513	5160684
order	Spirochaetales	1.00	0.96	4821739	5025696
order	Fusobacteriales	1.00	0.62	4103073	6660981
order	Thiotrichales	1.00	0.98	4081788	4145616
order	Fibrobacterales	1.00	0.98	3211698	3277440
order	Mycoplasmatales	0.99	0.99	3096551	3100471
order	Neisseriales	1.00	0.44	2927696	6687401
order	Halanaerobiales	1.00	1.00	2840047	2837595
order	Coriobacteriales	1.00	0.92	2659836	2880893
order	Nitrospirales	0.92	0.94	2166634	2114333
order	Campylobacterales	1.00	0.98	1790582	1820943
order	unassigned	nan	nan	246555054	7599128
family	Rhizobiaceae	0.72	0.73	236849063	233314299
family	Microbacteriaceae	0.82	0.89	210391508	194907090
family	Methylobacteriaceae	0.94	0.88	151118223	162653027
family	Sphingomonadaceae	0.93	0.82	147239984	168469319
family	Flavobacteriaceae	0.94	0.98	146508270	140981969
family	Comamonadaceae	0.92	0.77	141823191	170149075
family	Pseudomonadaceae	0.87	0.92	115676675	109345834
family	Nocardioidaceae	0.77	0.68	86231282	97503781
family	Pseudonocardiaceae	0.88	0.86	83822317	86183502
family	Streptomycetaceae	0.69	0.70	67560196	66646645
family	Xanthomonadaceae	0.98	0.73	67491087	90382558
family	Rhodobacteraceae	0.99	0.97	64808841	65931920
family	Clostridiaceae	0.84	0.99	59331555	50365611
family	Nocardiaceae	0.88	0.93	55099385	52214963
family	Desulfobacteraceae	1.00	0.98	54788664	55956594
family	Paenibacillaceae	1.00	0.86	53435019	61773578
family	Cytophagaceae	0.94	0.98	50840954	48663420
family	Desulfovibrionaceae	1.00	0.98	49493402	50536393
family	Caulobacteraceae	1.00	0.82	44681649	54360257
family	Bacillaceae	0.80	0.80	41099286	41037029
family	Micrococcaceae	1.00	0.93	40394104	43419111
family	Enterobacteriaceae	1.00	0.97	40340871	41775600
family	Oxalobacteraceae	1.00	0.88	37609749	42788199
family	Hyphomicrobiaceae	0.93	0.90	35570896	36626430
family	Chitinophagaceae	0.98	0.98	29267656	29273820
family	Peptococcaceae	0.99	0.98	24332801	24562063
family	Cyclobacteriaceae	1.00	0.99	24196242	24460231
family	Bradyrhizobiaceae	0.91	0.73	23883644	29876564
family	Sphingobacteriaceae	0.99	0.73	22895681	31195562
family	Halobacteriaceae	1.00	0.96	22293561	23185149
family	Lachnospiraceae	1.00	0.97	21606542	22287488
family	Alcaligenaceae	0.99	0.99	18013846	18103721
family	Acetobacteraceae	0.90	0.68	16701612	22035374
family	Verrucomicrobiaceae	1.00	0.99	16301231	16429445
