instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	0.99	0.97	541262346	553468052
superkingdom	Archaea	1.00	0.76	4888956	6411802
superkingdom	Viruses	0.26	0.05	138756	736775
superkingdom	unassigned	nan	nan	15739788	1413217
phylum	Proteobacteria	1.00	0.96	235565575	243932505
phylum	Actinobacteria	1.00	0.99	145329547	145948197
phylum	Firmicutes	0.97	0.92	110398717	116336594
phylum	Bacteroidetes	0.87	0.95	49968507	45650742
phylum	Euryarchaeota	1.00	0.76	4888956	6411802
phylum	unassigned	nan	nan	15878544	2149992
class	Actinobacteria	1.00	0.99	145329547	145948197
class	Alphaproteobacteria	0.99	0.94	120636609	127454801
class	Clostridia	0.96	0.95	78426084	79844812
class	Betaproteobacteria	1.00	0.98	77525431	78627440
class	Gammaproteobacteria	0.96	0.99	28414366	27773710
class	Bacilli	0.98	0.83	27653279	32340827
class	Sphingobacteriia	0.95	0.97	19386743	19013960
class	Cytophagia	0.76	0.93	17637304	14411538
class	Flavobacteriia	0.85	0.98	10845288	9442158
class	Deltaproteobacteria	0.99	0.88	8989169	10076554
class	Halobacteria	1.00	1.00	4888956	4877686
class	Negativicutes	0.95	0.99	4319354	4150955
class	Bacteroidia	0.96	0.72	2099172	2783086
class	unassigned	nan	nan	15878544	2149992
order	Actinomycetales	1.00	0.99	142897352	143462610
order	Clostridiales	0.96	0.96	69333594	69444702
order	Burkholderiales	1.00	0.99	65772809	66564525
order	Rhizobiales	0.94	0.85	48494464	54087866
order	Bacillales	0.98	0.82	25053573	29943979
order	Rhodobacterales	0.94	0.95	24794127	24573518
order	Rhodospirillales	0.99	0.99	22149707	22154048
order	Sphingomonadales	1.00	0.94	21885619	23337519
order	Sphingobacteriales	0.95	0.97	19386743	19013960
order	Cytophagales	0.76	0.93	17637304	14411538
order	Flavobacteriales	0.85	0.98	10845288	9442158
order	Methylophilales	0.97	1.00	9137426	8904107
order	Thermoanaerobacterales	0.98	0.86	9092490	10400110
order	Desulfovibrionales	0.99	0.88	8989169	10076554
order	Vibrionales	0.98	0.99	8418632	8287247
order	Alteromonadales	0.87	1.00	5741503	4980999
order	Pseudomonadales	0.98	0.95	5315269	5477884
order	Enterobacteriales	1.00	0.95	5137123	5419845
order	Halobacteriales	1.00	1.00	4888956	4877686
order	Selenomonadales	0.95	0.99	4319354	4150955
order	Legionellales	0.94	1.00	3801839	3607735
order	Caulobacterales	0.99	0.99	3312692	3301850
order	Nitrosomonadales	0.99	0.95	2615196	2734309
order	Lactobacillales	0.91	0.99	2599706	2396848
order	Acidimicrobiales	0.99	0.97	2432195	2485587
order	Bacteroidales	0.96	0.72	2099172	2783086
order	unassigned	nan	nan	15878544	2149992
family	Comamonadaceae	1.00	0.99	37218952	37691258
family	Pseudonocardiaceae	0.97	0.92	31223584	32681267
family	Cellulomonadaceae	0.93	0.90	30105894	31237913
