instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	1.00	2769154632	2772292177
superkingdom	Archaea	0.99	1.00	23301875	23185149
superkingdom	unassigned	nan	nan	10619947	7599128
phylum	Proteobacteria	0.98	0.99	1533928179	1521045066
phylum	Actinobacteria	1.00	0.99	639444651	643423328
phylum	Firmicutes	0.79	0.94	321107638	269460065
phylum	Bacteroidetes	0.91	0.73	239061582	295664382
phylum	Euryarchaeota	0.99	1.00	23301875	23185149
phylum	Verrucomicrobia	0.98	0.99	16691468	16429445
phylum	Fusobacteria	0.98	0.84	5732875	6660981
phylum	Spirochaetes	0.97	0.95	4883592	5025696
phylum	Tenericutes	0.94	0.98	3211764	3100471
phylum	Fibrobacteres	0.97	0.92	3107190	3277440
phylum	Nitrospirae	1.00	0.94	1985693	2114333
phylum	unassigned	nan	nan	10619947	7599128
class	Alphaproteobacteria	0.99	0.99	832192185	833861012
class	Actinobacteria	1.00	0.99	639444651	643423328
class	Gammaproteobacteria	0.78	0.84	302123784	283564862
class	Betaproteobacteria	0.87	0.87	255354183	253679672
class	Bacilli	0.59	0.85	168228063	116695892
class	Flavobacteriia	0.85	0.88	146478408	140981969
class	Clostridia	0.88	0.87	143253819	144027995
class	Deltaproteobacteria	0.97	0.93	142355702	148118577
class	Cytophagia	0.98	0.66	52046346	77861707
class	Sphingobacteriia	1.00	0.63	38464609	60469382
class	Halobacteria	0.99	1.00	23301875	23185149
class	Verrucomicrobiae	0.98	0.99	16691468	16429445
class	Negativicutes	0.57	0.63	9625756	8736178
class	Fusobacteriia	0.98	0.84	5732875	6660981
class	Spirochaetia	0.97	0.95	4883592	5025696
class	Mollicutes	0.94	0.98	3211764	3100471
class	Fibrobacteria	0.97	0.92	3107190	3277440
class	Bacteroidia	0.98	0.12	2072219	16351324
class	Nitrospira	1.00	0.94	1985693	2114333
class	Epsilonproteobacteria	0.94	0.98	1902325	1820943
class	unassigned	nan	nan	10619947	7599128
order	Actinomycetales	1.00	1.00	639444651	640542435
order	Rhizobiales	0.92	0.96	536488443	516395188
order	Burkholderiales	0.86	0.93	255354183	237839503
order	Sphingomonadales	0.91	0.94	182125077	175138273
order	Bacillales	0.59	0.91	163398902	105323788
order	Flavobacteriales	0.85	0.88	146478408	140981969
order	Clostridiales	0.87	0.84	131408084	136029716
order	Pseudomonadales	0.78	0.90	130364509	113391256
order	Xanthomonadales	0.75	0.60	72826798	90382558
order	Desulfobacterales	0.98	0.95	69330825	71999076
order	Enterobacteriales	0.61	0.95	65023827	41775600
order	Cytophagales	0.98	0.66	52046346	77861707
order	Rhodobacterales	0.91	0.71	51499228	65931920
order	Desulfovibrionales	0.97	0.87	47419679	53019523
order	Caulobacterales	0.98	0.83	45906595	54360257
order	Sphingobacteriales	1.00	0.63	38464609	60469382
order	Halobacteriales	0.99	1.00	23301875	23185149
order	Vibrionales	0.51	0.66	19319674	14976603
order	Verrucomicrobiales	0.98	0.99	16691468	16429445
order	Rhodospirillales	0.80	0.59	16172842	22035374
order	Syntrophobacterales	1.00	0.97	15087432	15571397
order	Thermoanaerobacterales	0.21	0.48	11845735	5160684
order	Desulfuromonadales	0.68	0.95	10517766	7528581
order	Selenomonadales	0.57	0.63	9625756	8736178
order	Aeromonadales	0.49	0.58	7482132	6399900
order	Thiotrichales	0.57	0.97	7106844	4145616
order	Fusobacteriales	0.98	0.84	5732875	6660981
order	Spirochaetales	0.97	0.95	4883592	5025696
order	Lactobacillales	0.57	0.24	4829161	11372104
order	Mycoplasmatales	0.94	0.98	3211764	3100471
order	Fibrobacterales	0.97	0.92	3107190	3277440
order	Bacteroidales	0.98	0.12	2072219	16351324
order	Nitrospirales	1.00	0.94	1985693	2114333
order	Campylobacterales	0.94	0.98	1902325	1820943
order	unassigned	nan	nan	10619947	7599128
family	Rhizobiaceae	0.74	0.97	303507466	233314299
family	Microbacteriaceae	0.82	0.87	207250200	194907090
family	Comamonadaceae	0.86	0.95	187328226	170149075
family	Sphingomonadaceae	0.89	0.96	182125077	168469319
family	Methylobacteriaceae	0.94	0.98	169984176	162653027
family	Nocardioidaceae	0.50	0.76	147730663	97503781
family	Flavobacteriaceae	0.85	0.88	146478408	140981969
family	Pseudomonadaceae	0.78	0.93	130364509	109345834
family	Bacillaceae	0.34	0.84	102740103	41037029
family	Pseudonocardiaceae	0.94	0.92	83706537	86183502
family	Streptomycetaceae	0.79	0.98	82786736	66646645
family	Xanthomonadaceae	0.75	0.60	72826798	90382558
family	Clostridiaceae	0.74	0.96	65172019	50365611
family	Enterobacteriaceae	0.61	0.95	65023827	41775600
family	Paenibacillaceae	0.99	0.97	60658799	61773578
family	Nocardiaceae	0.79	0.82	54631378	52214963
family	Rhodobacteraceae	0.91	0.71	51499228	65931920
family	Desulfobacteraceae	1.00	0.91	51112528	55956594
family	Desulfovibrionaceae	0.92	0.86	47419679	50536393
family	Caulobacteraceae	0.98	0.83	45906595	54360257
family	Micrococcaceae	0.99	0.90	39665042	43419111
family	Alcaligenaceae	0.57	0.99	31454494	18103721
family	Oxalobacteraceae	1.00	0.70	30198618	42788199
family	Hyphomicrobiaceae	0.39	0.32	29339386	36626430
family	Chitinophagaceae	1.00	0.98	28634278	29273820
family	Cytophagaceae	0.98	0.57	28279832	48663420
family	Lachnospiraceae	0.77	0.86	24683253	22287488
family	Cyclobacteriaceae	0.98	0.95	23766514	24460231
family	Halobacteriaceae	0.99	1.00	23301875	23185149
