"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"superkingdom"	"Bacteria"	1	0.91	2517564293	2772292177	"admiring_curie_0"
"superkingdom"	"Archaea"	1	0.91	21061339	23185149	"admiring_curie_0"
"superkingdom"	"unassigned"	NA	NA	264450822	7599128	"admiring_curie_0"
"phylum"	"Proteobacteria"	1	0.88	1336858065	1521045066	"admiring_curie_0"
"phylum"	"Actinobacteria"	0.99	0.91	591728457	643423328	"admiring_curie_0"
"phylum"	"Bacteroidetes"	1	0.97	287394973	295664382	"admiring_curie_0"
"phylum"	"Firmicutes"	0.97	0.93	257274655	269460065	"admiring_curie_0"
"phylum"	"Euryarchaeota"	1	0.91	21061339	23185149	"admiring_curie_0"
"phylum"	"Verrucomicrobia"	1	0.99	16307078	16429445	"admiring_curie_0"
"phylum"	"Thermotogae"	0.89	0.99	6737671	6090970	"admiring_curie_0"
"phylum"	"Fusobacteria"	1	0.98	6522345	6660981	"admiring_curie_0"
"phylum"	"Spirochaetes"	0.98	0.98	5010960	5025696	"admiring_curie_0"
"phylum"	"Nitrospirae"	0.54	0.98	3881965	2114333	"admiring_curie_0"
"phylum"	"Fibrobacteres"	1	0.98	3220400	3277440	"admiring_curie_0"
"phylum"	"Tenericutes"	0.96	0.82	2627724	3100471	"admiring_curie_0"
"phylum"	"unassigned"	NA	NA	264450822	7599128	"admiring_curie_0"
"class"	"Alphaproteobacteria"	0.99	0.86	719094697	833861012	"admiring_curie_0"
"class"	"Actinobacteria"	0.99	0.91	591728457	643423328	"admiring_curie_0"
"class"	"Gammaproteobacteria"	0.93	0.93	285651760	283564862	"admiring_curie_0"
"class"	"Betaproteobacteria"	0.99	0.74	189220086	253679672	"admiring_curie_0"
"class"	"Deltaproteobacteria"	1	0.95	141090394	148118577	"admiring_curie_0"
"class"	"Clostridia"	1	0.97	139772788	144027995	"admiring_curie_0"
"class"	"Flavobacteriia"	0.99	0.94	134440415	140981969	"admiring_curie_0"
"class"	"Bacilli"	0.94	0.87	108780528	116695892	"admiring_curie_0"
"class"	"Cytophagia"	1	0.96	74665230	77861707	"admiring_curie_0"
"class"	"Sphingobacteriia"	0.94	0.97	62549298	60469382	"admiring_curie_0"
"class"	"Halobacteria"	1	0.91	21061339	23185149	"admiring_curie_0"
"class"	"Verrucomicrobiae"	1	0.99	16307078	16429445	"admiring_curie_0"
"class"	"Bacteroidia"	1	0.96	15740030	16351324	"admiring_curie_0"
"class"	"Negativicutes"	0.99	0.99	8721339	8736178	"admiring_curie_0"
"class"	"Thermotogae"	0.89	0.99	6737671	6090970	"admiring_curie_0"
"class"	"Fusobacteriia"	1	0.98	6522345	6660981	"admiring_curie_0"
"class"	"Spirochaetia"	0.98	0.98	5010960	5025696	"admiring_curie_0"
"class"	"Nitrospira"	0.54	0.98	3881965	2114333	"admiring_curie_0"
"class"	"Fibrobacteria"	1	0.98	3220400	3277440	"admiring_curie_0"
"class"	"Mollicutes"	0.96	0.82	2627724	3100471	"admiring_curie_0"
"class"	"Epsilonproteobacteria"	1	0.99	1801128	1820943	"admiring_curie_0"
"class"	"unassigned"	NA	NA	264450822	7599128	"admiring_curie_0"
"order"	"Actinomycetales"	0.99	0.91	589098584	640542435	"admiring_curie_0"
"order"	"Rhizobiales"	0.96	0.83	443564280	516395188	"admiring_curie_0"
"order"	"Burkholderiales"	0.99	0.75	180816821	237839503	"admiring_curie_0"
"order"	"Sphingomonadales"	0.94	0.79	147133610	175138273	"admiring_curie_0"
"order"	"Pseudomonadales"	0.79	0.94	134762176	113391256	"admiring_curie_0"
"order"	"Clostridiales"	0.99	0.98	134666166	136029716	"admiring_curie_0"
"order"	"Flavobacteriales"	0.99	0.94	134440415	140981969	"admiring_curie_0"
"order"	"Bacillales"	0.91	0.86	99555663	105323788	"admiring_curie_0"
"order"	"Cytophagales"	1	0.96	74665230	77861707	"admiring_curie_0"
"order"	"Xanthomonadales"	0.97	0.79	73368420	90382558	"admiring_curie_0"
"order"	"Desulfobacterales"	1	0.92	66500428	71999076	"admiring_curie_0"
"order"	"Rhodobacterales"	0.96	0.95	65589385	65931920	"admiring_curie_0"
"order"	"Sphingobacteriales"	0.94	0.97	62549298	60469382	"admiring_curie_0"
"order"	"Desulfovibrionales"	1	0.98	52051464	53019523	"admiring_curie_0"
"order"	"Caulobacterales"	0.96	0.82	46447653	54360257	"admiring_curie_0"
"order"	"Enterobacteriales"	1	0.94	39429354	41775600	"admiring_curie_0"
"order"	"Halobacteriales"	1	0.91	21061339	23185149	"admiring_curie_0"
"order"	"Rhodospirillales"	0.9	0.67	16359769	22035374	"admiring_curie_0"
"order"	"Verrucomicrobiales"	1	0.99	16307078	16429445	"admiring_curie_0"
"order"	"Bacteroidales"	1	0.96	15740030	16351324	"admiring_curie_0"
"order"	"Syntrophobacterales"	1	0.97	15136358	15571397	"admiring_curie_0"
"order"	"Vibrionales"	0.98	0.96	14757642	14976603	"admiring_curie_0"
"order"	"Oceanospirillales"	0.94	0.98	13037770	12493329	"admiring_curie_0"
"order"	"Lactobacillales"	0.98	0.8	9224865	11372104	"admiring_curie_0"
"order"	"Selenomonadales"	0.99	0.99	8721339	8736178	"admiring_curie_0"
"order"	"Desulfuromonadales"	1	0.98	7402144	7528581	"admiring_curie_0"
"order"	"Thermotogales"	0.89	0.99	6737671	6090970	"admiring_curie_0"
"order"	"Fusobacteriales"	1	0.98	6522345	6660981	"admiring_curie_0"
"order"	"Aeromonadales"	1	0.97	6214610	6399900	"admiring_curie_0"
"order"	"Spirochaetales"	0.98	0.98	5010960	5025696	"admiring_curie_0"
"order"	"Rhodocyclales"	0.78	0.39	4589759	9152768	"admiring_curie_0"
"order"	"Thiotrichales"	1	0.98	4081788	4145616	"admiring_curie_0"
"order"	"Nitrospirales"	0.54	0.98	3881965	2114333	"admiring_curie_0"
"order"	"Neisseriales"	0.93	0.53	3813506	6687401	"admiring_curie_0"
"order"	"Fibrobacterales"	1	0.98	3220400	3277440	"admiring_curie_0"
"order"	"Halanaerobiales"	1	0.93	2634589	2837595	"admiring_curie_0"
"order"	"Coriobacteriales"	1	0.91	2629873	2880893	"admiring_curie_0"
"order"	"Mycoplasmatales"	0.96	0.82	2627724	3100471	"admiring_curie_0"
"order"	"Thermoanaerobacterales"	1	0.48	2472033	5160684	"admiring_curie_0"
"order"	"Campylobacterales"	1	0.99	1801128	1820943	"admiring_curie_0"
"order"	"unassigned"	NA	NA	264450822	7599128	"admiring_curie_0"
"family"	"Microbacteriaceae"	0.85	0.91	208071638	194907090	"admiring_curie_0"
"family"	"Rhizobiaceae"	0.78	0.68	204863070	233314299	"admiring_curie_0"
"family"	"Methylobacteriaceae"	0.93	0.89	156853020	162653027	"admiring_curie_0"
"family"	"Sphingomonadaceae"	0.94	0.79	141703544	168469319	"admiring_curie_0"
"family"	"Flavobacteriaceae"	0.99	0.94	134440415	140981969	"admiring_curie_0"
"family"	"Pseudomonadaceae"	0.78	0.94	130742533	109345834	"admiring_curie_0"
"family"	"Comamonadaceae"	1	0.7	120305523	170149075	"admiring_curie_0"
"family"	"Nocardioidaceae"	0.75	0.67	87682109	97503781	"admiring_curie_0"
"family"	"Streptomycetaceae"	0.56	0.7	83155230	66646645	"admiring_curie_0"
"family"	"Xanthomonadaceae"	0.97	0.79	73368420	90382558	"admiring_curie_0"
"family"	"Rhodobacteraceae"	0.96	0.95	65589385	65931920	"admiring_curie_0"
"family"	"Pseudonocardiaceae"	0.98	0.7	61908299	86183502	"admiring_curie_0"
"family"	"Clostridiaceae"	0.86	0.98	57284691	50365611	"admiring_curie_0"
"family"	"Nocardiaceae"	0.9	0.93	54000121	52214963	"admiring_curie_0"
"family"	"Paenibacillaceae"	1	0.86	53242647	61773578	"admiring_curie_0"
"family"	"Desulfobacteraceae"	1	0.91	50873624	55956594	"admiring_curie_0"
"family"	"Desulfovibrionaceae"	1	0.98	49604892	50536393	"admiring_curie_0"
"family"	"Cytophagaceae"	1	0.98	47495040	48663420	"admiring_curie_0"
"family"	"Caulobacteraceae"	0.96	0.82	46447653	54360257	"admiring_curie_0"
"family"	"Micrococcaceae"	0.95	0.98	44960826	43419111	"admiring_curie_0"
"family"	"Bacillaceae"	0.79	0.85	43857187	41037029	"admiring_curie_0"
"family"	"Enterobacteriaceae"	1	0.94	39429354	41775600	"admiring_curie_0"
"family"	"Oxalobacteraceae"	0.97	0.81	36076775	42788199	"admiring_curie_0"
"family"	"Bradyrhizobiaceae"	0.61	0.74	35994070	29876564	"admiring_curie_0"
"family"	"Sphingobacteriaceae"	0.88	0.96	33843466	31195562	"admiring_curie_0"
"family"	"Hyphomicrobiaceae"	0.98	0.81	30039776	36626430	"admiring_curie_0"
"family"	"Chitinophagaceae"	1	0.98	28705832	29273820	"admiring_curie_0"
"family"	"Cyclobacteriaceae"	1	0.99	24177569	24460231	"admiring_curie_0"
"family"	"Peptococcaceae"	0.99	0.97	24054381	24562063	"admiring_curie_0"
"family"	"Lachnospiraceae"	1	0.98	21872419	22287488	"admiring_curie_0"
"family"	"Halobacteriaceae"	1	0.91	21061339	23185149	"admiring_curie_0"
"family"	"Alcaligenaceae"	1	0.98	17698780	18103721	"admiring_curie_0"
"family"	"Acetobacteraceae"	0.9	0.67	16359769	22035374	"admiring_curie_0"
"family"	"Verrucomicrobiaceae"	1	0.99	16307078	16429445	"admiring_curie_0"
"family"	"Desulfobulbaceae"	0.99	0.97	15626804	16042482	"admiring_curie_0"
"family"	"Syntrophobacteraceae"	1	0.97	15136358	15571397	"admiring_curie_0"
"family"	"Vibrionaceae"	0.98	0.96	14757642	14976603	"admiring_curie_0"
"family"	"Williamsiaceae"	0.95	0.99	14559710	13974782	"admiring_curie_0"
"family"	"Phyllobacteriaceae"	0.68	0.22	12123683	36566390	"admiring_curie_0"
"family"	"Clostridiales Family XI. Incertae Sedis"	0.88	0.73	10818313	12971081	"admiring_curie_0"
"family"	"Ruminococcaceae"	1	0.94	9714695	10323195	"admiring_curie_0"
"family"	"Oceanospirillaceae"	0.92	0.98	9125104	8540907	"admiring_curie_0"
"family"	"Veillonellaceae"	0.99	0.99	8721339	8736178	"admiring_curie_0"
"family"	"Porphyromonadaceae"	0.99	0.98	8151358	8298689	"admiring_curie_0"
"family"	"Geodermatophilaceae"	0.58	0.52	8149132	9129044	"admiring_curie_0"
