"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"superkingdom"	"Bacteria"	1	0.9	138997222	154946832	"admiring_curie_3"
"superkingdom"	"unassigned"	NA	NA	16455104	324124	"admiring_curie_3"
"phylum"	"Proteobacteria"	1	0.87	56944507	65522942	"admiring_curie_3"
"phylum"	"Firmicutes"	0.99	0.93	30099586	32153772	"admiring_curie_3"
"phylum"	"Bacteroidetes"	1	0.85	27750513	32778490	"admiring_curie_3"
"phylum"	"Tenericutes"	0.99	0.97	8951448	9165261	"admiring_curie_3"
"phylum"	"Actinobacteria"	1	1	8030674	8047258	"admiring_curie_3"
"phylum"	"Chloroflexi"	1	0.99	7220494	7279109	"admiring_curie_3"
"phylum"	"unassigned"	NA	NA	16455104	505494	"admiring_curie_3"
"class"	"Sphingobacteriia"	1	0.9	26325385	29144897	"admiring_curie_3"
"class"	"Betaproteobacteria"	1	0.89	19726561	22078814	"admiring_curie_3"
"class"	"Alphaproteobacteria"	1	0.86	19279092	22376676	"admiring_curie_3"
"class"	"Bacilli"	1	1	15688761	15750864	"admiring_curie_3"
"class"	"Clostridia"	0.97	0.85	12024807	13746445	"admiring_curie_3"
"class"	"Gammaproteobacteria"	1	0.81	11769859	14603716	"admiring_curie_3"
"class"	"Mollicutes"	0.99	0.97	8951448	9165261	"admiring_curie_3"
"class"	"Actinobacteria"	1	1	8030674	8047258	"admiring_curie_3"
"class"	"Ktedonobacteria"	1	0.99	7220494	7279109	"admiring_curie_3"
"class"	"Deltaproteobacteria"	1	0.95	6168995	6463736	"admiring_curie_3"
"class"	"Negativicutes"	1	0.9	2386018	2656463	"admiring_curie_3"
"class"	"Flavobacteriia"	0.98	0.39	1425128	3633593	"admiring_curie_3"
"class"	"unassigned"	NA	NA	16455104	505494	"admiring_curie_3"
"order"	"Sphingobacteriales"	1	0.9	26325385	29144897	"admiring_curie_3"
"order"	"Rhodobacterales"	1	0.86	19279092	22376676	"admiring_curie_3"
"order"	"Bacillales"	1	1	15688761	15750864	"admiring_curie_3"
"order"	"Burkholderiales"	1	0.87	15146015	17463877	"admiring_curie_3"
"order"	"Clostridiales"	0.97	0.85	12024807	13746445	"admiring_curie_3"
"order"	"Anaeroplasmatales"	0.99	0.97	8951448	9165261	"admiring_curie_3"
"order"	"Actinomycetales"	1	1	8030674	8047258	"admiring_curie_3"
"order"	"Ktedonobacterales"	1	0.99	7220494	7279109	"admiring_curie_3"
"order"	"Pseudomonadales"	1	0.99	6224913	6277722	"admiring_curie_3"
"order"	"Desulfobacterales"	1	0.95	6168995	6463736	"admiring_curie_3"
"order"	"Xanthomonadales"	1	0.67	5544946	8325994	"admiring_curie_3"
"order"	"Neisseriales"	1	0.99	4580546	4614937	"admiring_curie_3"
"order"	"Selenomonadales"	1	0.9	2386018	2656463	"admiring_curie_3"
"order"	"Flavobacteriales"	0.98	0.39	1425128	3633593	"admiring_curie_3"
"order"	"unassigned"	NA	NA	16455104	505494	"admiring_curie_3"
"family"	"Chitinophagaceae"	1	0.9	26325385	29144897	"admiring_curie_3"
"family"	"Rhodobacteraceae"	1	0.86	19279092	22376676	"admiring_curie_3"
"family"	"Oxalobacteraceae"	1	0.84	12008678	14294209	"admiring_curie_3"
"family"	"Clostridiaceae"	0.77	0.81	9510236	9103183	"admiring_curie_3"
"family"	"Anaeroplasmataceae"	0.99	0.97	8951448	9165261	"admiring_curie_3"
"family"	"Thermosporotrichaceae"	1	0.99	7220494	7279109	"admiring_curie_3"
"family"	"Pseudomonadaceae"	1	0.99	6224913	6277722	"admiring_curie_3"
"family"	"Desulfobacteraceae"	1	0.95	6168995	6463736	"admiring_curie_3"
"family"	"Xanthomonadaceae"	1	0.67	5544946	8325994	"admiring_curie_3"
"family"	"Chromobacteriaceae"	1	0.99	4580546	4614937	"admiring_curie_3"
"family"	"Intrasporangiaceae"	1	1	3464141	3480725	"admiring_curie_3"
"family"	"Comamonadaceae"	1	0.99	3137337	3169668	"admiring_curie_3"
"family"	"Peptostreptococcaceae"	1	0.96	2514571	2630685	"admiring_curie_3"
"family"	"Veillonellaceae"	1	0.9	2386018	2656463	"admiring_curie_3"
"family"	"Flavobacteriaceae"	0.98	0.39	1425128	3633593	"admiring_curie_3"
"family"	"unassigned"	NA	NA	36710398	20822891	"admiring_curie_3"
"genus"	"Hydrotalea"	1	0.86	16852216	19572379	"admiring_curie_3"
"genus"	"Paracoccus"	1	0.8	12133649	15144554	"admiring_curie_3"
