rank	precision	recall	accuracy	misclassification rate	percent assigned bases	tool
superkingdom	99.72	99.31	98.71	0.45	100.0	drunk_carson_2
phylum	85.19	78.80	97.60	1.14	98.9790287599	drunk_carson_2
class	80.17	84.15	96.12	2.01	98.5542039136	drunk_carson_2
order	82.74	83.52	94.55	3.27	97.951092812	drunk_carson_2
family	81.94	75.80	88.85	8.36	97.6453423621	drunk_carson_2
genus	38.95	50.32	68.93	26.96	97.0162503285	drunk_carson_2
species	1.30	5.68	12.98	75.93	95.5154641465	drunk_carson_2
superkingdom	99.71	1.91	1.77	0.00	100.0	fervent_sammet_1
phylum	99.65	2.17	1.76	0.00	99.9924084505	fervent_sammet_1
class	99.59	1.89	1.67	0.00	99.5238175251	fervent_sammet_1
order	99.31	1.53	1.59	0.00	94.3436941317	fervent_sammet_1
family	97.46	1.15	1.36	0.01	89.8077163565	fervent_sammet_1
genus	87.78	0.55	0.70	0.07	77.1093442096	fervent_sammet_1
species	16.67	0.03	0.05	0.03	41.5634550753	fervent_sammet_1
superkingdom	99.90	28.38	49.05	0.03	100.0	modest_babbage_0
phylum	98.27	27.10	42.26	0.91	100.0	modest_babbage_0
class	99.34	30.36	41.27	0.91	87.9141349024	modest_babbage_0
order	99.60	29.46	40.32	0.92	85.9118746236	modest_babbage_0
family	96.33	26.94	34.62	0.94	83.984633018	modest_babbage_0
genus	68.40	15.50	20.63	5.11	72.4384574694	modest_babbage_0
species	13.27	1.91	2.98	12.48	51.0929340504	modest_babbage_0
superkingdom	99.55	86.56	80.89	0.08	100.0	lonely_davinci_3
phylum	97.50	39.34	50.08	0.67	80.6171292079	lonely_davinci_3
class	83.33	40.23	47.03	1.59	50.4477706123	lonely_davinci_3
order	79.11	38.79	45.01	2.03	48.3302466302	lonely_davinci_3
family	57.65	33.29	37.95	4.03	46.7542145836	lonely_davinci_3
genus	16.24	19.10	26.07	7.56	41.7174958699	lonely_davinci_3
species	0.67	2.43	4.08	14.21	32.4460383863	lonely_davinci_3
superkingdom	99.54	86.72	81.26	0.08	100.0	lonely_davinci_2
phylum	97.39	39.60	50.13	0.68	80.9452847421	lonely_davinci_2
class	89.06	40.76	47.31	1.50	50.4894448937	lonely_davinci_2
order	81.12	38.90	45.36	1.90	48.5054511967	lonely_davinci_2
family	57.59	33.44	38.49	3.67	46.9509385042	lonely_davinci_2
genus	16.19	19.04	26.41	7.35	41.8769934432	lonely_davinci_2
species	0.66	2.42	4.76	13.98	32.4994246628	lonely_davinci_2
superkingdom	100.00	100.00	100.00	0.00	100.0	adoring_lalande_=_Gold_Standard_0
phylum	100.00	100.00	100.00	0.00	99.7289003668	adoring_lalande_=_Gold_Standard_0
class	100.00	100.00	100.00	0.00	99.7289003668	adoring_lalande_=_Gold_Standard_0
order	100.00	100.00	100.00	0.00	99.7289003668	adoring_lalande_=_Gold_Standard_0
family	100.00	100.00	100.00	0.00	99.7289003668	adoring_lalande_=_Gold_Standard_0
genus	100.00	100.00	100.00	0.00	99.7289003668	adoring_lalande_=_Gold_Standard_0
species	100.00	100.00	100.00	0.00	95.3624707596	adoring_lalande_=_Gold_Standard_0
superkingdom	99.58	86.62	81.19	0.08	100.0	lonely_davinci_4
phylum	97.81	39.47	50.37	0.62	80.9263120017	lonely_davinci_4
