"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"superkingdom"	"Bacteria"	1	1	193123679	193123679	"Gold Standard"
"phylum"	"Proteobacteria"	1	1	79639716	79639716	"Gold Standard"
"phylum"	"Actinobacteria"	1	1	79486171	79486171	"Gold Standard"
"phylum"	"Bacteroidetes"	1	1	17369146	17369146	"Gold Standard"
"phylum"	"Firmicutes"	1	1	16628646	16628646	"Gold Standard"
"class"	"Actinobacteria"	1	1	79486171	79486171	"Gold Standard"
"class"	"Betaproteobacteria"	1	1	38115757	38115757	"Gold Standard"
"class"	"Alphaproteobacteria"	1	1	37916224	37916224	"Gold Standard"
"class"	"Cytophagia"	1	1	14411538	14411538	"Gold Standard"
"class"	"Clostridia"	1	1	12477691	12477691	"Gold Standard"
"class"	"Negativicutes"	1	1	4150955	4150955	"Gold Standard"
"class"	"Gammaproteobacteria"	1	1	3607735	3607735	"Gold Standard"
"class"	"Flavobacteriia"	1	1	2957608	2957608	"Gold Standard"
"order"	"Actinomycetales"	1	1	77000584	77000584	"Gold Standard"
"order"	"Burkholderiales"	1	1	37691258	37691258	"Gold Standard"
"order"	"Rhizobiales"	1	1	30463517	30463517	"Gold Standard"
"order"	"Cytophagales"	1	1	14411538	14411538	"Gold Standard"
"order"	"Clostridiales"	1	1	12477691	12477691	"Gold Standard"
"order"	"Rhodobacterales"	1	1	7452707	7452707	"Gold Standard"
"order"	"Selenomonadales"	1	1	4150955	4150955	"Gold Standard"
"order"	"Legionellales"	1	1	3607735	3607735	"Gold Standard"
"order"	"Flavobacteriales"	1	1	2957608	2957608	"Gold Standard"
"order"	"Acidimicrobiales"	1	1	2485587	2485587	"Gold Standard"
"order"	"Neisseriales"	1	1	424499	424499	"Gold Standard"
"family"	"Comamonadaceae"	1	1	37691258	37691258	"Gold Standard"
"family"	"Pseudonocardiaceae"	1	1	32681267	32681267	"Gold Standard"
"family"	"Streptomycetaceae"	1	1	18428033	18428033	"Gold Standard"
"family"	"Cytophagaceae"	1	1	14411538	14411538	"Gold Standard"
"family"	"Cellulomonadaceae"	1	1	9113781	9113781	"Gold Standard"
"family"	"Bradyrhizobiaceae"	1	1	8874968	8874968	"Gold Standard"
"family"	"Intrasporangiaceae"	1	1	8785183	8785183	"Gold Standard"
"family"	"Phyllobacteriaceae"	1	1	8674992	8674992	"Gold Standard"
"family"	"Clostridiaceae"	1	1	8387126	8387126	"Gold Standard"
"family"	"Aurantimonadaceae"	1	1	7749681	7749681	"Gold Standard"
"family"	"Rhodobacteraceae"	1	1	7452707	7452707	"Gold Standard"
"family"	"Xanthobacteraceae"	1	1	5163876	5163876	"Gold Standard"
"family"	"Veillonellaceae"	1	1	4150955	4150955	"Gold Standard"
"family"	"Propionibacteriaceae"	1	1	4125126	4125126	"Gold Standard"
"family"	"Microbacteriaceae"	1	1	3867194	3867194	"Gold Standard"
"family"	"Legionellaceae"	1	1	3607735	3607735	"Gold Standard"
"family"	"Flavobacteriaceae"	1	1	2957608	2957608	"Gold Standard"
"family"	"Acidimicrobiaceae"	1	1	2485587	2485587	"Gold Standard"
"family"	"Peptostreptococcaceae"	1	1	2232591	2232591	"Gold Standard"
"family"	"Eubacteriaceae"	1	1	1857974	1857974	"Gold Standard"
"family"	"Neisseriaceae"	1	1	424499	424499	"Gold Standard"
"genus"	"Lechevalieria"	1	1	20408997	20408997	"Gold Standard"
"genus"	"Ohtaekwangia"	1	1	14411538	14411538	"Gold Standard"
"genus"	"Kibdelosporangium"	1	1	12272270	12272270	"Gold Standard"
"genus"	"Oerskovia"	1	1	9113781	9113781	"Gold Standard"
"genus"	"Bosea"	1	1	8874968	8874968	"Gold Standard"
"genus"	"Phycicoccus"	1	1	8785183	8785183	"Gold Standard"
"genus"	"Aquamicrobium"	1	1	8674992	8674992	"Gold Standard"
"genus"	"Pseudoxanthobacter"	1	1	5163876	5163876	"Gold Standard"
"genus"	"Propionispora"	1	1	4150955	4150955	"Gold Standard"
"genus"	"Tessaracoccus"	1	1	4125126	4125126	"Gold Standard"
"genus"	"Diaphorobacter"	1	1	4083860	4083860	"Gold Standard"
"genus"	"Rhodobaca"	1	1	3845886	3845886	"Gold Standard"
"genus"	"Tatlockia"	1	1	3607735	3607735	"Gold Standard"
"genus"	"Roseinatronobacter"	1	1	3606821	3606821	"Gold Standard"
"genus"	"Lutispora"	1	1	3459146	3459146	"Gold Standard"
"genus"	"Olleya"	1	1	2957608	2957608	"Gold Standard"
"genus"	"Ferrithrix"	1	1	2485587	2485587	"Gold Standard"
"genus"	"Caminicella"	1	1	2472183	2472183	"Gold Standard"
"genus"	"Caloranaerobacter"	1	1	2455797	2455797	"Gold Standard"
"genus"	"Tepidibacter"	1	1	2232591	2232591	"Gold Standard"
"genus"	"Garciella"	1	1	1857974	1857974	"Gold Standard"
"genus"	"Alysiella"	1	1	424499	424499	"Gold Standard"
"genus"	"unassigned"	NA	NA	63652306	0	"Gold Standard"
"species"	"Kibdelosporangium aridum"	1	1	12272270	12272270	"Gold Standard"
"species"	"Lechevalieria aerocolonigenes"	1	1	10667666	10667666	"Gold Standard"
"species"	"Lechevalieria flava"	1	1	9741331	9741331	"Gold Standard"
"species"	"Ohtaekwangia koreensis"	1	1	7222220	7222220	"Gold Standard"
"species"	"Ohtaekwangia kribbensis"	1	1	7189318	7189318	"Gold Standard"
"species"	"Pseudoxanthobacter soli"	1	1	5163876	5163876	"Gold Standard"
"species"	"Propionispora hippei"	1	1	4150955	4150955	"Gold Standard"
"species"	"Tessaracoccus bendigoensis"	1	1	4125126	4125126	"Gold Standard"
"species"	"Diaphorobacter oryzae"	1	1	4083860	4083860	"Gold Standard"
"species"	"Rhodobaca barguzinensis"	1	1	3845886	3845886	"Gold Standard"
"species"	"Legionella maceachernii"	1	1	3607735	3607735	"Gold Standard"
"species"	"Roseinatronobacter thiooxidans"	1	1	3606821	3606821	"Gold Standard"
"species"	"Lutispora thermophila"	1	1	3459146	3459146	"Gold Standard"
"species"	"Olleya aquimaris"	1	1	2957608	2957608	"Gold Standard"
"species"	"Ferrithrix thermotolerans"	1	1	2485587	2485587	"Gold Standard"
"species"	"Caminicella sporogenes"	1	1	2472183	2472183	"Gold Standard"
"species"	"Caloranaerobacter azorensis"	1	1	2455797	2455797	"Gold Standard"
"species"	"Tepidibacter thalassicus"	1	1	2232591	2232591	"Gold Standard"
"species"	"Garciella nitratireducens"	1	1	1857974	1857974	"Gold Standard"
"species"	"Alysiella filiformis"	1	1	424499	424499	"Gold Standard"
"species"	"unassigned"	NA	NA	99101230	0	"Gold Standard"
"superkingdom"	"Bacteria"	1	0.11	21635743	193123679	"evil_yalow_1"
"superkingdom"	"Eukaryota"	0	NA	1889	0	"evil_yalow_1"
"superkingdom"	"unassigned"	NA	NA	171486047	0	"evil_yalow_1"
"phylum"	"Proteobacteria"	1	0.15	11681285	79639716	"evil_yalow_1"
"phylum"	"Actinobacteria"	1	0.09	7086033	79486171	"evil_yalow_1"
"phylum"	"Firmicutes"	1	0.08	1310886	16628646	"evil_yalow_1"
"phylum"	"Bacteroidetes"	1	0.05	829705	17369146	"evil_yalow_1"
"phylum"	"Cyanobacteria"	0	NA	1390	0	"evil_yalow_1"
"phylum"	"Ascomycota"	0	NA	422	0	"evil_yalow_1"
"phylum"	"unassigned"	NA	NA	172213958	0	"evil_yalow_1"
"class"	"Actinobacteria"	1	0.09	7086033	79486171	"evil_yalow_1"
"class"	"Betaproteobacteria"	1	0.14	5271718	38115757	"evil_yalow_1"
"class"	"Alphaproteobacteria"	1	0.14	5249459	37916224	"evil_yalow_1"
"class"	"Clostridia"	1	0.06	781109	12477691	"evil_yalow_1"
"class"	"Gammaproteobacteria"	0.99	0.19	702778	3607735	"evil_yalow_1"
"class"	"Negativicutes"	1	0.09	362593	4150955	"evil_yalow_1"
"class"	"Cytophagia"	1	0.01	187788	14411538	"evil_yalow_1"
"class"	"Flavobacteriia"	0.93	0.02	48054	2957608	"evil_yalow_1"
"class"	"Sphingobacteriia"	0	NA	24641	0	"evil_yalow_1"
"class"	"Bacilli"	0	NA	5871	0	"evil_yalow_1"
"class"	"Bacteroidia"	0	NA	2793	0	"evil_yalow_1"
"class"	"class_Nostocales"	0	NA	1390	0	"evil_yalow_1"
"class"	"unassigned"	NA	NA	173399452	0	"evil_yalow_1"
"order"	"Actinomycetales"	1	0.09	6904427	77000584	"evil_yalow_1"
"order"	"Burkholderiales"	1	0.14	5097648	37691258	"evil_yalow_1"
"order"	"Rhizobiales"	1	0.15	4498960	30463517	"evil_yalow_1"
