"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset","binner"
"Gold Standard ",1,1,0,0,0.03503,0.04113,"low","adoring_lalande - Gold Standard_3"
"taxator-tk 1.3.0e",0.748,0.197,0.099,0.021,0.02642,0.04113,"low","fervent_sammet_2"
"MEGAN 6.4.9",0.034,0.274,0.008,0.047,2.61068,3.43966,"low","lonely_davinci_0"
"PhyloPythiaS+ ",0.741,0.881,0.081,0.046,0.03394,0.04113,"low","modest_babbage_5"
"Kraken 0.10.6-unreleased",0.098,0.668,0.023,0.075,0.02642,0.04113,"low","prickly_fermi_10"
"Gold Standard ",1,1,0,0,0.02495,0.02786,"medium","adoring_lalande - Gold Standard_1"
"taxator-tk 1.3.0e",0.667,0.053,0.211,0.004,0.01592,0.02786,"medium","fervent_sammet_0"
"MEGAN 6.4.9",0.043,0.565,0.017,0.075,0.11471,0.20075,"medium","lonely_davinci_6"
"PhyloPythiaS+ ",0.399,0.975,0.112,0.01,0.0189,0.02786,"medium","modest_babbage_1"
"Kraken 0.10.6-unreleased",0.074,0.858,0.029,0.058,0.01592,0.02786,"medium","prickly_fermi_11"
