"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset","binner"
"Gold Standard ",1,1,0,0,0.01778,0.01778,"low","adoring_lalande - Gold Standard_3"
"taxator-tk 1.3.0e",0.84,0.312,0.081,0.033,0.0127,0.01778,"low","fervent_sammet_2"
"MEGAN 6.4.9",0.039,0.323,0.009,0.037,1.60908,2.182,"low","lonely_davinci_0"
"PhyloPythiaS+ ",0.536,0.836,0.088,0.074,0.01296,0.01778,"low","modest_babbage_5"
"Kraken 0.10.6-unreleased",0.07,0.711,0.016,0.072,0.01311,0.01778,"low","prickly_fermi_10"
"Gold Standard ",1,1,0,0,0.11891,0.13519,"medium","adoring_lalande - Gold Standard_1"
"taxator-tk 1.3.0e",0.778,0.073,0.082,0.009,0.09938,0.13519,"medium","fervent_sammet_11"
"MEGAN 6.4.9",0.104,0.356,0.015,0.028,1.08666,1.44434,"medium","lonely_davinci_6"
"PhyloPythiaS+ ",0.453,0.71,0.05,0.051,0.1044,0.13519,"medium","modest_babbage_1"
"Kraken 0.10.6-unreleased",0.081,0.688,0.011,0.046,0.10355,0.13519,"medium","prickly_fermi_11"
"Gold Standard ",1,1,0,0,0.44057,0.47739,"high","adoring_lalande - Gold Standard_0"
"taxator-tk 1.3.0e",1,0.024,0,0.002,0.32435,0.47739,"high","fervent_sammet_1"
"MEGAN 6.4.9",0.051,0.22,0.005,0.014,2.41625,2.83173,"high","lonely_davinci_2"
"PhyloPythiaS+ ",0.459,0.807,0.032,0.027,0.37423,0.47739,"high","modest_babbage_3"
"Kraken 0.10.6-unreleased",0.096,0.718,0.009,0.03,0.36327,0.47739,"high","prickly_fermi_12"
