"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset"
"Gold Standard",1,1,0,0,0.01769,0.01938,"low"
"taxator-tk",0.997,0.302,0.001,0.026,0.01626,0.01938,"low"
"MEGAN",0.048,0.335,0.011,0.043,2.33108,2.52171,"low"
"PhyloPythiaS+",0.618,0.733,0.086,0.069,0.01626,0.01938,"low"
"Kraken",0.069,0.695,0.015,0.071,0.01661,0.01938,"low"
"Gold Standard",1,1,0,0,0.12134,0.1289,"medium"
"taxator-tk",1,0.059,0,0.004,0.10825,0.1289,"medium"
"MEGAN",0.157,0.433,0.019,0.019,0.70014,0.81631,"medium"
"PhyloPythiaS+",0.647,0.789,0.047,0.038,0.10933,0.1289,"medium"
"Kraken",0.363,0.756,0.034,0.033,0.11049,0.1289,"medium"
"Gold Standard",1,1,0,0,1.23987,1.35048,"high"
"taxator-tk",1,0.019,0,0.002,1.09015,1.35048,"high"
"MEGAN",0.128,0.29,0.008,0.01,6.21862,7.13611,"high"
"PhyloPythiaS+",0.537,0.879,0.025,0.015,1.15628,1.35048,"high"
"Kraken",0.217,0.808,0.013,0.017,1.1539,1.35048,"high"
