"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset"
"Gold Standard",1,1,0,0,0.06366,0.06672,"low"
"taxator-tk",0.923,0.269,0.04,0.018,0.05245,0.06672,"low"
"MEGAN",0.057,0.313,0.008,0.024,6.26222,7.1328,"low"
"PhyloPythiaS+",0.715,0.83,0.052,0.034,0.05632,0.06672,"low"
"Kraken",0.087,0.703,0.012,0.044,0.05248,0.06672,"low"
"Gold Standard",1,1,0,0,0.22418,0.23532,"medium"
"taxator-tk",0.897,0.074,0.036,0.006,0.19331,0.23532,"medium"
"MEGAN",0.213,0.419,0.018,0.015,1.11475,1.29273,"medium"
"PhyloPythiaS+",0.671,0.821,0.033,0.024,0.20178,0.23532,"medium"
"Kraken",0.287,0.772,0.021,0.023,0.20187,0.23532,"medium"
"Gold Standard",1,1,0,0,1.06913,1.14481,"high"
"taxator-tk",1,0.02,0,0.002,0.86354,1.14481,"high"
"MEGAN",0.108,0.256,0.006,0.01,5.65782,6.50523,"high"
"PhyloPythiaS+",0.506,0.841,0.022,0.016,0.95664,1.14481,"high"
"Kraken",0.16,0.776,0.009,0.017,0.94819,1.14481,"high"
