"tool","precision","recall","precision_er","recall_er","real_size","predicted_size","dataset"
"Gold Standard",0.977,0.955,0.023,0.045,0.00953,0.00953,"low"
"taxator-tk",0.823,0.088,0.039,0.013,0.03405,0.00401,"low"
"MEGAN",0.768,0.001,0.007,0,876.77766,0.92607,"low"
"PhyloPythiaS+",0.798,0.241,0.04,0.043,0.03457,0.01024,"low"
"Kraken",0.921,0.028,0.012,0.004,0.25639,0.0111,"low"
"Gold Standard",0.946,0.91,0.022,0.033,0.03362,0.03673,"medium"
"taxator-tk",0.845,0.032,0.029,0.004,0.06571,0.00295,"medium"
"MEGAN",0.775,0.005,0.009,0.001,83.3094,0.3126,"medium"
"PhyloPythiaS+",0.759,0.304,0.026,0.03,0.08644,0.03321,"medium"
"Kraken",0.908,0.048,0.009,0.005,0.50212,0.03388,"medium"
"Gold Standard",0.914,0.728,0.015,0.024,0.16354,0.20083,"high"
"taxator-tk",0.821,0.012,0.029,0.002,0.16985,0.00274,"high"
"MEGAN",0.456,0.007,0.006,0,50.71225,0.9549,"high"
"PhyloPythiaS+",0.728,0.403,0.018,0.019,0.23479,0.21553,"high"
"Kraken",0.799,0.112,0.008,0.005,0.86305,0.18012,"high"
