binner	rank	bin	precision	recall	predicted_size	real_size
admiring_curie_2	strain	1030728	0.170502402679	0.939097767124	14190410.0	2576408.0
admiring_curie_2	strain	1220_E	1.0	0.998715367975	7272886.0	7282241.0
admiring_curie_2	strain	1053022	0.244914415703	0.98682214414	14844312.0	3684135.0
admiring_curie_2	strain	1053025	0.251003347275	0.99033604433	14844312.0	3762331.0
admiring_curie_2	strain	Sample19_54	0	0	0	29620.0
admiring_curie_2	strain	1053028	0.249751015743	0.984534286519	14844312.0	3765620.0
admiring_curie_2	strain	Sample9_165	0	0	0	6999.0
admiring_curie_2	strain	1220_CF	0.738746045416	0.975400845645	6099567.0	4619671.0
admiring_curie_2	strain	Sample6_355	0	0	0	12012.0
admiring_curie_2	strain	Sample23_370	0	0	0	8513.0
admiring_curie_2	strain	1030905	1.0	0.978549030924	3045180.0	3111934.0
admiring_curie_2	strain	1285_BD	0.99906246077	0.90348693432	3011074.0	3329601.0
admiring_curie_2	strain	Sample22_16	0	0	0	68543.0
admiring_curie_2	strain	Sample22_11	0	0	0	81125.0
admiring_curie_2	strain	Sample24_63	0	0	0	18984.0
admiring_curie_2	strain	Sample23_378	0	0	0	8398.0
admiring_curie_2	strain	Sample22_561	0	0	0	8754.0
admiring_curie_2	strain	Sample6_203	0	0	0	16656.0
admiring_curie_2	strain	1220_X	1.0	0.983044701906	3576063.0	3637742.0
admiring_curie_2	strain	Sample18_60	0	0	0	19703.0
admiring_curie_2	strain	Sample24_68	0	0	0	17496.0
admiring_curie_2	strain	Sample18_62	0	0	0	19313.0
admiring_curie_2	strain	Sample6_199	0	0	0	16772.0
admiring_curie_2	strain	1139_AW	0.400382721669	0.602643499319	8418128.0	5592814.0
admiring_curie_2	strain	Sample22_112	0	0	0	28135.0
admiring_curie_2	strain	Sample15_108	0	0	0	6261.0
admiring_curie_2	strain	evo_1030728.011	0.169147684951	0.956297052393	14190410.0	2509968.0
admiring_curie_2	strain	Sample15_104	0	0	0	6456.0
admiring_curie_2	strain	Sample22_94	0	0	0	30920.0
admiring_curie_2	strain	Sample6_192	0	0	0	17003.0
admiring_curie_2	strain	Sample15_107	0	0	0	6335.0
admiring_curie_2	strain	Sample15_75	0	0	0	7926.0
admiring_curie_2	strain	evo_1035921.028	0.185550304413	0.972551950698	16500749.0	3148129.0
admiring_curie_2	strain	Sample23_25	0	0	0	29191.0
admiring_curie_2	strain	Sample15_103	0	0	0	6462.0
admiring_curie_2	strain	Sample16_245	0	0	0	7550.0
admiring_curie_2	strain	Sample18_262	0	0	0	7153.0
admiring_curie_2	strain	1139_AF	0.000632207536348	0.00141835358402	10123258.0	4512274.0
admiring_curie_2	strain	Sample18_264	0	0	0	7178.0
admiring_curie_2	strain	1049083	0.927796195412	0.845778070696	4540938.0	4981289.0
admiring_curie_2	strain	Sample18_267	0	0	0	7182.0
admiring_curie_2	strain	Sample16_154	0	0	0	11666.0
admiring_curie_2	strain	Sample23_142	0	0	0	15334.0
admiring_curie_2	strain	Sample22_218	0	0	0	19434.0
admiring_curie_2	strain	Sample23_147	0	0	0	15204.0
admiring_curie_2	strain	Sample23_145	0	0	0	15252.0
admiring_curie_2	strain	Sample19_29	0	0	0	45234.0
admiring_curie_2	strain	Sample9_193	0	0	0	6153.0
admiring_curie_2	strain	Sample9_192	0	0	0	6162.0
admiring_curie_2	strain	1285_CK	0.239117095373	0.506908852612	7336874.0	3460922.0
admiring_curie_2	strain	1220_BD	0.238883997122	0.894354947067	27251005.0	7278798.0
admiring_curie_2	strain	1220_BB	0.262196892231	0.400899405301	8418128.0	5505638.0
admiring_curie_2	strain	Sample23_283	0	0	0	10061.0
admiring_curie_2	strain	1048945	0.622405984827	0.984474164454	11423555.0	7222220.0
admiring_curie_2	strain	Sample6_323	0	0	0	13188.0
admiring_curie_2	strain	1048942	0.377347419433	0.599590809587	11423555.0	7189318.0
admiring_curie_2	strain	1285_CG	1.0	0.997879501806	3725169.0	3733085.0
admiring_curie_2	strain	1285_CF	1.0	0.949503674804	3727421.0	3925652.0
admiring_curie_2	strain	Sample16_69	0	0	0	27000.0
admiring_curie_2	strain	Sample18_77	0	0	0	16935.0
admiring_curie_2	strain	Sample20_90	0	0	0	9673.0
admiring_curie_2	strain	Sample6_235	0	0	0	15720.0
admiring_curie_2	strain	Sample19_309	0	0	0	7241.0
admiring_curie_2	strain	1285_AC	0.275555502248	0.583985908422	7336874.0	3461926.0
admiring_curie_2	strain	Sample16_65	0	0	0	27478.0
admiring_curie_2	strain	Sample22_87	0	0	0	31593.0
admiring_curie_2	strain	Sample24_66	0	0	0	17790.0
admiring_curie_2	strain	evo_1035921.030	0.177603574238	0.940070577661	16500749.0	3117417.0
admiring_curie_2	strain	1286_BV	1.0	0.983359823082	4290098.0	4362694.0
admiring_curie_2	strain	1286_BU	0.376105136669	0.842621735959	6578485.0	2936314.0
admiring_curie_2	strain	Sample9_66	0	0	0	12444.0
admiring_curie_2	strain	1286_AF	1.0	0.998350426077	4771532.0	4779416.0
admiring_curie_2	strain	1049011	0.57987207311	0.946102146553	6274834.0	3845886.0
admiring_curie_2	strain	Sample22_17	0	0	0	65338.0
admiring_curie_2	strain	1139_BF	0.188422217611	0.993800424508	33364956.0	6325917.0
admiring_curie_2	strain	1052959	0.520084605748	0.983453137784	4751923.0	2512984.0
admiring_curie_2	strain	1052974	0.491544577632	0.962464839341	7135776.0	3644343.0
admiring_curie_2	strain	1052977	0.503922488598	0.998586491188	7135776.0	3600968.0
admiring_curie_2	strain	Sample23_175	0	0	0	13730.0
admiring_curie_2	strain	1035969	1.0	0.990157259333	3572225.0	3607735.0
admiring_curie_2	strain	1286_BD	0.45647637716	0.991656726729	6578485.0	3028188.0
admiring_curie_2	strain	Sample6_680	0	0	0	7819.0
admiring_curie_2	strain	1035939	1.0	0.99869376143	1597924.0	1600014.0
admiring_curie_2	strain	evo_1286_G.034	0.335023325415	0.994780425766	9646988.0	3248924.0
admiring_curie_2	strain	1220_AO	0.992368911534	0.494348867456	3686499.0	7400375.0
admiring_curie_2	strain	1285_BF	0.326631831016	0.999592948896	12750922.0	4166553.0
admiring_curie_2	strain	1035906	1.0	0.994038506183	2534830.0	2550032.0
admiring_curie_2	strain	1030881	1.0	0.995340490937	3286465.0	3301850.0
admiring_curie_2	strain	1053004	0.509020424815	0.972232177099	5015174.0	2625737.0
admiring_curie_2	strain	1036566	1.0	0.975795609783	2877188.0	2948556.0
