"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"superkingdom"	"Bacteria"	1	1	9165261	9165261	"adoring_lalande - Gold Standard_3"
"phylum"	"Tenericutes"	1	1	9165261	9165261	"adoring_lalande - Gold Standard_3"
"class"	"Mollicutes"	1	1	9165261	9165261	"adoring_lalande - Gold Standard_3"
"order"	"Anaeroplasmatales"	1	1	9165261	9165261	"adoring_lalande - Gold Standard_3"
"family"	"Anaeroplasmataceae"	1	1	9165261	9165261	"adoring_lalande - Gold Standard_3"
"genus"	"Anaeroplasma"	1	1	9165261	9165261	"adoring_lalande - Gold Standard_3"
"species"	"Anaeroplasma bactoclasticum"	1	1	9165261	9165261	"adoring_lalande - Gold Standard_3"
"superkingdom"	"Bacteria"	1	0.92	8423145	9165261	"prickly_fermi_10"
"superkingdom"	"Eukaryota"	0	NA	47443	0	"prickly_fermi_10"
"superkingdom"	"unassigned"	NA	NA	694673	0	"prickly_fermi_10"
"phylum"	"Firmicutes"	0	NA	6449132	0	"prickly_fermi_10"
"phylum"	"Tenericutes"	1	0.06	554446	9165261	"prickly_fermi_10"
"phylum"	"Proteobacteria"	0	NA	334571	0	"prickly_fermi_10"
"phylum"	"Chordata"	0	NA	12673	0	"prickly_fermi_10"
"phylum"	"unassigned"	NA	NA	1814439	0	"prickly_fermi_10"
"class"	"Clostridia"	0	NA	3743329	0	"prickly_fermi_10"
"class"	"Bacilli"	0	NA	657546	0	"prickly_fermi_10"
"class"	"Mollicutes"	1	0.06	554446	9165261	"prickly_fermi_10"
"class"	"Negativicutes"	0	NA	434345	0	"prickly_fermi_10"
"class"	"Epsilonproteobacteria"	0	NA	312273	0	"prickly_fermi_10"
"class"	"Erysipelotrichia"	0	NA	223187	0	"prickly_fermi_10"
"class"	"class_Firmicutes bacterium CAG:227"	0	NA	113195	0	"prickly_fermi_10"
"class"	"class_Firmicutes bacterium CAG:313"	0	NA	81399	0	"prickly_fermi_10"
"class"	"Deltaproteobacteria"	0	NA	22298	0	"prickly_fermi_10"
"class"	"Mammalia"	0	NA	12673	0	"prickly_fermi_10"
"class"	"unassigned"	NA	NA	3010570	0	"prickly_fermi_10"
"order"	"Clostridiales"	0	NA	3714100	0	"prickly_fermi_10"
"order"	"Bacillales"	0	NA	551544	0	"prickly_fermi_10"
"order"	"Acholeplasmatales"	0	NA	519389	0	"prickly_fermi_10"
"order"	"Selenomonadales"	0	NA	434345	0	"prickly_fermi_10"
"order"	"Campylobacterales"	0	NA	312273	0	"prickly_fermi_10"
"order"	"Erysipelotrichales"	0	NA	223187	0	"prickly_fermi_10"
"order"	"order_Firmicutes bacterium CAG:227"	0	NA	113195	0	"prickly_fermi_10"
"order"	"Lactobacillales"	0	NA	106002	0	"prickly_fermi_10"
"order"	"order_Firmicutes bacterium CAG:313"	0	NA	81399	0	"prickly_fermi_10"
"order"	"Thermoanaerobacterales"	0	NA	29229	0	"prickly_fermi_10"
"order"	"Myxococcales"	0	NA	22298	0	"prickly_fermi_10"
"order"	"Primates"	0	NA	12673	0	"prickly_fermi_10"
"order"	"unassigned"	NA	NA	3045627	0	"prickly_fermi_10"
"family"	"Clostridiaceae"	0	NA	2137723	0	"prickly_fermi_10"
"family"	"family_Gottschalkia"	0	NA	685644	0	"prickly_fermi_10"
"family"	"Acholeplasmataceae"	0	NA	519389	0	"prickly_fermi_10"
"family"	"Bacillaceae"	0	NA	508417	0	"prickly_fermi_10"
"family"	"Veillonellaceae"	0	NA	434345	0	"prickly_fermi_10"
"family"	"Campylobacteraceae"	0	NA	312273	0	"prickly_fermi_10"
"family"	"Lachnospiraceae"	0	NA	267958	0	"prickly_fermi_10"
"family"	"Erysipelotrichaceae"	0	NA	223187	0	"prickly_fermi_10"
"family"	"Peptostreptococcaceae"	0	NA	184616	0	"prickly_fermi_10"
"family"	"Eubacteriaceae"	0	NA	129523	0	"prickly_fermi_10"
"family"	"family_Firmicutes bacterium CAG:227"	0	NA	113195	0	"prickly_fermi_10"
"family"	"Streptococcaceae"	0	NA	97107	0	"prickly_fermi_10"
"family"	"family_Firmicutes bacterium CAG:313"	0	NA	81399	0	"prickly_fermi_10"
"family"	"Staphylococcaceae"	0	NA	43127	0	"prickly_fermi_10"
"family"	"Thermoanaerobacterales Family III. Incertae Sedis"	0	NA	29229	0	"prickly_fermi_10"
"family"	"Ruminococcaceae"	0	NA	25119	0	"prickly_fermi_10"
"family"	"Myxococcaceae"	0	NA	22298	0	"prickly_fermi_10"
"family"	"Hominidae"	0	NA	12673	0	"prickly_fermi_10"
"family"	"unassigned"	NA	NA	3338039	0	"prickly_fermi_10"
"genus"	"Clostridium"	0	NA	2083527	0	"prickly_fermi_10"
"genus"	"Gottschalkia"	0	NA	685644	0	"prickly_fermi_10"
"genus"	"Acholeplasma"	0	NA	519389	0	"prickly_fermi_10"
"genus"	"Bacillus"	0	NA	477728	0	"prickly_fermi_10"
"genus"	"Veillonella"	0	NA	434345	0	"prickly_fermi_10"
"genus"	"Campylobacter"	0	NA	312273	0	"prickly_fermi_10"
"genus"	"Peptoclostridium"	0	NA	184616	0	"prickly_fermi_10"
"genus"	"genus_Lachnospiraceae bacterium NK4A179"	0	NA	173456	0	"prickly_fermi_10"
"genus"	"Eubacterium"	0	NA	129523	0	"prickly_fermi_10"
"genus"	"genus_Firmicutes bacterium CAG:227"	0	NA	113195	0	"prickly_fermi_10"
"genus"	"Turicibacter"	0	NA	100803	0	"prickly_fermi_10"
"genus"	"Streptococcus"	0	NA	97107	0	"prickly_fermi_10"
"genus"	"Solobacterium"	0	NA	85883	0	"prickly_fermi_10"
"genus"	"genus_Firmicutes bacterium CAG:313"	0	NA	81399	0	"prickly_fermi_10"
"genus"	"Thermobrachium"	0	NA	54196	0	"prickly_fermi_10"
"genus"	"Roseburia"	0	NA	52356	0	"prickly_fermi_10"
"genus"	"Staphylococcus"	0	NA	43127	0	"prickly_fermi_10"
"genus"	"Lachnobacterium"	0	NA	42146	0	"prickly_fermi_10"
"genus"	"Kandleria"	0	NA	35500	0	"prickly_fermi_10"
"genus"	"Halalkalibacillus"	0	NA	30689	0	"prickly_fermi_10"
"genus"	"Caldicellulosiruptor"	0	NA	29229	0	"prickly_fermi_10"
"genus"	"Ruminococcus"	0	NA	25119	0	"prickly_fermi_10"
"genus"	"Corallococcus"	0	NA	22298	0	"prickly_fermi_10"
"genus"	"genus_[Eubacterium] dolichum"	0	NA	1001	0	"prickly_fermi_10"
"genus"	"unassigned"	NA	NA	3350712	0	"prickly_fermi_10"
"species"	"Clostridium sp. CAG:307"	0	NA	1416135	0	"prickly_fermi_10"
"species"	"Gottschalkia acidurici"	0	NA	685644	0	"prickly_fermi_10"
"species"	"Acholeplasma modicum"	0	NA	365527	0	"prickly_fermi_10"
"species"	"Campylobacter coli"	0	NA	312273	0	"prickly_fermi_10"
"species"	"Clostridium butyricum"	0	NA	262321	0	"prickly_fermi_10"
"species"	"[Clostridium] hiranonis"	0	NA	179652	0	"prickly_fermi_10"
"species"	"Lachnospiraceae bacterium NK4A179"	0	NA	173456	0	"prickly_fermi_10"
"species"	"Clostridium sp. CAG:575"	0	NA	121859	0	"prickly_fermi_10"
"species"	"Firmicutes bacterium CAG:227"	0	NA	113195	0	"prickly_fermi_10"
"species"	"Turicibacter sp. HGF1"	0	NA	100803	0	"prickly_fermi_10"
"species"	"Solobacterium moorei"	0	NA	85883	0	"prickly_fermi_10"
"species"	"Firmicutes bacterium CAG:313"	0	NA	81399	0	"prickly_fermi_10"
"species"	"Clostridium sp. CAG:533"	0	NA	80681	0	"prickly_fermi_10"
"species"	"Acholeplasma hippikon"	0	NA	69584	0	"prickly_fermi_10"
"species"	"Clostridium sp. CAG:389"	0	NA	61257	0	"prickly_fermi_10"
"species"	"Thermobrachium celere"	0	NA	54196	0	"prickly_fermi_10"
"species"	"Roseburia sp. CAG:380"	0	NA	52356	0	"prickly_fermi_10"
"species"	"Acholeplasma laidlawii"	0	NA	47352	0	"prickly_fermi_10"
"species"	"Streptococcus infantis"	0	NA	44774	0	"prickly_fermi_10"
"species"	"Bacillus sp. UNC437CL72CviS29"	0	NA	43082	0	"prickly_fermi_10"
"species"	"Lachnobacterium bovis"	0	NA	42146	0	"prickly_fermi_10"
"species"	"Acholeplasma sp. CAG:878"	0	NA	36926	0	"prickly_fermi_10"
"species"	"Kandleria vitulina"	0	NA	35500	0	"prickly_fermi_10"
"species"	"Clostridium carboxidivorans"	0	NA	34592	0	"prickly_fermi_10"
"species"	"Halalkalibacillus halophilus"	0	NA	30689	0	"prickly_fermi_10"
"species"	"Caldicellulosiruptor obsidiansis"	0	NA	29229	0	"prickly_fermi_10"
"species"	"Ruminococcus sp. CAG:108"	0	NA	25119	0	"prickly_fermi_10"
"species"	"Bacillus cereus"	0	NA	22864	0	"prickly_fermi_10"
"species"	"Corallococcus sp. CAG:1435"	0	NA	22298	0	"prickly_fermi_10"
"species"	"Peptoclostridium difficile"	0	NA	4964	0	"prickly_fermi_10"
"species"	"Staphylococcus sp. CAG:324"	0	NA	1697	0	"prickly_fermi_10"
"species"	"[Eubacterium] dolichum"	0	NA	1001	0	"prickly_fermi_10"
"species"	"unassigned"	NA	NA	4526807	0	"prickly_fermi_10"
"superkingdom"	"Bacteria"	1	0.36	3279730	9165261	"fervent_sammet_12"
"superkingdom"	"unassigned"	NA	NA	5885531	0	"fervent_sammet_12"
"phylum"	"Firmicutes"	0	NA	2037508	0	"fervent_sammet_12"
"phylum"	"Tenericutes"	1	0	4964	9165261	"fervent_sammet_12"
"phylum"	"unassigned"	NA	NA	7122789	0	"fervent_sammet_12"
"class"	"Clostridia"	0	NA	600424	0	"fervent_sammet_12"
"class"	"Mollicutes"	1	0	4964	9165261	"fervent_sammet_12"
"class"	"unassigned"	NA	NA	8559873	0	"fervent_sammet_12"
"order"	"Clostridiales"	0	NA	591732	0	"fervent_sammet_12"
"order"	"Acholeplasmatales"	0	NA	4964	0	"fervent_sammet_12"
"order"	"unassigned"	NA	NA	8568565	0	"fervent_sammet_12"
"family"	"Clostridiaceae"	0	NA	430596	0	"fervent_sammet_12"
"family"	"Acholeplasmataceae"	0	NA	4964	0	"fervent_sammet_12"
"family"	"unassigned"	NA	NA	8729701	0	"fervent_sammet_12"
"genus"	"Clostridium"	0	NA	430596	0	"fervent_sammet_12"
"genus"	"Acholeplasma"	0	NA	4964	0	"fervent_sammet_12"
"genus"	"unassigned"	NA	NA	8729701	0	"fervent_sammet_12"
"species"	"Acholeplasma brassicae"	0	NA	4964	0	"fervent_sammet_12"
"species"	"unassigned"	NA	NA	9160297	0	"fervent_sammet_12"
"superkingdom"	"Bacteria"	1	0.36	3323935	9165261	"fervent_sammet_2"
"superkingdom"	"unassigned"	NA	NA	5841326	0	"fervent_sammet_2"
"phylum"	"Firmicutes"	0	NA	3226258	0	"fervent_sammet_2"
