"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"superkingdom"	"unassigned"	NA	NA	200185	0	"Gold Standard"
"phylum"	"unassigned"	NA	NA	200185	0	"Gold Standard"
"class"	"unassigned"	NA	NA	200185	0	"Gold Standard"
"order"	"unassigned"	NA	NA	200185	0	"Gold Standard"
"family"	"unassigned"	NA	NA	200185	0	"Gold Standard"
"genus"	"unassigned"	NA	NA	200185	0	"Gold Standard"
"species"	"unassigned"	NA	NA	200185	0	"Gold Standard"
"superkingdom"	"Bacteria"	0	NA	103720	0	"evil_yalow_2"
"superkingdom"	"unassigned"	NA	NA	96465	0	"evil_yalow_2"
"phylum"	"Firmicutes"	0	NA	29366	0	"evil_yalow_2"
"phylum"	"unassigned"	NA	NA	170819	0	"evil_yalow_2"
"class"	"Clostridia"	0	NA	29366	0	"evil_yalow_2"
"class"	"unassigned"	NA	NA	170819	0	"evil_yalow_2"
"order"	"Clostridiales"	0	NA	29366	0	"evil_yalow_2"
"order"	"unassigned"	NA	NA	170819	0	"evil_yalow_2"
"family"	"unassigned"	NA	NA	200185	0	"evil_yalow_2"
"genus"	"unassigned"	NA	NA	200185	0	"evil_yalow_2"
"species"	"unassigned"	NA	NA	200185	0	"evil_yalow_2"
"superkingdom"	"Bacteria"	0	NA	103720	0	"fervent_sammet_2"
"superkingdom"	"unassigned"	NA	NA	96465	0	"fervent_sammet_2"
"phylum"	"Bacteroidetes"	0	NA	49909	0	"fervent_sammet_2"
"phylum"	"Firmicutes"	0	NA	39730	0	"fervent_sammet_2"
"phylum"	"Proteobacteria"	0	NA	14081	0	"fervent_sammet_2"
"phylum"	"unassigned"	NA	NA	96465	0	"fervent_sammet_2"
"class"	"Clostridia"	0	NA	29366	0	"fervent_sammet_2"
"class"	"Gammaproteobacteria"	0	NA	14081	0	"fervent_sammet_2"
"class"	"Bacilli"	0	NA	10364	0	"fervent_sammet_2"
"class"	"unassigned"	NA	NA	146374	0	"fervent_sammet_2"
"order"	"Clostridiales"	0	NA	29366	0	"fervent_sammet_2"
"order"	"Pseudomonadales"	0	NA	14081	0	"fervent_sammet_2"
"order"	"Bacillales"	0	NA	10364	0	"fervent_sammet_2"
"order"	"unassigned"	NA	NA	146374	0	"fervent_sammet_2"
"family"	"Pseudomonadaceae"	0	NA	14081	0	"fervent_sammet_2"
"family"	"unassigned"	NA	NA	186104	0	"fervent_sammet_2"
"genus"	"Pseudomonas"	0	NA	14081	0	"fervent_sammet_2"
"genus"	"unassigned"	NA	NA	186104	0	"fervent_sammet_2"
"species"	"unassigned"	NA	NA	200185	0	"fervent_sammet_2"
"superkingdom"	"Bacteria"	0	NA	200185	0	"modest_babbage_5"
"phylum"	"Firmicutes"	0	NA	79275	0	"modest_babbage_5"
"phylum"	"Proteobacteria"	0	NA	61169	0	"modest_babbage_5"
"phylum"	"Chloroflexi"	0	NA	59741	0	"modest_babbage_5"
"class"	"Deltaproteobacteria"	0	NA	47088	0	"modest_babbage_5"
"class"	"Clostridia"	0	NA	29366	0	"modest_babbage_5"
"class"	"unassigned"	NA	NA	123731	0	"modest_babbage_5"
"order"	"Clostridiales"	0	NA	29366	0	"modest_babbage_5"
"order"	"unassigned"	NA	NA	170819	0	"modest_babbage_5"
"family"	"unassigned"	NA	NA	200185	0	"modest_babbage_5"
"genus"	"unassigned"	NA	NA	200185	0	"modest_babbage_5"
"species"	"unassigned"	NA	NA	200185	0	"modest_babbage_5"
"superkingdom"	"unassigned"	NA	NA	200185	0	"modest_babbage_6"
"phylum"	"unassigned"	NA	NA	200185	0	"modest_babbage_6"
"class"	"unassigned"	NA	NA	200185	0	"modest_babbage_6"
"order"	"unassigned"	NA	NA	200185	0	"modest_babbage_6"
"family"	"unassigned"	NA	NA	200185	0	"modest_babbage_6"
"genus"	"unassigned"	NA	NA	200185	0	"modest_babbage_6"
"species"	"unassigned"	NA	NA	200185	0	"modest_babbage_6"
"superkingdom"	"Bacteria"	0	NA	70427	0	"prickly_fermi_0"
"superkingdom"	"unassigned"	NA	NA	129758	0	"prickly_fermi_0"
"phylum"	"Bacteroidetes"	0	NA	49909	0	"prickly_fermi_0"
"phylum"	"Proteobacteria"	0	NA	20518	0	"prickly_fermi_0"
"phylum"	"unassigned"	NA	NA	129758	0	"prickly_fermi_0"
"class"	"Bacteroidia"	0	NA	49909	0	"prickly_fermi_0"
"class"	"Gammaproteobacteria"	0	NA	20518	0	"prickly_fermi_0"
"class"	"unassigned"	NA	NA	129758	0	"prickly_fermi_0"
"order"	"Bacteroidales"	0	NA	49909	0	"prickly_fermi_0"
"order"	"Enterobacteriales"	0	NA	20518	0	"prickly_fermi_0"
"order"	"unassigned"	NA	NA	129758	0	"prickly_fermi_0"
"family"	"Bacteroidaceae"	0	NA	49909	0	"prickly_fermi_0"
"family"	"Enterobacteriaceae"	0	NA	20518	0	"prickly_fermi_0"
"family"	"unassigned"	NA	NA	129758	0	"prickly_fermi_0"
"genus"	"Bacteroides"	0	NA	49909	0	"prickly_fermi_0"
"genus"	"Klebsiella"	0	NA	20518	0	"prickly_fermi_0"
"genus"	"unassigned"	NA	NA	129758	0	"prickly_fermi_0"
"species"	"Bacteroides fragilis"	0	NA	49909	0	"prickly_fermi_0"
"species"	"Klebsiella pneumoniae"	0	NA	20518	0	"prickly_fermi_0"
"species"	"unassigned"	NA	NA	129758	0	"prickly_fermi_0"
