"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"strain"	"1036608"	0.996815529152	0.202351161068	643435	3169668	"evil_yalow_2"
"strain"	"evo_1286_AP.033"	0.137598170351	0.173150363735	3898453	3098001	"evil_yalow_2"
"strain"	"1220_AJ"	1	0.237084144611	619783	2614190	"evil_yalow_2"
"strain"	"Sample19_56"	0.0124262868904	1	2363216	29366	"evil_yalow_2"
"strain"	"Sample22_57"	0	0	0	37672	"evil_yalow_2"
"strain"	"Sample6_722"	0	0	0	7258	"evil_yalow_2"
"strain"	"Sample23_271"	0	0	0	10434	"evil_yalow_2"
"strain"	"Sample6_289"	0.00240112148965	1	5864343	14081	"evil_yalow_2"
"strain"	"Sample23_273"	0.00176729089687	1	5864343	10364	"evil_yalow_2"
"strain"	"Sample6_527"	0	0	0	9295	"evil_yalow_2"
"strain"	"1036743"	0.335547406585	0.155527996652	2363216	5098574	"evil_yalow_2"
"strain"	"Sample9_2"	0.00567054144002	1	5864343	33254	"evil_yalow_2"
"strain"	"Sample22_283"	0	0	0	16206	"evil_yalow_2"
"strain"	"1048993"	1	0.246825387433	896863	3633593	"evil_yalow_2"
"strain"	"1285_BH"	0.713956629167	0.13648691469	872983	4566533	"evil_yalow_2"
"strain"	"evo_1286_AP.026"	0.208409335703	0.253033225805	3898453	3210938	"evil_yalow_2"
"strain"	"Sample15_97"	0.00112442263353	1	5864343	6594	"evil_yalow_2"
"strain"	"evo_1035930.029"	0.250978967051	0.232204317346	2231689	2412130	"evil_yalow_2"
"strain"	"1049005"	0.373832588127	0.113063018872	1242385	4107833	"evil_yalow_2"
"strain"	"1365_A"	0.678580392406	0.201143436032	2079786	7016396	"evil_yalow_2"
"strain"	"1286_AP"	0.0631058011986	0.0826934227443	3898453	2975025	"evil_yalow_2"
"strain"	"Sample16_19"	0.0131874960247	1	5864343	77336	"evil_yalow_2"
"strain"	"1139_AG"	0.897460838901	0.300452897045	2436474	7277813	"evil_yalow_2"
"strain"	"evo_1049056.031"	0.202572901363	0.341291089207	5686965	3375491	"evil_yalow_2"
"strain"	"evo_1286_AP.008"	0.405025018899	0.466608095784	3898453	3383934	"evil_yalow_2"
"strain"	"Sample19_20"	0	0	0	59741	"evil_yalow_2"
"strain"	"evo_1049056.011"	0.112396682589	0.190554268359	5686965	3354404	"evil_yalow_2"
"strain"	"evo_1049056.039"	0.0847204878705	0.184026787467	5864343	2699770	"evil_yalow_2"
"strain"	"1049089"	0.626167411873	0.248997771973	1242385	3124289	"evil_yalow_2"
"strain"	"1220_AD"	1	0.347887293595	1210900	3480725	"evil_yalow_2"
"strain"	"1030752"	1	0.2222884352	1395465	6277722	"evil_yalow_2"
"strain"	"1030755"	1	0.24633380694	1136815	4614937	"evil_yalow_2"
"strain"	"1035930"	0.0630716859502	0.168325618056	5864343	2197372	"evil_yalow_2"
"strain"	"evo_1035930.011"	0.162018542906	0.159923270445	2231689	2260928	"evil_yalow_2"
"strain"	"1052944"	0.334407897588	0.252810639026	3922210	5188144	"evil_yalow_2"
"strain"	"1036755"	1	0.202306684555	1307657	6463736	"evil_yalow_2"
"strain"	"Sample23_288"	1	1	9994	9994	"evil_yalow_2"
"strain"	"evo_1035930.032"	0.127304476565	0.123801709145	2231689	2294831	"evil_yalow_2"
"strain"	"1052947"	0.234150389704	0.192653350798	3922210	4767044	"evil_yalow_2"
"strain"	"1053058"	0.431441712708	0.32609089434	3922210	5189366	"evil_yalow_2"
"strain"	"1036539"	0.10350476924	0.125916816283	5686965	4674737	"evil_yalow_2"
"strain"	"Sample22_89"	0	0	0	31415	"evil_yalow_2"
"strain"	"evo_1286_AP.037"	0.185861673849	0.235024648342	3898453	3082966	"evil_yalow_2"
"strain"	"1036554"	1	0.243405987586	646599	2656463	"evil_yalow_2"
"strain"	"Sample6_49"	0	0	0	31699	"evil_yalow_2"
"strain"	"1035900"	0.190322257753	0.153331266231	5864343	7279109	"evil_yalow_2"
"strain"	"Sample6_476"	0.0710443747199	0.152642349825	17848	8307	"evil_yalow_2"
