"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"superkingdom"	"unassigned"	NA	NA	7599128	0	"Gold Standard"
"phylum"	"unassigned"	NA	NA	7599128	0	"Gold Standard"
"class"	"unassigned"	NA	NA	7599128	0	"Gold Standard"
"order"	"unassigned"	NA	NA	7599128	0	"Gold Standard"
"family"	"unassigned"	NA	NA	7599128	0	"Gold Standard"
"genus"	"unassigned"	NA	NA	7599128	0	"Gold Standard"
"species"	"unassigned"	NA	NA	7599128	0	"Gold Standard"
"superkingdom"	"Bacteria"	0	NA	140514	0	"evil_yalow_0"
"superkingdom"	"unassigned"	NA	NA	7458614	0	"evil_yalow_0"
"phylum"	"Firmicutes"	0	NA	62745	0	"evil_yalow_0"
"phylum"	"Proteobacteria"	0	NA	59860	0	"evil_yalow_0"
"phylum"	"Actinobacteria"	0	NA	8303	0	"evil_yalow_0"
"phylum"	"Bacteroidetes"	0	NA	1015	0	"evil_yalow_0"
"phylum"	"unassigned"	NA	NA	7467205	0	"evil_yalow_0"
"class"	"Gammaproteobacteria"	0	NA	59860	0	"evil_yalow_0"
"class"	"Clostridia"	0	NA	43779	0	"evil_yalow_0"
"class"	"Actinobacteria"	0	NA	8303	0	"evil_yalow_0"
"class"	"unassigned"	NA	NA	7487186	0	"evil_yalow_0"
"order"	"Enterobacteriales"	0	NA	59860	0	"evil_yalow_0"
"order"	"Clostridiales"	0	NA	43779	0	"evil_yalow_0"
"order"	"Actinomycetales"	0	NA	8303	0	"evil_yalow_0"
"order"	"unassigned"	NA	NA	7487186	0	"evil_yalow_0"
"family"	"Enterobacteriaceae"	0	NA	59860	0	"evil_yalow_0"
"family"	"unassigned"	NA	NA	7539268	0	"evil_yalow_0"
"genus"	"unassigned"	NA	NA	7599128	0	"evil_yalow_0"
"species"	"unassigned"	NA	NA	7599128	0	"evil_yalow_0"
"superkingdom"	"Bacteria"	0	NA	140514	0	"fervent_sammet_1"
"superkingdom"	"unassigned"	NA	NA	7458614	0	"fervent_sammet_1"
"phylum"	"Firmicutes"	0	NA	62745	0	"fervent_sammet_1"
"phylum"	"Proteobacteria"	0	NA	59860	0	"fervent_sammet_1"
"phylum"	"Actinobacteria"	0	NA	15259	0	"fervent_sammet_1"
"phylum"	"Bacteroidetes"	0	NA	2650	0	"fervent_sammet_1"
"phylum"	"unassigned"	NA	NA	7458614	0	"fervent_sammet_1"
"class"	"Gammaproteobacteria"	0	NA	59860	0	"fervent_sammet_1"
"class"	"Clostridia"	0	NA	43779	0	"fervent_sammet_1"
"class"	"Actinobacteria"	0	NA	15259	0	"fervent_sammet_1"
"class"	"unassigned"	NA	NA	7480230	0	"fervent_sammet_1"
"order"	"Enterobacteriales"	0	NA	59860	0	"fervent_sammet_1"
"order"	"Clostridiales"	0	NA	43779	0	"fervent_sammet_1"
"order"	"Actinomycetales"	0	NA	15259	0	"fervent_sammet_1"
"order"	"unassigned"	NA	NA	7480230	0	"fervent_sammet_1"
"family"	"Enterobacteriaceae"	0	NA	59860	0	"fervent_sammet_1"
"family"	"unassigned"	NA	NA	7539268	0	"fervent_sammet_1"
"genus"	"unassigned"	NA	NA	7599128	0	"fervent_sammet_1"
"species"	"unassigned"	NA	NA	7599128	0	"fervent_sammet_1"
"superkingdom"	"Bacteria"	0	NA	54102600	0	"lonely_davinci_1"
"superkingdom"	"Eukaryota"	0	NA	833700	0	"lonely_davinci_1"
"superkingdom"	"superkingdom_Promoter probe vector pPR9TT"	0	NA	66300	0	"lonely_davinci_1"
"superkingdom"	"superkingdom_synthetic construct"	0	NA	33300	0	"lonely_davinci_1"
"superkingdom"	"Viruses"	0	NA	31200	0	"lonely_davinci_1"
"superkingdom"	"superkingdom_Plasmid pVT736-1"	0	NA	6600	0	"lonely_davinci_1"
"superkingdom"	"superkingdom_Plasmid pTD1"	0	NA	3300	0	"lonely_davinci_1"
"superkingdom"	"superkingdom_Cloning vector pLMB509"	0	NA	1500	0	"lonely_davinci_1"
"superkingdom"	"superkingdom_Cloning vector pFH2191"	0	NA	1200	0	"lonely_davinci_1"
"superkingdom"	"superkingdom_MISSA donor vector pL-ccdB"	0	NA	900	0	"lonely_davinci_1"
"superkingdom"	"superkingdom_Shuttle vector pBS423"	0	NA	900	0	"lonely_davinci_1"
"superkingdom"	"superkingdom_Broad host range vector vector pCVD068"	0	NA	600	0	"lonely_davinci_1"
"superkingdom"	"Archaea"	0	NA	300	0	"lonely_davinci_1"
"superkingdom"	"superkingdom_Plant transient expression vector pGR2i-dCP:GFP"	0	NA	300	0	"lonely_davinci_1"
"superkingdom"	"superkingdom_Relication competent episomal DNA MSSI1.162"	0	NA	300	0	"lonely_davinci_1"
"superkingdom"	"superkingdom_Transformation vector pGFPBSDZ-SW2"	0	NA	300	0	"lonely_davinci_1"
"superkingdom"	"superkingdom_Yeast integrative vector pBS42"	0	NA	300	0	"lonely_davinci_1"
"superkingdom"	"unassigned"	NA	NA	69030300	0	"lonely_davinci_1"
"phylum"	"Proteobacteria"	0	NA	9911100	0	"lonely_davinci_1"
"phylum"	"phylum_uncultured bacterium"	0	NA	9217500	0	"lonely_davinci_1"
"phylum"	"Firmicutes"	0	NA	7400100	0	"lonely_davinci_1"
"phylum"	"Bacteroidetes"	0	NA	5514000	0	"lonely_davinci_1"
"phylum"	"Actinobacteria"	0	NA	1108500	0	"lonely_davinci_1"
"phylum"	"Nematoda"	0	NA	504900	0	"lonely_davinci_1"
"phylum"	"Spirochaetes"	0	NA	69000	0	"lonely_davinci_1"
"phylum"	"phylum_Promoter probe vector pPR9TT"	0	NA	66300	0	"lonely_davinci_1"
"phylum"	"Verrucomicrobia"	0	NA	58800	0	"lonely_davinci_1"
"phylum"	"Chordata"	0	NA	45000	0	"lonely_davinci_1"
"phylum"	"phylum_synthetic construct"	0	NA	33300	0	"lonely_davinci_1"
"phylum"	"phylum_Pseudoalteromonas phage B8b"	0	NA	15600	0	"lonely_davinci_1"
"phylum"	"phylum_uncultured marine virus"	0	NA	8400	0	"lonely_davinci_1"
"phylum"	"Cyanobacteria"	0	NA	7500	0	"lonely_davinci_1"
"phylum"	"phylum_Plasmid pVT736-1"	0	NA	6600	0	"lonely_davinci_1"
"phylum"	"Fusobacteria"	0	NA	6300	0	"lonely_davinci_1"
"phylum"	"phylum_Inoviridae"	0	NA	4200	0	"lonely_davinci_1"
"phylum"	"Nitrospirae"	0	NA	3900	0	"lonely_davinci_1"
"phylum"	"Planctomycetes"	0	NA	3900	0	"lonely_davinci_1"
"phylum"	"Tenericutes"	0	NA	3900	0	"lonely_davinci_1"
"phylum"	"Acidobacteria"	0	NA	3300	0	"lonely_davinci_1"
"phylum"	"phylum_Plasmid pTD1"	0	NA	3300	0	"lonely_davinci_1"
"phylum"	"Chloroflexi"	0	NA	2100	0	"lonely_davinci_1"
"phylum"	"Deferribacteres"	0	NA	1800	0	"lonely_davinci_1"
"phylum"	"Echinodermata"	0	NA	1800	0	"lonely_davinci_1"
"phylum"	"phylum_Caudovirales"	0	NA	1800	0	"lonely_davinci_1"
"phylum"	"Arthropoda"	0	NA	1500	0	"lonely_davinci_1"
"phylum"	"Chlorobi"	0	NA	1500	0	"lonely_davinci_1"
"phylum"	"phylum_Cloning vector pLMB509"	0	NA	1500	0	"lonely_davinci_1"
"phylum"	"phylum_uncultured bacterium BAC25G1"	0	NA	1500	0	"lonely_davinci_1"
"phylum"	"phylum_uncultured bacterium Rlip1"	0	NA	1500	0	"lonely_davinci_1"
"phylum"	"phylum_Cloning vector pFH2191"	0	NA	1200	0	"lonely_davinci_1"
"phylum"	"Thermotogae"	0	NA	900	0	"lonely_davinci_1"
"phylum"	"phylum_MISSA donor vector pL-ccdB"	0	NA	900	0	"lonely_davinci_1"
"phylum"	"phylum_Shuttle vector pBS423"	0	NA	900	0	"lonely_davinci_1"
"phylum"	"Deinococcus-Thermus"	0	NA	600	0	"lonely_davinci_1"
"phylum"	"phylum_Broad host range vector vector pCVD068"	0	NA	600	0	"lonely_davinci_1"
"phylum"	"Basidiomycota"	0	NA	300	0	"lonely_davinci_1"
"phylum"	"Cnidaria"	0	NA	300	0	"lonely_davinci_1"
"phylum"	"Lentisphaerae"	0	NA	300	0	"lonely_davinci_1"
"phylum"	"Poribacteria"	0	NA	300	0	"lonely_davinci_1"
"phylum"	"Streptophyta"	0	NA	300	0	"lonely_davinci_1"
"phylum"	"Synergistetes"	0	NA	300	0	"lonely_davinci_1"
"phylum"	"phylum_Circoviridae"	0	NA	300	0	"lonely_davinci_1"
"phylum"	"phylum_Plant transient expression vector pGR2i-dCP:GFP"	0	NA	300	0	"lonely_davinci_1"
"phylum"	"phylum_Porcine stool-associated circular virus 6"	0	NA	300	0	"lonely_davinci_1"
"phylum"	"phylum_Relication competent episomal DNA MSSI1.162"	0	NA	300	0	"lonely_davinci_1"
"phylum"	"phylum_Transformation vector pGFPBSDZ-SW2"	0	NA	300	0	"lonely_davinci_1"
"phylum"	"phylum_Yeast integrative vector pBS42"	0	NA	300	0	"lonely_davinci_1"
"phylum"	"unassigned"	NA	NA	90094800	0	"lonely_davinci_1"
"class"	"class_uncultured bacterium"	0	NA	9217500	0	"lonely_davinci_1"
"class"	"Gammaproteobacteria"	0	NA	6799200	0	"lonely_davinci_1"
"class"	"Bacteroidia"	0	NA	5110200	0	"lonely_davinci_1"
"class"	"Clostridia"	0	NA	4150200	0	"lonely_davinci_1"
"class"	"Bacilli"	0	NA	1369500	0	"lonely_davinci_1"
"class"	"Alphaproteobacteria"	0	NA	1157700	0	"lonely_davinci_1"
"class"	"Actinobacteria"	0	NA	1108500	0	"lonely_davinci_1"
"class"	"Betaproteobacteria"	0	NA	547500	0	"lonely_davinci_1"
"class"	"Chromadorea"	0	NA	503700	0	"lonely_davinci_1"
"class"	"Epsilonproteobacteria"	0	NA	477000	0	"lonely_davinci_1"
"class"	"class_Firmicutes bacterium CAG:94"	0	NA	335400	0	"lonely_davinci_1"
"class"	"class_Firmicutes bacterium ASF500"	0	NA	159900	0	"lonely_davinci_1"
"class"	"Spirochaetia"	0	NA	69000	0	"lonely_davinci_1"
"class"	"class_Promoter probe vector pPR9TT"	0	NA	66300	0	"lonely_davinci_1"
"class"	"Verrucomicrobiae"	0	NA	58500	0	"lonely_davinci_1"
"class"	"class_Firmicutes bacterium CAG:110"	0	NA	51600	0	"lonely_davinci_1"
"class"	"Negativicutes"	0	NA	45900	0	"lonely_davinci_1"
"class"	"Mammalia"	0	NA	43500	0	"lonely_davinci_1"
"class"	"class_Firmicutes bacterium CAG:137"	0	NA	36600	0	"lonely_davinci_1"
"class"	"class_synthetic construct"	0	NA	33300	0	"lonely_davinci_1"
"class"	"Flavobacteriia"	0	NA	24000	0	"lonely_davinci_1"
"class"	"class_Firmicutes bacterium M10-2"	0	NA	20700	0	"lonely_davinci_1"
"class"	"Deltaproteobacteria"	0	NA	18900	0	"lonely_davinci_1"
"class"	"class_Pseudoalteromonas phage B8b"	0	NA	15600	0	"lonely_davinci_1"
"class"	"class_Firmicutes bacterium CAG:103"	0	NA	15300	0	"lonely_davinci_1"
"class"	"Cytophagia"	0	NA	12000	0	"lonely_davinci_1"
"class"	"Erysipelotrichia"	0	NA	11700	0	"lonely_davinci_1"
"class"	"Sphingobacteriia"	0	NA	9900	0	"lonely_davinci_1"
"class"	"class_uncultured marine virus"	0	NA	8400	0	"lonely_davinci_1"
"class"	"class_Firmicutes bacterium CAG:102"	0	NA	8100	0	"lonely_davinci_1"
"class"	"class_Firmicutes bacterium CAG:555"	0	NA	8100	0	"lonely_davinci_1"
"class"	"class_Firmicutes bacterium CAG:124"	0	NA	7200	0	"lonely_davinci_1"
"class"	"class_Plasmid pVT736-1"	0	NA	6600	0	"lonely_davinci_1"
"class"	"Fusobacteriia"	0	NA	6300	0	"lonely_davinci_1"
"class"	"class_Firmicutes bacterium CAG:631"	0	NA	5700	0	"lonely_davinci_1"
"class"	"class_Bacteroidetes Order II. Incertae sedis"	0	NA	5100	0	"lonely_davinci_1"
"class"	"class_Firmicutes bacterium CAG:240"	0	NA	5100	0	"lonely_davinci_1"
"class"	"class_Inoviridae"	0	NA	4200	0	"lonely_davinci_1"
"class"	"Mollicutes"	0	NA	3900	0	"lonely_davinci_1"
"class"	"Nitrospira"	0	NA	3900	0	"lonely_davinci_1"
"class"	"Planctomycetia"	0	NA	3900	0	"lonely_davinci_1"
"class"	"class_Chroococcales"	0	NA	3600	0	"lonely_davinci_1"
"class"	"Acidobacteriia"	0	NA	3300	0	"lonely_davinci_1"
"class"	"class_Nostocales"	0	NA	3300	0	"lonely_davinci_1"
"class"	"class_Plasmid pTD1"	0	NA	3300	0	"lonely_davinci_1"
"class"	"class_Bacteroidetes bacterium JGI 0000112-P09"	0	NA	2700	0	"lonely_davinci_1"
"class"	"class_proteobacterium S3K"	0	NA	2700	0	"lonely_davinci_1"
"class"	"Deferribacteres"	0	NA	1800	0	"lonely_davinci_1"
"class"	"Echinoidea"	0	NA	1800	0	"lonely_davinci_1"
