Instance	class	precision	recall	predicted class size	real class size
strain	1030752	1.0	1.0	6277722.0	6277722.0
strain	Sample16_19	0.623984379412	1.0	123939.0	77336.0
strain	1030878	1.0	1.0	3288233.0	3288233.0
strain	1036743	1.0	1.0	5098574.0	5098574.0
strain	Sample22_57	0.207708000221	1.0	181370.0	37672.0
strain	1030755	1.0	1.0	4614937.0	4614937.0
strain	1049089	1.0	1.0	3124289.0	3124289.0
strain	1030836	1.0	1.0	4897781.0	4897781.0
strain	1285_BH	1.0	1.0	4566533.0	4566533.0
strain	1036641	1.0	1.0	2630685.0	2630685.0
strain	Sample19_20	0.298428953218	1.0	200185.0	59741.0
strain	1036755	1.0	1.0	6463736.0	6463736.0
strain	1139_AG	0.50914415761	1.0	14294209.0	7277813.0
strain	1036554	1.0	1.0	2656463.0	2656463.0
strain	1036707	1.0	1.0	4004609.0	4004609.0
strain	1035900	1.0	1.0	7279109.0	7279109.0
strain	1053058	0.342655584311	1.0	15144554.0	5189366.0
strain	1220_AJ	1.0	1.0	2614190.0	2614190.0
strain	1036539	1.0	1.0	4674737.0	4674737.0
strain	1036608	1.0	1.0	3169668.0	3169668.0
strain	evo_1035930.029	0.26318181228	1.0	9165261.0	2412130.0
strain	1220_AD	1.0	1.0	3480725.0	3480725.0
strain	evo_1049056.013	0.179594212845	1.0	19572379.0	3515086.0
strain	1048993	1.0	1.0	3633593.0	3633593.0
strain	1036728	1.0	1.0	2012577.0	2012577.0
strain	1049005	1.0	1.0	4107833.0	4107833.0
strain	evo_1286_AP.008	0.214841166808	1.0	15750864.0	3383934.0
strain	1048783	1.0	1.0	2423571.0	2423571.0
strain	Sample6_722	0	0	0	7258.0
strain	Sample23_273	0	0	0	10364.0
strain	evo_1286_AP.033	0	0	0	3098001.0
strain	Sample19_56	0	0	0	29366.0
strain	Sample23_271	0	0	0	10434.0
strain	Sample6_289	0	0	0	14081.0
strain	Sample6_527	0	0	0	9295.0
strain	Sample9_2	0	0	0	33254.0
strain	Sample22_283	0	0	0	16206.0
strain	Sample15_97	0	0	0	6594.0
strain	1365_A	0	0	0	7016396.0
strain	1286_AP	0	0	0	2975025.0
strain	evo_1049056.031	0	0	0	3375491.0
strain	1035930	0	0	0	2197372.0
strain	evo_1049056.011	0	0	0	3354404.0
strain	evo_1049056.039	0	0	0	2699770.0
strain	evo_1049056.015	0	0	0	3365233.0
strain	evo_1286_AP.026	0	0	0	3210938.0
strain	evo_1035930.011	0	0	0	2260928.0
strain	Sample23_288	0	0	0	9994.0
strain	1052944	0	0	0	5188144.0
strain	evo_1035930.032	0	0	0	2294831.0
strain	1052947	0	0	0	4767044.0
strain	evo_1286_AP.037	0	0	0	3082966.0
strain	Sample9_65	0	0	0	12323.0
strain	Sample6_49	0	0	0	31699.0
strain	Sample6_476	0	0	0	8307.0
strain	Sample18_57	0	0	0	20518.0
strain	1049056	0	0	0	3262395.0
strain	Sample18_8	0	0	0	49909.0
strain	Sample22_89	0	0	0	31415.0
strain	Sample19_52	0	0	0	29728.0
