"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"strain"	"1048771"	1	0.981585144095	3843377	3915480	"admiring_curie_0"
"strain"	"1049053"	1	0.9883700219	4772145	4828298	"admiring_curie_0"
"strain"	"1286_CO"	0.563574998485	0.985238389949	7807511	4466044	"admiring_curie_0"
"strain"	"1139_AC"	0.413005675412	0.0242438360293	313986	5348906	"admiring_curie_0"
"strain"	"evo_1052962.024"	0.295908865626	0.0616375118342	532664	2557209	"admiring_curie_0"
"strain"	"1048774"	0.984269755472	0.91680360482	3690661	3962251	"admiring_curie_0"
"strain"	"1139_AY"	0.484462543176	0.992848598792	12001578	5856195	"admiring_curie_0"
"strain"	"evo_1052956.014"	0.22080930573	0.0435164850588	505495	2564959	"admiring_curie_0"
"strain"	"1030788"	0.842452587605	0.899016661511	3239501	3035679	"admiring_curie_0"
"strain"	"1287_CG"	0.991527812131	0.984170069894	6553561	6602556	"admiring_curie_0"
"strain"	"evo_1030827.025"	0.258635658841	0.933277553042	16414179	4548799	"admiring_curie_0"
"strain"	"1048879"	1	0.387395162208	3621652	9348728	"admiring_curie_0"
"strain"	"1036611"	0.832605851858	0.0714048010903	227039	2647357	"admiring_curie_0"
"strain"	"1036761"	0.999606899138	0.986858304919	3909938	3960448	"admiring_curie_0"
"strain"	"1285_A"	0.623055042085	0.0211843198598	222884	6555273	"admiring_curie_0"
"strain"	"1036647"	0.975706429089	0.997678050893	4089724	3999657	"admiring_curie_0"
"strain"	"1220_CC"	0.243610002032	0.901104707202	25301260	6840093	"admiring_curie_0"
"strain"	"evo_1220_Q.030"	0.308944044045	0.0348523637195	536547	4756148	"admiring_curie_0"
"strain"	"evo_1048987.032"	0.991577185717	0.262003962426	818610	3098102	"admiring_curie_0"
"strain"	"1036581"	1	0.21326544911	844673	3960665	"admiring_curie_0"
"strain"	"1036653"	0.997055303145	0.968461189971	5259285	5414567	"admiring_curie_0"
"strain"	"1030794"	0.989639620846	0.99739552612	9491448	9417641	"admiring_curie_0"
"strain"	"1030947"	0.790619246125	0.0441524779239	522474	9355715	"admiring_curie_0"
"strain"	"1220_L"	0.204509421278	0.995184595325	52248434	10737000	"admiring_curie_0"
"strain"	"1139_AX"	0.981880331134	0.970689145378	6426166	6500254	"admiring_curie_0"
"strain"	"1139_V"	0.586843279356	0.594122841281	4325850	4272847	"admiring_curie_0"
"strain"	"1365_B"	0.991201279707	0.982410402625	3410155	3440670	"admiring_curie_0"
"strain"	"1049077"	0.999287554255	0.669437304708	2815653	4203003	"admiring_curie_0"
"strain"	"1220_AA"	0.996685589303	0.518512469855	2825540	5431258	"admiring_curie_0"
"strain"	"1287_B"	1	0.0559113852628	380114	6798508	"admiring_curie_0"
"strain"	"1048954"	0.937008043311	0.979023973074	4744066	4540469	"admiring_curie_0"
"strain"	"1139_CP"	0.430616284363	0.0949187455344	1159984	5262480	"admiring_curie_0"
"strain"	"evo_1048975.026"	0.324585857652	0.820703644243	11352075	4489712	"admiring_curie_0"
"strain"	"1048780"	0.991350743873	0.945544238279	7855242	8235786	"admiring_curie_0"
"strain"	"1035990"	0.998742620073	0.993913963927	5796975	5825138	"admiring_curie_0"
"strain"	"1048894"	0.530549620324	0.991169327478	9859206	5277401	"admiring_curie_0"
"strain"	"1220_N"	0.976060830682	0.993001428191	3736930	3673178	"admiring_curie_0"
"strain"	"1048657"	0.986512827867	0.976342425062	3786561	3826005	"admiring_curie_0"
"strain"	"1285_AY"	0.999021747272	0.998309235147	4018389	4021257	"admiring_curie_0"
"strain"	"1139_G"	0.99936625466	0.407153144727	2532563	6216231	"admiring_curie_0"
"strain"	"1220_U"	0.5439768323	0.0330845588005	368444	6057962	"admiring_curie_0"
"strain"	"1036002"	0.999127343213	0.983744273469	4081788	4145616	"admiring_curie_0"
"strain"	"1030839"	0.504682178912	0.762091007972	9580689	6344653	"admiring_curie_0"
"strain"	"1036713"	1	0.607250500935	2668736	4394786	"admiring_curie_0"
"strain"	"1048987"	0.544048550784	0.407571895364	2312630	3087021	"admiring_curie_0"
"strain"	"1287_AL"	0.20310856936	0.985762083273	23273021	4795224	"admiring_curie_0"
"strain"	"1220_AP"	0.524166659508	0.310741862376	3142863	5301455	"admiring_curie_0"
"strain"	"1036596"	0.973468282857	0.808131254406	4178056	5032852	"admiring_curie_0"
"strain"	"1048912"	0.465927049036	0.999084271264	12040636	5615200	"admiring_curie_0"
"strain"	"1048762"	1	0.968475118993	3170927	3274144	"admiring_curie_0"
"strain"	"1035909"	1	0.928458430467	2634589	2837595	"admiring_curie_0"
"strain"	"1036689"	0.140001285188	0.953838418447	44024703	6461802	"admiring_curie_0"
"strain"	"1286_BQ"	0.0449756657826	0.912895070832	110574750	5447694	"admiring_curie_0"
"strain"	"1139_V"	0.644944201278	0.0712113024407	471785	4272847	"admiring_curie_0"
"strain"	"1139_CL"	0.994503991324	0.979038562928	4912656	4990259	"admiring_curie_0"
"strain"	"1036599"	1	0.931375074795	4023694	4320165	"admiring_curie_0"
"strain"	"1139_AC"	1	0.328598221767	1757641	5348906	"admiring_curie_0"
"strain"	"1048951"	1	0.91456120718	3988984	4361637	"admiring_curie_0"
"strain"	"1036758"	0.998263476245	0.980659428023	3959059	4030129	"admiring_curie_0"
"strain"	"1287_BL"	0.116483615178	0.977737661504	36988318	4406635	"admiring_curie_0"
"strain"	"1220_W"	0.499785519831	0.907797624025	8667468	4771851	"admiring_curie_0"
"strain"	"1220_Z"	0.276738018766	0.977469157089	20690211	5857748	"admiring_curie_0"
"strain"	"1049038"	1	0.983385451908	3226468	3280980	"admiring_curie_0"
"strain"	"1049026"	1	0.939562733657	3127934	3329138	"admiring_curie_0"
"strain"	"1030818"	0.656816735966	0.43940721038	2845130	4252841	"admiring_curie_0"
"strain"	"1139_CI"	0.0306469920545	0.00138020257794	236989	5262271	"admiring_curie_0"
"strain"	"evo_1036674.014"	0.524504153946	0.942364757617	5472868	3046105	"admiring_curie_0"
"strain"	"1021_AH"	1	0.49398972275	2846392	5762047	"admiring_curie_0"
"strain"	"1286_CK"	0.99584257884	0.987584810142	5070932	5113333	"admiring_curie_0"
"strain"	"evo_1220_W.027"	0.784917432387	0.111535763035	676052	4757622	"admiring_curie_0"
"strain"	"1030761"	0.996376700401	0.503318064859	1531477	3031737	"admiring_curie_0"
"strain"	"1048927"	0.338541839089	0.99951799147	14559710	4931448	"admiring_curie_0"
"strain"	"1036797"	1	0.994539284634	4361558	4385506	"admiring_curie_0"
"strain"	"1052986"	0.270913378332	0.871852235966	15875185	4932946	"admiring_curie_0"
"strain"	"1030803"	1	0.964580382021	2242197	2324531	"admiring_curie_0"
"strain"	"1220_Q"	0.920423474332	0.198686009275	1042330	4828649	"admiring_curie_0"
"strain"	"1036650"	0.997639670757	0.903530591997	4504880	4974095	"admiring_curie_0"
"strain"	"1030791"	0.582328868476	0.995145397887	7293104	4267703	"admiring_curie_0"
"strain"	"1287_H"	0.996781815141	0.769519415526	3121014	4042744	"admiring_curie_0"
"strain"	"1285_AW"	0.417120470475	0.0212852233069	225134	4411887	"admiring_curie_0"
"strain"	"1220_AU"	0.213865621046	0.983707224013	22533603	4898981	"admiring_curie_0"
"strain"	"1030935"	0.35552590085	0.0470814426766	846034	6388653	"admiring_curie_0"
"strain"	"1286_BT"	0.153222479749	0.978005907211	20447933	3203542	"admiring_curie_0"
