instance	class	precision	recall	predicted class size	real class size
superkingdom	Bacteria	1.00	0.99	2738431906	2772292177
superkingdom	Archaea	1.00	1.00	23280549	23185149
superkingdom	Eukaryota	0.00	nan	12722543	0
superkingdom	Viruses	0.00	nan	48206	0
superkingdom	unassigned	nan	nan	28593250	0
phylum	Proteobacteria	1.00	0.98	1502721566	1521045066
phylum	Actinobacteria	1.00	1.00	642011051	643423328
phylum	Bacteroidetes	1.00	0.95	281887057	295664382
phylum	Firmicutes	0.98	0.96	263428439	269460065
phylum	Euryarchaeota	1.00	1.00	23280549	23185149
phylum	Verrucomicrobia	1.00	0.75	12338033	16429445
phylum	Ascomycota	0.00	nan	9620826	0
phylum	Cyanobacteria	0.00	nan	6682062	0
phylum	Thermotogae	1.00	0.67	4071318	6090970
phylum	Spirochaetes	0.99	0.79	4038127	5025696
phylum	Fusobacteria	0.94	0.55	3948774	6660981
phylum	Tenericutes	0.97	0.81	2577800	3100471
phylum	Nitrospirae	0.98	0.67	1445059	2114333
phylum	Streptophyta	0.00	nan	1381000	0
phylum	Chordata	0.00	nan	1069997	0
phylum	Fibrobacteres	1.00	0.32	1053995	3277440
phylum	Deferribacteres	0.00	nan	233343	0
phylum	Arthropoda	0.00	nan	123225	0
phylum	Thermodesulfobacteria	0.00	nan	96233	0
phylum	Chlamydiae	0.00	nan	86492	0
phylum	Aquificae	0.00	nan	79429	0
phylum	Apicomplexa	0.00	nan	78118	0
phylum	Deinococcus-Thermus	0.00	nan	69605	0
phylum	Cloacimonetes	0.00	nan	63358	0
phylum	phylum_Caudovirales	0.00	nan	48206	0
phylum	Chlorobi	0.00	nan	47002	0
phylum	phylum_Kinetoplastida	0.00	nan	25260	0
phylum	Synergistetes	0.00	nan	23469	0
phylum	phylum_uncultured bacterium	0.00	nan	23316	0
phylum	Basidiomycota	0.00	nan	11431	0
phylum	Planctomycetes	0.00	nan	10696	0
phylum	Ignavibacteriae	0.00	nan	4700	0
phylum	Annelida	0.00	nan	2077	0
phylum	phylum_Dictyosteliida	0.00	nan	1334	0
phylum	Chlorophyta	0.00	nan	632	0
phylum	phylum_bacterium JKG1	0.00	nan	631	0
phylum	phylum_Ichthyosporea	0.00	nan	388	0
phylum	unassigned	nan	nan	40491856	0
class	Alphaproteobacteria	1.00	0.98	819874405	833861012
class	Actinobacteria	1.00	1.00	642011051	643423328
class	Gammaproteobacteria	0.96	0.99	291918573	283564862
class	Betaproteobacteria	0.99	0.98	250405443	253679672
class	Flavobacteriia	0.98	0.98	140300909	140981969
