Instance	class	precision	recall	predicted class size	real class size
strain	1030728	0.0171195595376	0.435533890595	65545670.0	2576408.0
strain	1220_E	1.0	0.62970560848	4585668.0	7282241.0
strain	1053022	0.252057311414	0.995794942368	14554797.0	3684135.0
strain	1053025	0.246759745258	0.9546044726	14554797.0	3762331.0
strain	Sample19_54	0.0108778402382	1.0	2722967.0	29620.0
strain	1053028	0.24960004595	0.964748965642	14554797.0	3765620.0
strain	Sample9_165	0.000106780508918	1.0	65545670.0	6999.0
strain	1220_CF	0.74956796301	0.337722101855	2081419.0	4619671.0
strain	Sample6_355	0.000183261533523	1.0	65545670.0	12012.0
strain	Sample23_370	0.000129878907333	1.0	65545670.0	8513.0
strain	1030905	0.99652808911	1.0	3122776.0	3111934.0
strain	1285_BD	0.0329403910281	0.648456076269	65545670.0	3329601.0
strain	Sample22_16	1.0	1.0	68543.0	68543.0
strain	Sample22_11	0.00123768663895	1.0	65545670.0	81125.0
strain	Sample24_63	0.000289630115918	1.0	65545670.0	18984.0
strain	Sample23_378	0.20840778241	1.0	40296.0	8398.0
strain	Sample22_561	0.000133555732972	1.0	65545670.0	8754.0
strain	Sample6_203	0.000254112895634	1.0	65545670.0	16656.0
strain	1220_X	0.999032195464	0.989207315967	3601967.0	3637742.0
strain	Sample18_60	0.000300599566684	1.0	65545670.0	19703.0
strain	Sample24_68	0.000266928387489	1.0	65545670.0	17496.0
strain	Sample18_62	0.000294649516894	1.0	65545670.0	19313.0
strain	Sample6_199	0.000255882654033	1.0	65545670.0	16772.0
strain	1139_AW	0.466487583218	0.495528547883	5940992.0	5592814.0
strain	Sample22_112	0.000429242694445	1.0	65545670.0	28135.0
strain	Sample15_108	9.55211839318e-05	1.0	65545670.0	6261.0
strain	evo_1030728.011	0.0249606114332	0.651825043188	65545670.0	2509968.0
strain	Sample15_104	9.84962088266e-05	1.0	65545670.0	6456.0
strain	Sample22_94	0.000471732152559	1.0	65545670.0	30920.0
strain	Sample6_192	0.000259406914293	1.0	65545670.0	17003.0
strain	Sample15_107	9.6650167738e-05	1.0	65545670.0	6335.0
strain	Sample15_75	0.000120923319572	1.0	65545670.0	7926.0
strain	evo_1035921.028	0.207233700992	0.978143208236	14859171.0	3148129.0
strain	Sample23_25	0.000445353598491	1.0	65545670.0	29191.0
strain	Sample15_103	9.85877480541e-05	1.0	65545670.0	6462.0
strain	Sample16_245	1.0	1.0	7550.0	7550.0
strain	Sample18_262	0.000109130015758	1.0	65545670.0	7153.0
strain	1139_AF	0.0563462391947	0.818490189204	65545670.0	4512274.0
strain	Sample18_264	0.000109511429207	1.0	65545670.0	7178.0
strain	1049083	0.051399947548	0.676339798795	65545670.0	4981289.0
strain	Sample18_267	0.000109572455358	1.0	65545670.0	7182.0
strain	Sample16_154	0.000177982771402	1.0	65545670.0	11666.0
strain	Sample23_142	1.0	1.0	15334.0	15334.0
strain	Sample22_218	0.000296495557983	1.0	65545670.0	19434.0
strain	Sample23_147	0.000231960402571	1.0	65545670.0	15204.0
strain	Sample23_145	0.000232692716391	1.0	65545670.0	15252.0
strain	Sample19_29	0.000690114236379	1.0	65545670.0	45234.0
strain	Sample9_193	9.38734778361e-05	1.0	65545670.0	6153.0
strain	Sample9_192	9.40107866774e-05	1.0	65545670.0	6162.0
strain	1285_CK	0.402283331925	0.760458051352	6542369.0	3460922.0
strain	1220_BD	0.251974719483	0.984270754594	28432646.0	7278798.0
strain	1220_BB	0.716254314366	0.378619153675	2910335.0	5505638.0
strain	Sample23_283	0.000153496028037	1.0	65545670.0	10061.0
strain	1048945	0.0895142272556	0.812391480736	65545670.0	7222220.0
strain	Sample6_323	0.00020120322212	1.0	65545670.0	13188.0
strain	1048942	0.107132599301	0.97673771003	65545670.0	7189318.0
strain	1285_CG	0.972880957237	0.999320669098	3834538.0	3733085.0
strain	1285_CF	0.99821757444	0.828140905001	3256798.0	3925652.0
strain	Sample16_69	1.0	1.0	27000.0	27000.0
strain	Sample18_77	0.000258369469715	1.0	65545670.0	16935.0
strain	Sample20_90	0.000147576491323	1.0	65545670.0	9673.0
strain	Sample6_235	1.0	1.0	15720.0	15720.0
strain	Sample19_309	0.000110472591096	1.0	65545670.0	7241.0
strain	1285_AC	0.224448513986	0.42416417913	6542369.0	3461926.0
strain	Sample16_65	0.00041921914903	1.0	65545670.0	27478.0
strain	Sample22_87	0.00048199980258	1.0	65545670.0	31593.0
strain	Sample24_66	0.000271413809638	1.0	65545670.0	17790.0
strain	evo_1035921.030	0.205176183786	0.977972468874	14859171.0	3117417.0
