Instance	class	precision	recall	predicted class size	real class size
strain	1220_AJ	1.0	0.000539364009502	1410.0	2614190.0
strain	1365_A	1.0	0.000838607170975	5884.0	7016396.0
strain	evo_1049056.039	1.0	0.000102230930783	276.0	2699770.0
strain	1036707	1.0	0.000849271426998	3401.0	4004609.0
strain	1036707	1.0	7.2416558021e-05	290.0	4004609.0
strain	1036743	1.0	0.00388088904858	19787.0	5098574.0
strain	1036743	1.0	0.00181815542934	9270.0	5098574.0
strain	1220_AJ	1.0	0.000108637857233	284.0	2614190.0
strain	1036707	1.0	0.00113868794681	4560.0	4004609.0
strain	1365_A	1.0	4.48948434495e-05	315.0	7016396.0
strain	1036707	0.752712931436	0.007673158603	40823.0	4004609.0
strain	1048993	0.922368421053	0.000964609960444	3800.0	3633593.0
strain	1048993	1.0	0.000822876970536	2990.0	3633593.0
strain	1048993	1.0	0.00106423586791	3867.0	3633593.0
strain	1048993	1.0	0.000761505209857	2767.0	3633593.0
strain	1049056	0.280082761768	0.130953486626	1525342.0	3262395.0
strain	1049056	0.348627849572	0.000735962383464	6887.0	3262395.0
strain	1365_A	1.0	0.000310415774708	2178.0	7016396.0
strain	1036707	0.592053106643	0.00309568299926	20939.0	4004609.0
strain	1048993	0.87481234362	0.00288667442941	11990.0	3633593.0
strain	evo_1049056.039	1.0	0.000263355767343	711.0	2699770.0
strain	1049056	0.354786901237	0.0662228209644	608943.0	3262395.0
strain	1048993	0.924791086351	0.000913696167953	3590.0	3633593.0
strain	1365_A	0.711570247934	0.000122712572095	1210.0	7016396.0
strain	1036707	1.0	0.00397467018628	15917.0	4004609.0
strain	1220_AJ	1.0	9.90746655752e-05	259.0	2614190.0
strain	1220_AD	1.0	0.982054026101	3418260.0	3480725.0
strain	1220_AJ	1.0	0.000107490274234	281.0	2614190.0
strain	1036707	1.0	0.00222044149629	8892.0	4004609.0
strain	1036728	1.0	0.00483807576058	9737.0	2012577.0
strain	1036743	0.419906407487	0.000457578923048	5556.0	5098574.0
strain	1365_A	1.0	0.00158542932868	11124.0	7016396.0
strain	1220_AJ	1.0	9.56319165784e-05	250.0	2614190.0
strain	1036707	1.0	0.00143584554697	5750.0	4004609.0
strain	1030878	0.995462529463	0.234917051194	775983.0	3288233.0
strain	1365_A	1.0	8.09532415217e-05	568.0	7016396.0
strain	evo_1049056.039	1.0	0.000725617367405	1959.0	2699770.0
strain	1036728	1.0	0.00210277668879	4232.0	2012577.0
strain	evo_1049056.039	1.0	0.000301507165425	814.0	2699770.0
strain	1036554	0.990994758559	0.107044592754	286944.0	2656463.0
strain	1036608	1.0	0.00373509149854	11839.0	3169668.0
strain	1052947	0.376676892291	0.262034082337	3316179.0	4767044.0
strain	1220_AJ	1.0	0.00896377080472	23433.0	2614190.0
