Instance	class	precision	recall	predicted class size	real class size
strain	Sample6_722	0.0107815510401	1.0	673187.0	7258.0
strain	1285_BH	0.993238026093	1.0	4597622.0	4566533.0
strain	evo_1035930.029	0.339261497798	0.968890151028	6888754.0	2412130.0
strain	1036743	0.954026611976	0.767478710714	4101612.0	5098574.0
strain	1036539	0.729417243869	0.7893342449	5058737.0	4674737.0
strain	evo_1049056.039	0.197259568228	0.00737470228945	100933.0	2699770.0
strain	Sample23_288	0.000809822693883	1.0	12340973.0	9994.0
strain	1139_AG	0.997353417242	0.991847413502	7237635.0	7277813.0
strain	Sample6_49	0.0110783216617	1.0	2861354.0	31699.0
strain	Sample16_19	0.0118877945663	1.0	6505496.0	77336.0
strain	1036641	0.976581847252	0.930598304244	2506816.0	2630685.0
strain	1036707	0.786463812899	0.960969972349	4893180.0	4004609.0
strain	1036728	0.995852205637	0.972618687384	1965623.0	2012577.0
strain	1052947	0.327920593551	0.836116259888	12154781.0	4767044.0
strain	Sample19_56	0.00625472442983	1.0	4695011.0	29366.0
strain	evo_1049056.013	0.287555111457	0.67346033639	8232408.0	3515086.0
strain	1030755	0.635716558561	0.993099797462	7209334.0	4614937.0
strain	1049089	1.0	0.994973576388	3108585.0	3124289.0
strain	Sample15_97	0.00104816571001	1.0	6290990.0	6594.0
strain	1220_AD	1.0	0.984773287174	3427725.0	3480725.0
strain	1036608	0.991633046542	0.994831319873	3179891.0	3169668.0
strain	Sample9_2	0.00447984541071	1.0	7423024.0	33254.0
strain	evo_1035930.011	0.79874550774	0.840785730461	2379927.0	2260928.0
strain	Sample9_65	0.00483647699759	1.0	2547929.0	12323.0
strain	1049005	0.581114044307	1.0	7068893.0	4107833.0
strain	evo_1286_AP.008	0.976552567711	0.982884122444	3405874.0	3383934.0
strain	1030878	0.471590070864	0.996440945639	6947835.0	3288233.0
strain	1052947	0.139993452366	0.00116613146428	39709.0	4767044.0
strain	Sample19_52	0.0107293565995	1.0	2770716.0	29728.0
strain	1049056	0.301981964411	0.896042324734	9680194.0	3262395.0
strain	Sample23_273	0	0	0	10364.0
strain	evo_1286_AP.033	0	0	0	3098001.0
strain	1220_AJ	0	0	0	2614190.0
strain	Sample22_57	0	0	0	37672.0
strain	Sample23_271	0	0	0	10434.0
strain	Sample6_289	0	0	0	14081.0
strain	Sample6_527	0	0	0	9295.0
strain	Sample22_283	0	0	0	16206.0
strain	1048993	0	0	0	3633593.0
strain	1365_A	0	0	0	7016396.0
strain	1286_AP	0	0	0	2975025.0
strain	Sample19_20	0	0	0	59741.0
strain	evo_1049056.031	0	0	0	3375491.0
strain	1035930	0	0	0	2197372.0
strain	evo_1049056.011	0	0	0	3354404.0
strain	evo_1049056.015	0	0	0	3365233.0
strain	1030752	0	0	0	6277722.0
strain	evo_1286_AP.026	0	0	0	3210938.0
strain	1036755	0	0	0	6463736.0
strain	1052944	0	0	0	5188144.0
strain	evo_1035930.032	0	0	0	2294831.0
strain	1053058	0	0	0	5189366.0
strain	evo_1286_AP.037	0	0	0	3082966.0
strain	1036554	0	0	0	2656463.0
strain	1035900	0	0	0	7279109.0
strain	Sample6_476	0	0	0	8307.0
strain	Sample18_57	0	0	0	20518.0
strain	Sample18_8	0	0	0	49909.0
strain	Sample22_89	0	0	0	31415.0
strain	1030836	0	0	0	4897781.0
strain	1048783	0	0	0	2423571.0
